code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
MGB,13.0,9.0,12.0,1.11956,-4.0,49.0,45.0,,268,13.0,0.0,0.0,Borussia Monchengladbach,1.71094,0.0,0.0,74048,9.0,0.0,12.0,2017-05-20 15:33
WLF,17.0,7.0,10.0,1.11053,-18.0,52.0,34.0,,138,17.0,0.0,0.0,VfL Wolfsburg,1.57389,0.0,0.49008,74046,7.0,0.0,10.0,2017-05-20 15:33
DOR,6.0,10.0,18.0,0.92743,32.0,40.0,72.0,,124,6.0,1.0,0.0,Borussia Dortmund,2.50974,0.0,0.0,74050,10.0,0.0,18.0,2017-05-20 15:33
AUG,14.0,11.0,9.0,1.21964,-16.0,51.0,35.0,,3841,14.0,0.0,0.0,FC Augsburg,1.30009,0.0,0.0,74082,11.0,0.0,9.0,2017-05-20 15:33
COL,9.0,13.0,12.0,1.14176,9.0,42.0,51.0,,122,9.0,0.0,1.0,FC Cologne,1.51835,0.0,0.0,74049,13.0,0.0,12.0,2017-05-20 15:33
LEV,15.0,8.0,11.0,1.21099,-2.0,55.0,53.0,,131,15.0,0.0,0.0,Bayer Leverkusen,1.96899,0.0,0.0,74045,8.0,0.0,11.0,2017-05-20 15:33
HOF,4.0,14.0,16.0,1.00869,27.0,37.0,64.0,,7911,4.0,1.0,0.0,TSG Hoffenheim,1.90018,0.0,0.0,84341,14.0,0.0,16.0,2017-05-20 15:33
SCH,13.0,10.0,11.0,1.10214,5.0,40.0,45.0,,133,13.0,0.0,0.0,Schalke 04,1.61287,0.0,0.0,74039,10.0,0.0,11.0,2017-05-20 15:33
RBL,7.0,7.0,20.0,1.02638,27.0,39.0,66.0,,11420,7.0,1.0,0.0,RB Leipzig,1.96617,0.0,0.0,91099,7.0,0.0,20.0,2017-05-20 15:33
HER,15.0,4.0,15.0,1.16124,-4.0,47.0,43.0,,129,15.0,0.0,1.0,Hertha Berlin,1.41701,0.0,0.0,74051,4.0,0.0,15.0,2017-05-20 15:33
FRA,14.0,9.0,11.0,1.06113,-7.0,43.0,36.0,,125,14.0,0.0,0.0,Eintracht Frankfurt,1.36221,0.0,0.0,74052,9.0,0.0,11.0,2017-05-20 15:33
HSV,16.0,8.0,10.0,1.26443,-28.0,61.0,33.0,,127,16.0,0.0,0.0,Hamburg SV,1.31057,0.0,0.0,78530,8.0,0.0,10.0,2017-05-20 15:33
FRE,14.0,6.0,14.0,1.32571,-18.0,60.0,42.0,,126,14.0,0.0,1.0,SC Freiburg,1.49644,0.0,0.0,74053,6.0,0.0,14.0,2017-05-20 15:33
MNZ,17.0,7.0,10.0,1.12828,-11.0,55.0,44.0,,2950,17.0,0.0,0.0,Mainz,1.55133,0.0,0.0,74062,7.0,0.0,10.0,2017-05-20 15:33
ING,18.0,8.0,8.0,1.21094,-21.0,57.0,36.0,,6367,18.0,0.0,0.0,FC Ingolstadt 04,1.51122,0.0,1.0,79434,8.0,0.0,8.0,2017-05-20 15:33
BRE,15.0,6.0,13.0,1.4125,-3.0,64.0,61.0,,137,15.0,0.0,0.0,Werder Bremen,2.04443,0.0,0.0,74042,6.0,0.0,13.0,2017-05-20 15:33
BMU,2.0,7.0,25.0,0.71137,67.0,22.0,89.0,,132,2.0,1.0,0.0,Bayern Munich,3.09294,1.0,0.0,74078,7.0,1.0,25.0,2017-05-20 15:33
DRM,23.0,4.0,7.0,1.49783,-35.0,63.0,28.0,,3812,23.0,0.0,0.0,SV Darmstadt 98,1.24841,0.0,1.0,74070,4.0,0.0,7.0,2017-05-20 15:33
MGB,13.0,8.0,12.0,1.08232,-2.56204,47.68232,45.12028,,268,13.10366,0.0,0.20504,Borussia Monchengladbach,1.69861,0.0,0.0,74048,8.19454,0.0,12.7018,2017-05-13 15:57
WLF,16.0,7.0,10.0,1.10612,-16.95066,51.2853,34.33464,,138,16.3509,0.0,0.0,VfL Wolfsburg,1.57651,0.0,0.13648,74046,7.27556,0.0,10.37354,2017-05-13 15:57
DOR,6.0,10.0,17.0,0.87869,33.01064,37.83374,70.84438,,124,6.07668,1.0,0.0,Borussia Dortmund,2.44073,0.0,0.0,74050,10.13674,0.0,17.78658,2017-05-13 15:57
AUG,14.0,10.0,9.0,1.27282,-17.47446,53.19038,35.71592,,3841,14.70712,0.0,0.0,FC Augsburg,1.33093,0.0,0.03356,74082,10.18992,0.0,9.10296,2017-05-13 15:57
COL,9.0,13.0,11.0,1.19052,7.21728,43.26322,50.4805,,122,9.31552,0.0,0.75016,FC Cologne,1.51827,0.0,0.0,74049,13.26682,0.0,11.41766,2017-05-13 15:57
LEV,15.0,8.0,10.0,1.15959,-6.14448,54.38034,48.23586,,131,15.39766,0.0,0.0,Bayer Leverkusen,1.78655,0.0,0.0,74045,8.27296,0.0,10.32938,2017-05-13 15:57
HOF,4.0,13.0,16.0,1.03467,28.47446,37.71592,66.19038,,7911,4.10296,1.0,0.0,TSG Hoffenheim,1.97384,0.0,0.0,84341,13.18992,0.0,16.70712,2017-05-13 15:57
SCH,13.0,9.0,11.0,1.09324,4.92564,40.41572,45.34136,,133,13.38032,0.0,0.0,Schalke 04,1.63037,0.0,0.0,74039,9.2702,0.0,11.34948,2017-05-13 15:57
RBL,7.0,6.0,20.0,0.99284,27.2286,38.17144,65.40004,,11420,7.30718,1.0,0.0,RB Leipzig,1.95135,0.0,0.0,91099,6.27864,0.0,20.41418,2017-05-13 15:57
HER,14.0,4.0,15.0,1.03736,0.14448,42.23586,42.38034,,129,14.32938,0.0,1.0,Hertha Berlin,1.35959,0.0,0.0,74051,4.27296,0.0,15.39766,2017-05-13 15:57
FRA,14.0,8.0,11.0,1.05165,-7.2286,42.40004,35.17144,,125,14.41418,0.0,0.0,Eintracht Frankfurt,1.32151,0.0,0.0,74052,8.27864,0.0,11.30718,2017-05-13 15:57
HSV,16.0,8.0,9.0,1.26667,-29.04934,61.33464,32.2853,,127,16.37354,0.0,0.0,Hamburg SV,1.30564,0.0,0.3204,78530,8.27556,0.0,9.3509,2017-05-13 15:57
FRE,13.0,6.0,14.0,1.30501,-18.36766,59.67076,41.3031,,126,13.94764,0.0,0.96974,SC Freiburg,1.43739,0.0,0.0,74053,6.04254,0.0,14.00982,2017-05-13 15:57
MNZ,16.0,7.0,10.0,1.12822,-9.21728,54.4805,45.26322,,2950,16.41766,0.0,0.0,Mainz,1.61191,0.0,0.0,74062,7.26682,0.0,10.31552,2017-05-13 15:57
ING,18.0,7.0,8.0,1.22518,-20.92564,57.34136,36.41572,,6367,18.34948,0.0,0.0,FC Ingolstadt 04,1.50011,0.0,1.0,79434,7.2702,0.0,8.38032,2017-05-13 15:57
BRE,14.0,6.0,13.0,1.36826,-4.01064,62.84438,58.83374,,137,14.78658,0.0,0.07506,Werder Bremen,1.95878,0.0,0.0,74042,6.13674,0.0,13.07668,2017-05-13 15:57
BMU,2.0,7.0,24.0,0.67501,67.36766,21.3031,88.67076,,132,2.00982,1.0,0.0,Bayern Munich,3.05273,1.0,0.0,74078,7.04254,1.0,24.94764,2017-05-13 15:57
DRM,23.0,3.0,7.0,1.48666,-36.43796,63.12028,26.68232,,3812,23.7018,0.0,0.0,SV Darmstadt 98,1.20829,0.0,1.0,74070,3.19454,0.0,7.10366,2017-05-13 15:57
MGB,13.0,7.0,12.0,1.09541,-2.91898,48.24804,45.32906,,268,13.54632,0.0,0.31816,Borussia Monchengladbach,1.70048,0.0,0.0,74048,7.46792,0.0,12.98576,2017-05-07 17:21
WLF,16.0,6.0,10.0,1.1075,-16.60444,51.49396,34.88952,,138,16.63834,0.0,0.0,VfL Wolfsburg,1.59357,0.0,0.04384,74046,6.54098,0.0,10.82068,2017-05-07 17:21
DOR,6.0,9.0,17.0,0.881,33.98786,37.94166,71.92952,,124,6.26568,1.0,0.0,Borussia Dortmund,2.47375,0.0,0.0,74050,9.3501,0.0,18.38422,2017-05-07 17:21
AUG,14.0,9.0,9.0,1.29294,-18.46026,54.28304,35.82278,,3841,15.30318,0.0,0.0,FC Augsburg,1.33398,0.0,0.07934,74082,9.40556,0.0,9.29126,2017-05-07 17:21
COL,9.0,12.0,11.0,1.15213,6.6701,42.86092,49.53102,,122,9.8083,0.0,0.63656,FC Cologne,1.50519,0.0,0.0,74049,12.52294,0.0,11.66876,2017-05-07 17:21
LEV,15.0,7.0,10.0,1.14877,-5.4866,53.43768,47.95108,,131,15.625,0.0,0.0,Bayer Leverkusen,1.735,0.0,0.00038,74045,7.5263,0.0,10.8487,2017-05-07 17:21
HOF,4.0,13.0,15.0,1.00537,26.51048,36.30444,62.81492,,7911,4.46962,1.0,0.0,TSG Hoffenheim,1.90094,0.0,0.0,84341,13.43444,0.0,16.09594,2017-05-07 17:21
SCH,13.0,8.0,11.0,1.06145,6.14746,40.12502,46.27248,,133,13.4991,0.0,0.11068,Schalke 04,1.66712,0.0,0.0,74039,8.49974,0.0,12.00116,2017-05-07 17:21
RBL,6.0,6.0,20.0,0.93513,27.21434,34.9889,62.20324,,11420,6.90154,1.0,0.0,RB Leipzig,1.80454,0.0,0.0,91099,6.5334,0.0,20.56506,2017-05-07 17:21
HER,14.0,4.0,14.0,1.07282,-1.81994,43.44274,41.6228,,129,14.6762,0.0,0.768,Hertha Berlin,1.33638,0.0,0.0,74051,4.5611,0.0,14.7627,2017-05-07 17:21
FRA,13.0,8.0,11.0,0.97831,-5.52114,39.51558,33.99444,,125,13.83312,0.0,0.02432,Eintracht Frankfurt,1.2812,0.0,0.0,74052,8.5892,0.0,11.57768,2017-05-07 17:21
HSV,16.0,7.0,9.0,1.29728,-30.24418,62.26034,32.01616,,127,17.022,0.0,0.0,Hamburg SV,1.26974,0.0,0.34458,78530,7.50652,0.0,9.47148,2017-05-07 17:21
FRE,13.0,5.0,14.0,1.28755,-17.87474,59.73354,41.8588,,126,14.23196,0.0,0.77266,SC Freiburg,1.45895,0.0,0.0,74053,5.3151,0.0,14.45294,2017-05-07 17:21
MNZ,16.0,7.0,9.0,1.09208,-10.85864,53.3376,42.47896,,2950,16.67712,0.0,0.0,Mainz,1.51288,0.0,0.11452,74062,7.56698,0.0,9.7559,2017-05-07 17:21
ING,18.0,6.0,8.0,1.24443,-21.35158,57.94992,36.59834,,6367,18.81192,0.0,0.0,FC Ingolstadt 04,1.48081,0.0,0.90388,79434,6.53136,0.0,8.65672,2017-05-07 17:21
