code,current_losses,current_ties,current_wins,d_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_second_round,make_semis,name,o_rating,sdr_id,ties,win_final,wins,win_league,make_round_of_16,last_updated
ROS,3.0,2.0,1.0,1.4208,-6.0,D,0.0,0.0,1.0,0.0,3852,3.0,0.0,0.0,0.0,0.0,Rostov,1.39696,74350,2.0,0.0,1.0,0.0,0.0,2017-06-03 20:52
LYON,2.0,2.0,2.0,1.11735,2.0,H,0.0,0.0,1.0,0.0,167,2.0,0.0,0.0,0.0,0.0,Lyon,2.09778,74432,2.0,0.0,2.0,0.0,0.0,2017-06-03 20:52
MAD,0.0,3.0,3.0,0.86713,6.0,F,0.0,1.0,0.0,0.0,86,0.0,1.0,1.0,1.0,1.0,Real Madrid,3.41897,74013,3.0,1.0,3.0,1.0,1.0,2017-06-03 20:52
CBKV,6.0,0.0,0.0,1.51857,-12.0,G,0.0,0.0,0.0,1.0,570,6.0,0.0,0.0,0.0,0.0,Club Brugge,1.02543,72883,0.0,0.0,0.0,0.0,0.0,2017-06-03 20:52
BAS,4.0,2.0,0.0,1.31309,-9.0,A,0.0,0.0,0.0,1.0,989,4.0,0.0,0.0,0.0,0.0,Basel,1.85505,93159,2.0,0.0,0.0,0.0,0.0,2017-06-03 20:52
PSG,0.0,3.0,3.0,0.78273,6.0,A,0.0,1.0,0.0,0.0,160,0.0,0.0,0.0,1.0,0.0,Paris Saint-Germain,2.61621,74427,3.0,0.0,3.0,0.0,1.0,2017-06-03 20:52
DIN,6.0,0.0,0.0,1.22434,-15.0,H,0.0,0.0,0.0,1.0,597,6.0,0.0,0.0,0.0,0.0,Dinamo Zagreb,1.26939,72934,0.0,0.0,0.0,0.0,0.0,2017-06-03 20:52
DOR,0.0,2.0,4.0,0.92743,12.0,F,1.0,0.0,0.0,0.0,124,0.0,0.0,1.0,1.0,0.0,Borussia Dortmund,2.50974,74050,2.0,0.0,4.0,0.0,1.0,2017-06-03 20:52
MON,1.0,2.0,3.0,0.92086,2.0,E,1.0,0.0,0.0,0.0,174,1.0,0.0,1.0,1.0,1.0,AS Monaco,2.5458,74430,2.0,0.0,3.0,0.0,1.0,2017-06-03 20:52
LEV,0.0,4.0,2.0,1.21099,4.0,E,0.0,1.0,0.0,0.0,131,0.0,0.0,0.0,1.0,0.0,Bayer Leverkusen,1.96899,74045,4.0,0.0,2.0,0.0,1.0,2017-06-03 20:52
MNC,1.0,3.0,2.0,0.72773,2.0,C,0.0,1.0,0.0,0.0,382,1.0,0.0,0.0,1.0,0.0,Manchester City,2.66513,73608,3.0,0.0,2.0,0.0,1.0,2017-06-03 20:52
ATL,1.0,0.0,5.0,0.62879,5.0,D,1.0,0.0,0.0,0.0,1068,1.0,0.0,1.0,1.0,1.0,Atletico Madrid,1.86649,74010,0.0,0.0,5.0,0.0,1.0,2017-06-03 20:52
LEI,1.0,1.0,4.0,1.19789,1.0,G,1.0,0.0,0.0,0.0,375,1.0,0.0,1.0,1.0,0.0,Leicester City,1.57006,73629,1.0,0.0,4.0,0.0,1.0,2017-06-03 20:52
BEN,2.0,2.0,2.0,1.04631,0.0,B,0.0,1.0,0.0,0.0,1929,2.0,0.0,0.0,1.0,0.0,Benfica,1.98603,74332,2.0,0.0,2.0,0.0,1.0,2017-06-03 20:52
CSKA,3.0,3.0,0.0,1.15499,-6.0,E,0.0,0.0,0.0,1.0,1963,3.0,0.0,0.0,0.0,0.0,CSKA Moscow,1.4571,74347,3.0,0.0,0.0,0.0,0.0,2017-06-03 20:52
CEL,3.0,3.0,0.0,1.30243,-11.0,C,0.0,0.0,0.0,1.0,256,3.0,0.0,0.0,0.0,0.0,Celtic,2.40609,73714,3.0,0.0,0.0,0.0,0.0,2017-06-03 20:52
NAP,1.0,2.0,3.0,0.78958,3.0,B,1.0,0.0,0.0,0.0,114,1.0,0.0,0.0,1.0,0.0,Napoli,2.64252,73848,2.0,0.0,3.0,0.0,1.0,2017-06-03 20:52
LUD,3.0,3.0,0.0,0.96754,-9.0,A,0.0,0.0,1.0,0.0,13018,3.0,0.0,0.0,0.0,0.0,Ludogorets,1.64795,103285,3.0,0.0,0.0,0.0,0.0,2017-06-03 20:52
BAR,1.0,0.0,5.0,0.77966,16.0,C,1.0,0.0,0.0,0.0,83,1.0,0.0,1.0,1.0,0.0,Barcelona,3.48185,74014,0.0,0.0,5.0,0.0,1.0,2017-06-03 20:52
JUV,0.0,2.0,4.0,0.57222,9.0,H,1.0,0.0,0.0,0.0,111,0.0,1.0,1.0,1.0,1.0,Juventus,2.23888,73847,2.0,0.0,4.0,0.0,1.0,2017-06-03 20:52
KIEV,3.0,2.0,1.0,0.80262,2.0,B,0.0,0.0,0.0,1.0,440,3.0,0.0,0.0,0.0,0.0,Dynamo Kiev,1.92951,74217,2.0,0.0,1.0,0.0,0.0,2017-06-03 20:52
BMU,2.0,0.0,4.0,0.71137,8.0,D,0.0,1.0,0.0,0.0,132,2.0,0.0,1.0,1.0,0.0,Bayern Munich,3.09294,74078,0.0,0.0,4.0,0.0,1.0,2017-06-03 20:52
COP,1.0,3.0,2.0,1.04018,5.0,G,0.0,0.0,1.0,0.0,909,1.0,0.0,0.0,0.0,0.0,FC Copenhagen,1.28719,72960,3.0,0.0,2.0,0.0,0.0,2017-06-03 20:52
MGB,3.0,2.0,1.0,1.11956,-7.0,C,0.0,0.0,1.0,0.0,268,3.0,0.0,0.0,0.0,0.0,Borussia Monchengladbach,1.71094,74048,2.0,0.0,1.0,0.0,0.0,2017-06-03 20:52
WAR,4.0,1.0,1.0,1.53239,-15.0,F,0.0,0.0,1.0,0.0,555,4.0,0.0,0.0,0.0,0.0,Legia Warsaw,1.61261,73949,1.0,0.0,1.0,0.0,0.0,2017-06-03 20:52
