code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
GIJ,21.0,10.0,7.0,1.34514,-30.0,72.0,42.0,,3788,21.0,0.0,0.0,Sporting Gijón,1.42045,0.0,1.0,74001,10.0,0.0,7.0,2017-06-03 20:52
OSA,24.0,10.0,4.0,1.65315,-54.0,94.0,40.0,,97,24.0,0.0,0.0,Osasuna,1.26175,0.0,1.0,74015,10.0,0.0,4.0,2017-06-03 20:52
EIB,14.0,9.0,15.0,1.01272,5.0,51.0,56.0,,3752,14.0,0.0,0.0,Eibar,1.51243,0.0,0.0,73965,9.0,0.0,15.0,2017-06-03 20:52
MGA,16.0,10.0,12.0,1.0278,-6.0,55.0,49.0,,99,16.0,0.0,0.0,Málaga,1.47149,0.0,0.0,74004,10.0,0.0,12.0,2017-06-03 20:52
BIL,13.0,6.0,19.0,0.87478,10.0,43.0,53.0,,93,13.0,0.0,1.0,Athletic Bilbao,1.82985,0.0,0.0,74011,6.0,0.0,19.0,2017-06-03 20:52
ALA,11.0,13.0,14.0,0.97536,-2.0,43.0,41.0,,96,11.0,0.0,0.0,Alavés,1.38296,0.0,0.0,74003,13.0,0.0,14.0,2017-06-03 20:52
DEP,18.0,12.0,8.0,1.16374,-18.0,61.0,43.0,,90,18.0,0.0,0.0,Deportivo La Coruña,1.33919,0.0,0.0,74022,12.0,0.0,8.0,2017-06-03 20:52
BAR,4.0,6.0,28.0,0.77966,79.0,37.0,116.0,,83,4.0,1.0,0.0,Barcelona,3.48185,0.0,0.0,74014,6.0,0.0,28.0,2017-06-03 20:52
VIG,19.0,6.0,13.0,1.3009,-16.0,69.0,53.0,,85,19.0,0.0,0.0,Celta Vigo,1.5269,0.0,0.0,74008,6.0,0.0,13.0,2017-06-03 20:52
ATL,6.0,9.0,23.0,0.62879,43.0,27.0,70.0,,1068,6.0,1.0,0.0,Atletico Madrid,1.86649,0.0,0.0,74010,9.0,0.0,23.0,2017-06-03 20:52
LEG,19.0,11.0,8.0,1.01167,-19.0,55.0,36.0,,17534,19.0,0.0,0.0,Leganes,1.33419,0.0,0.0,78708,11.0,0.0,8.0,2017-06-03 20:52
