code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
LOR,22.0,6.0,10.0,1.42295,-26.0,70.0,44.0,,273,22.0,0.0,0.0,Lorient,1.32715,0.0,0.48986,74443,6.0,0.0,10.0,2017-05-20 21:36
LYON,13.0,4.0,21.0,1.11735,30.0,48.0,78.0,,167,13.0,0.0,1.0,Lyon,2.09778,0.0,0.0,74432,4.0,0.0,21.0,2017-05-20 21:36
TOU,14.0,14.0,10.0,1.13015,-4.0,41.0,37.0,,179,14.0,0.0,0.0,Toulouse,1.08991,0.0,0.0,74439,14.0,0.0,10.0,2017-05-20 21:36
MNT,19.0,9.0,10.0,1.37867,-18.0,66.0,48.0,,274,19.0,0.0,0.0,Montpellier,1.37142,0.0,0.0,74452,9.0,0.0,10.0,2017-05-20 21:36
DIJ,17.0,13.0,8.0,1.44187,-12.0,58.0,46.0,,3170,17.0,0.0,0.0,Dijon FCO,1.25676,0.0,0.0,74455,13.0,0.0,8.0,2017-05-20 21:36
MON,3.0,5.0,30.0,0.92086,76.0,31.0,107.0,,174,3.0,1.0,0.0,AS Monaco,2.5458,1.0,0.0,74430,5.0,1.0,30.0,2017-05-20 21:36
NAN,15.0,9.0,14.0,1.2207,-14.0,54.0,40.0,,165,15.0,0.0,0.0,Nantes,1.35069,0.0,0.0,74463,9.0,0.0,14.0,2017-05-20 21:36
REN,12.0,14.0,12.0,1.10544,-6.0,42.0,36.0,,169,12.0,0.0,0.0,Stade Rennes,1.15203,0.0,0.0,74434,14.0,0.0,12.0,2017-05-20 21:36
LLE,18.0,7.0,13.0,1.14653,-7.0,47.0,40.0,,166,18.0,0.0,0.0,Lille,1.34642,0.0,0.0,74438,7.0,0.0,13.0,2017-05-20 21:36
ANG,18.0,7.0,13.0,1.11996,-9.0,49.0,40.0,,7868,18.0,0.0,0.0,Angers,1.35466,0.0,0.0,74464,7.0,0.0,13.0,2017-05-20 21:36
PSG,5.0,6.0,27.0,0.78273,56.0,27.0,83.0,,160,5.0,1.0,0.0,Paris Saint-Germain,2.61621,0.0,0.0,74427,6.0,0.0,27.0,2017-05-20 21:36
MTZ,17.0,10.0,11.0,1.56051,-33.0,72.0,39.0,,177,17.0,0.0,0.0,Metz,1.17141,0.0,0.0,74444,10.0,0.0,11.0,2017-05-20 21:36
STE,12.0,14.0,12.0,1.21245,-1.0,42.0,41.0,,178,12.0,0.0,0.0,St Etienne,1.27793,0.0,0.0,74436,14.0,0.0,12.0,2017-05-20 21:36
BAS,20.0,10.0,8.0,1.39346,-26.0,55.0,29.0,,173,20.0,0.0,0.0,Bastia,0.8375,0.0,1.0,74457,10.0,0.0,8.0,2017-05-20 21:36
GUI,16.0,8.0,14.0,1.38793,-7.0,53.0,46.0,,171,16.0,0.0,0.0,Guingamp,1.40442,0.0,0.0,74451,8.0,0.0,14.0,2017-05-20 21:36
