code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
UDI,17.0,9.0,12.0,1.19286,-9.0,56.0,47.0,,118,17.0,0.0,0.0,Udinese,1.45538,0.0,0.0,73833,9.0,0.0,12.0,2017-06-03 20:52
PAL,24.0,8.0,6.0,1.47639,-44.0,77.0,33.0,,2923,24.0,0.0,0.0,Palermo,1.08613,0.0,1.0,73840,8.0,0.0,6.0,2017-06-03 20:52
CRO,22.0,7.0,9.0,1.14656,-24.0,58.0,34.0,,3173,22.0,0.0,0.0,Crotone,1.19847,0.0,0.0,73875,7.0,0.0,9.0,2017-06-03 20:52
ROM,7.0,3.0,28.0,0.96557,52.0,38.0,90.0,,104,7.0,1.0,0.0,AS Roma,2.59722,0.0,0.0,73831,3.0,0.0,28.0,2017-06-03 20:52
NAP,4.0,8.0,26.0,0.78958,55.0,39.0,94.0,,114,4.0,1.0,0.0,Napoli,2.64252,0.0,0.0,73848,8.0,0.0,26.0,2017-06-03 20:52
LAZ,10.0,7.0,21.0,1.10497,23.0,51.0,74.0,,112,10.0,0.0,1.0,Lazio,2.1246,0.0,0.0,73834,7.0,0.0,21.0,2017-06-03 20:52
BOL,19.0,8.0,11.0,1.22891,-18.0,58.0,40.0,,107,19.0,0.0,0.0,Bologna,1.27589,0.0,0.0,73850,8.0,0.0,11.0,2017-06-03 20:52
TOR,11.0,14.0,13.0,1.39565,5.0,66.0,71.0,,239,11.0,0.0,0.0,Torino,1.90015,0.0,0.0,73846,14.0,0.0,13.0,2017-06-03 20:52
SAS,18.0,7.0,13.0,1.35887,-5.0,63.0,58.0,,3997,18.0,0.0,0.0,Sassuolo,1.77299,0.0,0.0,73867,7.0,0.0,13.0,2017-06-03 20:52
EMP,22.0,8.0,8.0,1.35878,-32.0,61.0,29.0,,2574,22.0,0.0,0.0,Empoli,1.31292,0.0,1.0,73839,8.0,0.0,8.0,2017-06-03 20:52
