code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
LAS,13.0,6.0,17.0,1.21603,1.42057,1.16505,39.5827,8.0,41.0,49.0,4411,13.0,0.0,0.0,0.0,LASK Linz,1.36959,0.0,0.0,0.0,72842,6.0,0.0,17.0,57.0,2018-05-27 17:23,
WOL,19.0,9.0,8.0,1.43462,1.63916,0.85666,27.78531,-26.0,57.0,31.0,13294,19.0,0.0,0.0,0.0,Wolfsberger AC,1.0612,0.0,0.0,0.0,109462,9.0,0.0,8.0,33.0,2018-05-27 17:23,
SCR,18.0,8.0,10.0,1.39287,1.59741,0.79424,26.93728,-16.0,51.0,35.0,4405,18.0,0.0,0.0,0.0,Cashpoint SC Rheindorf Altach,0.99877,0.0,0.0,0.0,88720,8.0,0.0,10.0,38.0,2018-05-27 17:23,
VIE,17.0,7.0,12.0,1.41986,1.6244,1.40177,41.05739,-4.0,55.0,51.0,1382,17.0,0.0,0.0,0.0,FK Austria Vienna,1.6063,0.0,0.0,0.0,73801,7.0,0.0,12.0,43.0,2018-05-27 17:23,
SKN,26.0,5.0,5.0,1.69132,1.89585,0.8565,23.72748,-49.0,77.0,28.0,17519,26.0,0.0,0.0,0.0,St. Pölten,1.06104,0.0,0.0,1.0,83433,5.0,0.0,5.0,20.0,2018-05-27 17:23,
ADM,15.0,6.0,15.0,1.68971,1.89425,1.40358,36.00371,-7.0,66.0,59.0,11485,15.0,0.0,0.0,0.0,FC Trenkwalder Admira,1.60812,0.0,0.0,0.0,103174,6.0,0.0,15.0,51.0,2018-05-27 17:23,
SAL,3.0,8.0,25.0,0.77837,0.9829,2.1346,70.08374,52.0,29.0,81.0,2790,3.0,1.0,0.0,0.0,FC Salzburg,2.33914,1.0,0.0,0.0,73802,8.0,1.0,25.0,83.0,2018-05-27 17:23,
SSG,10.0,4.0,22.0,1.14606,1.3506,1.75114,54.5429,23.0,45.0,68.0,3746,10.0,1.0,0.0,0.0,SK Sturm Graz,1.95568,0.0,0.0,0.0,73805,4.0,0.0,22.0,70.0,2018-05-27 17:23,
VIE,8.0,11.0,17.0,1.06227,1.2668,1.84977,58.43155,25.0,43.0,68.0,519,8.0,0.0,0.0,0.0,Rapid Vienna,2.05431,0.0,0.0,0.0,73803,11.0,0.0,17.0,62.0,2018-05-27 17:23,
MAT,14.0,10.0,12.0,1.34728,1.55182,1.3359,40.99349,-6.0,56.0,50.0,3745,14.0,0.0,0.0,0.0,SV Mattersburg,1.54044,0.0,0.0,0.0,73807,10.0,0.0,12.0,46.0,2018-05-27 17:23,
LAS,12.0,6.0,17.0,1.19318,1.39772,1.17174,40.22451,8.61055,40.5144,49.12495,4411,12.45805,0.0,0.0,0.0,LASK Linz,1.37627,0.0,0.0,0.0,72842,6.26655,0.0,17.2754,57.0,2018-05-20 16:26,
WOL,19.0,8.0,8.0,1.51037,1.71491,0.92074,28.06764,-26.98535,59.10185,32.1165,13294,19.5932,0.0,0.0,0.0,Wolfsberger AC,1.12528,0.0,0.0,0.0,109462,8.21605,0.0,8.19075,32.0,2018-05-20 16:26,
SCR,18.0,7.0,10.0,1.46527,1.66981,0.85605,27.25546,-16.81135,52.92765,36.1163,4405,18.55675,0.0,0.0,0.0,Cashpoint SC Rheindorf Altach,1.06059,0.0,0.0,0.0,88720,7.2298,0.0,10.21345,37.0,2018-05-20 16:26,
VIE,17.0,7.0,11.0,1.49769,1.70223,1.13425,33.36325,-9.5947,57.3879,47.7932,1382,17.7224,0.0,0.0,0.0,FK Austria Vienna,1.33879,0.0,0.0,0.0,73801,7.1737,0.0,11.1039,40.0,2018-05-20 16:26,
SKN,26.0,5.0,4.0,1.79386,1.9984,0.81194,21.29081,-52.36425,79.3708,27.00655,17519,26.67305,0.0,0.0,0.0,St. Pölten,1.01648,0.0,0.0,1.0,83433,5.1901,0.0,4.13685,17.0,2018-05-20 16:26,
ADM,14.0,6.0,15.0,1.62774,1.83227,1.50231,39.29335,-3.63575,65.00655,61.3708,11485,14.13685,0.0,0.0,0.0,FC Trenkwalder Admira,1.70685,0.0,0.0,0.0,103174,6.1901,0.0,15.67305,51.0,2018-05-20 16:26,
SAL,2.0,8.0,25.0,0.61368,0.81822,2.24879,75.51837,57.5947,25.7932,83.3879,2790,2.1039,1.0,0.0,0.0,FC Salzburg,2.45333,1.0,0.0,0.0,73802,8.1737,1.0,25.7224,83.0,2018-05-20 16:26,
SSG,10.0,3.0,22.0,1.21376,1.4183,1.84455,55.00227,23.81135,46.1163,69.92765,3746,10.21345,1.0,0.0,0.0,SK Sturm Graz,2.04908,0.0,0.0,0.0,73805,3.2298,0.0,22.55675,69.0,2018-05-20 16:26,
VIE,8.0,10.0,17.0,1.12639,1.33093,1.94921,58.99303,25.98535,44.1165,70.10185,519,8.19075,0.0,0.0,0.0,Rapid Vienna,2.15374,0.0,0.0,0.0,73803,10.21605,0.0,17.5932,61.0,2018-05-20 16:26,
MAT,14.0,10.0,11.0,1.35389,1.55843,1.30885,40.22749,-6.61055,56.12495,49.5144,3745,14.2754,0.0,0.0,0.0,SV Mattersburg,1.51339,0.0,0.0,0.0,73807,10.26655,0.0,11.45805,43.0,2018-05-20 16:26,
LAS,11.0,6.0,17.0,1.03253,1.23707,1.20792,44.61985,12.13875,37.84595,49.9847,4411,11.4868,0.0,0.0,0.0,LASK Linz,1.41246,0.0,0.0,0.0,72842,6.50465,0.0,18.00855,57.0,2018-05-15 18:54,
WOL,19.0,8.0,7.0,1.54908,1.75361,0.76636,23.75606,-30.37105,59.80285,29.4318,13294,20.3015,0.0,0.0,0.0,Wolfsberger AC,0.9709,0.0,0.0,0.0,109462,8.4441,0.0,7.2544,29.0,2018-05-15 18:54,
SCR,17.0,7.0,10.0,1.40218,1.60672,0.83205,27.72619,-15.6209,51.2642,35.6433,4405,18.32775,0.0,0.0,0.0,Cashpoint SC Rheindorf Altach,1.03659,0.0,0.0,0.0,88720,7.38775,0.0,10.2845,37.0,2018-05-15 18:54,
VIE,16.0,7.0,11.0,1.44922,1.65376,1.2017,35.84874,-7.08585,56.61725,49.5314,1382,16.9802,0.0,0.0,0.0,FK Austria Vienna,1.40624,0.0,0.0,0.0,73801,7.42965,0.0,11.59015,40.0,2018-05-15 18:54,
SKN,26.0,5.0,3.0,1.87759,2.08213,0.77488,19.40528,-55.19865,81.31575,26.1171,17519,27.2164,0.0,0.0,0.0,St. Pölten,0.97941,0.0,0.0,1.0,83433,5.4086,0.0,3.375,14.0,2018-05-15 18:54,
ADM,13.0,6.0,15.0,1.65141,1.85595,1.57858,40.49825,-2.43965,65.5066,63.06695,11485,13.7269,0.0,0.0,0.0,FC Trenkwalder Admira,1.78311,0.0,0.0,0.0,103174,6.341,0.0,15.9321,51.0,2018-05-15 18:54,
SAL,2.0,8.0,24.0,0.63812,0.84265,2.33703,76.29139,58.9669,26.28595,85.25285,2790,2.14965,1.0,0.0,0.0,FC Salzburg,2.54157,1.0,0.0,0.0,73802,8.27905,1.0,25.5713,80.0,2018-05-15 18:54,
SSG,10.0,3.0,21.0,1.27335,1.47788,1.8728,54.30278,22.92255,47.57035,70.4929,3746,10.41545,1.0,0.0,0.0,SK Sturm Graz,2.07734,0.0,0.0,0.0,73805,3.42035,0.0,22.1642,66.0,2018-05-15 18:54,
VIE,8.0,10.0,16.0,1.10141,1.30594,1.86453,57.86038,24.98675,43.44985,68.4366,519,8.2192,0.0,0.0,0.0,Rapid Vienna,2.06907,0.0,0.0,0.0,73803,10.3705,0.0,17.4103,58.0,2018-05-15 18:54,
MAT,13.0,10.0,11.0,1.4098,1.61434,1.35222,40.12074,-8.29885,58.09325,49.7944,3745,14.193,0.0,0.0,0.0,SV Mattersburg,1.55676,0.0,0.0,0.0,73807,10.38065,0.0,11.42635,43.0,2018-05-15 18:54,
LAS,10.0,6.0,17.0,0.98173,1.18627,1.21295,45.90214,13.7822,36.3657,50.1479,4411,10.947,0.02645,0.0,0.0,LASK Linz,1.41749,0.0,0.0,0.0,72842,6.75315,0.0,18.29985,57.0,2018-05-06 16:25,
WOL,19.0,8.0,6.0,1.56858,1.77312,0.72342,22.44506,-31.94375,60.31105,28.3673,13294,20.79245,0.0,0.0,0.0,Wolfsberger AC,0.92796,0.0,0.0,0.0,109462,8.70365,0.0,6.5039,26.0,2018-05-06 16:25,
SCR,16.0,7.0,10.0,1.22957,1.43411,0.86015,31.55026,-11.88315,48.2306,36.34745,4405,17.3162,0.0,0.0,0.0,Cashpoint SC Rheindorf Altach,1.06469,0.0,0.0,0.0,88720,7.68205,0.0,11.00175,37.0,2018-05-06 16:25,
VIE,15.0,7.0,11.0,1.39276,1.59729,1.21988,37.36044,-5.38115,55.36355,49.9824,1382,16.1875,0.0,0.0,0.0,FK Austria Vienna,1.42442,0.0,0.0,0.0,73801,7.73055,0.0,12.08195,40.0,2018-05-06 16:25,
SKN,26.0,5.0,2.0,1.92061,2.12515,0.63969,16.09728,-58.86325,82.18815,23.3249,17519,27.97095,0.0,0.0,0.0,St. Pölten,0.84423,0.0,0.0,1.0,83433,5.62475,0.0,2.4043,11.0,2018-05-06 16:25,
ADM,13.0,5.0,15.0,1.68323,1.88776,1.63314,41.06528,-1.6385,66.0152,64.3767,11485,13.98795,0.0,0.0,0.0,FC Trenkwalder Admira,1.83768,0.0,0.0,0.0,103174,5.54435,0.0,16.4677,50.0,2018-05-06 16:25,
SAL,2.0,8.0,23.0,0.64885,0.85339,2.19088,73.86369,55.91905,26.6239,82.54295,2790,2.4827,1.0,0.0,0.0,FC Salzburg,2.39542,1.0,0.0,0.0,73802,8.57155,1.0,24.94575,77.0,2018-05-06 16:25,
SSG,10.0,3.0,20.0,1.27802,1.48255,1.78841,52.46684,21.0341,47.7518,68.7859,3746,10.72935,0.88045,0.0,0.0,SK Sturm Graz,1.99295,0.0,0.0,0.0,73805,3.70555,0.0,21.5651,63.0,2018-05-06 16:25,
VIE,7.0,10.0,16.0,1.02339,1.22793,1.88822,60.068,27.61315,40.9354,68.54855,519,7.643,0.0931,0.0,0.0,Rapid Vienna,2.09276,0.0,0.0,0.0,73803,10.6416,0.0,17.7154,58.0,2018-05-06 16:25,
