code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,make_pro_rel,name,o_rating,position_1,pro_rel_d,pro_rel_o,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
WLF,13.0,15.0,6.0,1.32419,1.00567,1.57544,58.75319,-12.0,48.0,36.0,138,13.0,0.0,0.0,0.0,1.0,VfL Wolfsburg,1.25693,0.0,1.32419,1.25693,0.0,0.341,74046,15.0,0.0,6.0,33.0,2018-05-20 00:03,
MGB,13.0,8.0,13.0,1.31922,1.0007,2.1086,69.2457,-5.0,52.0,47.0,268,13.0,0.0,0.0,0.0,0.0,Borussia Monchengladbach,1.79008,0.0,0.00099,0.00134,0.0,0.0,74048,8.0,0.0,13.0,47.0,2018-05-20 00:03,
MNZ,16.0,9.0,9.0,1.20673,0.88821,1.6841,63.93059,-14.0,52.0,38.0,2950,16.0,0.0,0.0,0.0,0.0,Mainz,1.36558,0.0,0.00091,0.00102,0.0,0.0,74062,9.0,0.0,9.0,36.0,2018-05-20 00:03,
AUG,13.0,11.0,10.0,1.22455,0.90603,1.76488,65.11808,-3.0,46.0,43.0,3841,13.0,0.0,0.0,0.0,0.0,FC Augsburg,1.44636,0.0,0.00092,0.00108,0.0,0.0,74082,11.0,0.0,10.0,41.0,2018-05-20 00:03,
COL,22.0,7.0,5.0,1.67353,1.35501,1.91422,57.77842,-35.0,70.0,35.0,122,22.0,0.0,0.0,0.0,0.0,FC Cologne,1.5957,0.0,0.00126,0.0012,0.0,1.0,74049,7.0,0.0,5.0,22.0,2018-05-20 00:03,
FRE,14.0,12.0,8.0,1.33481,1.01629,1.62176,59.49907,-24.0,56.0,32.0,126,14.0,0.0,0.0,0.0,0.0,SC Freiburg,1.30324,0.0,0.001,0.00098,0.0,0.0,74053,12.0,0.0,8.0,36.0,2018-05-20 00:03,
HOF,9.0,10.0,15.0,1.18369,0.86517,2.35722,76.10891,18.0,48.0,66.0,7911,9.0,1.0,0.0,0.0,0.0,TSG Hoffenheim,2.03871,0.0,0.00089,0.00153,0.0,0.0,84341,10.0,0.0,15.0,55.0,2018-05-20 00:03,
SCH,7.0,9.0,18.0,0.98257,0.66405,2.01092,75.31524,16.0,37.0,53.0,133,7.0,1.0,0.0,0.0,0.0,Schalke 04,1.69241,0.0,0.00074,0.00127,0.0,0.0,74039,9.0,0.0,18.0,63.0,2018-05-20 00:03,
RBL,11.0,8.0,15.0,1.32638,1.00786,2.29657,72.17882,4.0,53.0,57.0,11420,11.0,0.0,0.0,0.0,0.0,RB Leipzig,1.97806,0.0,0.00099,0.00148,0.0,0.0,91099,8.0,0.0,15.0,53.0,2018-05-20 00:03,
HAN,15.0,9.0,10.0,1.4111,1.09258,1.887,63.11233,-10.0,54.0,44.0,2428,15.0,0.0,0.0,0.0,0.0,Hannover 96,1.56848,0.0,0.00106,0.00118,0.0,0.0,74056,9.0,0.0,10.0,39.0,2018-05-20 00:03,
FRA,13.0,7.0,14.0,1.09755,0.77903,1.87084,70.19411,0.0,45.0,45.0,125,13.0,0.0,0.0,0.0,0.0,Eintracht Frankfurt,1.55232,0.0,0.00082,0.00116,0.0,0.0,74052,7.0,0.0,14.0,49.0,2018-05-20 00:03,
HSV,19.0,7.0,8.0,1.29713,0.97861,1.6923,61.89587,-24.0,53.0,29.0,127,19.0,0.0,0.0,0.0,0.0,Hamburg SV,1.37379,0.0,0.00097,0.00103,0.0,1.0,78530,7.0,0.0,8.0,31.0,2018-05-20 00:03,
DOR,9.0,10.0,15.0,1.13942,0.8209,2.42811,78.01692,17.0,47.0,64.0,124,9.0,1.0,0.0,0.0,0.0,Borussia Dortmund,2.10959,0.0,0.00085,0.00158,0.0,0.0,74050,10.0,0.0,15.0,55.0,2018-05-20 00:03,
LEV,9.0,10.0,15.0,1.08431,0.76579,2.26637,76.90968,14.0,44.0,58.0,131,9.0,0.0,0.0,0.0,0.0,Bayer Leverkusen,1.94785,0.0,0.00081,0.00146,0.0,0.0,74045,10.0,0.0,15.0,55.0,2018-05-20 00:03,
BMU,4.0,3.0,27.0,0.84511,0.52659,3.31854,91.53828,64.0,28.0,92.0,132,4.0,1.0,0.0,0.0,0.0,Bayern Munich,3.00002,1.0,0.00063,0.00225,0.0,0.0,74078,3.0,1.0,27.0,84.0,2018-05-20 00:03,
BRE,12.0,12.0,10.0,1.13641,0.81789,1.89676,69.73049,-3.0,40.0,37.0,137,12.0,0.0,0.0,0.0,0.0,Werder Bremen,1.57824,0.0,0.00085,0.00118,0.0,0.0,74042,12.0,0.0,10.0,42.0,2018-05-20 00:03,
HER,11.0,13.0,10.0,1.2485,0.92998,1.75322,64.30803,-3.0,46.0,43.0,129,11.0,0.0,0.0,0.0,0.0,Hertha Berlin,1.4347,0.0,0.00094,0.00108,0.0,0.0,74051,13.0,0.0,10.0,43.0,2018-05-20 00:03,
STU,13.0,6.0,15.0,1.07099,0.75247,1.82388,69.98382,0.0,36.0,36.0,134,13.0,0.0,0.0,0.0,0.0,VfB Stuttgart,1.50536,0.0,0.0008,0.00113,0.0,0.0,74040,6.0,0.0,15.0,51.0,2018-05-20 00:03,
WLF,13.0,15.0,6.0,1.32419,1.00567,1.57544,58.75319,-12.0,48.0,36.0,138,13.0,0.0,0.0,0.0,1.0,VfL Wolfsburg,1.25693,0.0,1.32419,1.25693,0.0,0.31562,74046,15.0,0.0,6.0,33.0,2018-05-12 15:28,
MGB,12.0,8.0,13.0,1.28745,0.96894,2.12836,70.28885,-3.90374,51.36118,47.45744,268,12.34582,0.0,0.0,0.0,0.0,Borussia Monchengladbach,1.80985,0.0,0.00039,0.00054,0.0,0.0,74048,8.26348,0.0,13.3907,47.0,2018-05-12 15:28,
MNZ,16.0,9.0,9.0,1.20673,0.88821,1.6841,63.93059,-14.0,52.0,38.0,2950,16.0,0.0,0.0,0.0,0.0,Mainz,1.36558,0.0,0.00036,0.00041,0.0,0.0,74062,9.0,0.0,9.0,36.0,2018-05-12 15:28,
AUG,13.0,11.0,10.0,1.22455,0.90603,1.76488,65.11808,-3.0,46.0,43.0,3841,13.0,0.0,0.0,0.0,0.0,FC Augsburg,1.44636,0.0,0.00037,0.00043,0.0,0.0,74082,11.0,0.0,10.0,41.0,2018-05-12 15:28,
COL,22.0,7.0,5.0,1.67353,1.35501,1.91422,57.77842,-35.0,70.0,35.0,122,22.0,0.0,0.0,0.0,0.0,FC Cologne,1.5957,0.0,0.0005,0.00048,0.0,1.0,74049,7.0,0.0,5.0,22.0,2018-05-12 15:28,
FRE,14.0,12.0,8.0,1.33481,1.01629,1.62176,59.49907,-24.0,56.0,32.0,126,14.0,0.0,0.0,0.0,0.0,SC Freiburg,1.30324,0.0,0.0004,0.00039,0.0,0.0,74053,12.0,0.0,8.0,36.0,2018-05-12 15:28,
HOF,9.0,10.0,15.0,1.18369,0.86517,2.35722,76.10891,18.0,48.0,66.0,7911,9.0,1.0,0.0,0.0,0.0,TSG Hoffenheim,2.03871,0.0,0.00036,0.00061,0.0,0.0,84341,10.0,0.0,15.0,55.0,2018-05-12 15:28,
SCH,7.0,9.0,18.0,0.98257,0.66405,2.01092,75.31524,16.0,37.0,53.0,133,7.0,1.0,0.0,0.0,0.0,Schalke 04,1.69241,0.0,0.00029,0.00051,0.0,0.0,74039,9.0,0.0,18.0,63.0,2018-05-12 15:28,
RBL,11.0,8.0,15.0,1.32638,1.00786,2.29657,72.17882,4.0,53.0,57.0,11420,11.0,0.0,0.0,0.0,0.0,RB Leipzig,1.97806,0.0,0.0004,0.00059,0.0,0.0,91099,8.0,0.0,15.0,53.0,2018-05-12 15:28,
HAN,15.0,9.0,10.0,1.4111,1.09258,1.887,63.11233,-10.0,54.0,44.0,2428,15.0,0.0,0.0,0.0,0.0,Hannover 96,1.56848,0.0,0.00042,0.00047,0.0,0.0,74056,9.0,0.0,10.0,39.0,2018-05-12 15:28,
FRA,13.0,7.0,14.0,1.09755,0.77903,1.87084,70.19411,0.0,45.0,45.0,125,13.0,0.0,0.0,0.0,0.0,Eintracht Frankfurt,1.55232,0.0,0.00033,0.00047,0.0,0.0,74052,7.0,0.0,14.0,49.0,2018-05-12 15:28,
HSV,19.0,7.0,7.0,1.31272,0.99421,1.65961,60.83681,-25.09626,53.45744,28.36118,127,19.3907,0.0,0.0,0.0,0.0,Hamburg SV,1.34109,0.0,0.00039,0.0004,0.0,1.0,78530,7.26348,0.0,7.34582,28.0,2018-05-12 15:28,
DOR,9.0,10.0,15.0,1.13942,0.8209,2.42811,78.01692,17.0,47.0,64.0,124,9.0,1.0,0.0,0.0,0.0,Borussia Dortmund,2.10959,0.0,0.00034,0.00063,0.0,0.0,74050,10.0,0.0,15.0,55.0,2018-05-12 15:28,
LEV,9.0,10.0,15.0,1.08431,0.76579,2.26637,76.90968,14.0,44.0,58.0,131,9.0,0.0,0.0,0.0,0.0,Bayer Leverkusen,1.94785,0.0,0.00033,0.00058,0.0,0.0,74045,10.0,0.0,15.0,55.0,2018-05-12 15:28,
BMU,4.0,3.0,27.0,0.84511,0.52659,3.31854,91.53828,64.0,28.0,92.0,132,4.0,1.0,0.0,0.0,0.0,Bayern Munich,3.00002,1.0,0.00025,0.0009,0.0,0.0,74078,3.0,1.0,27.0,84.0,2018-05-12 15:28,
BRE,12.0,12.0,10.0,1.13641,0.81789,1.89676,69.73049,-3.0,40.0,37.0,137,12.0,0.0,0.0,0.0,0.0,Werder Bremen,1.57824,0.0,0.00034,0.00047,0.0,0.0,74042,12.0,0.0,10.0,42.0,2018-05-12 15:28,
HER,11.0,13.0,10.0,1.2485,0.92998,1.75322,64.30803,-3.0,46.0,43.0,129,11.0,0.0,0.0,0.0,0.0,Hertha Berlin,1.4347,0.0,0.00037,0.00043,0.0,0.0,74051,13.0,0.0,10.0,43.0,2018-05-12 15:28,
STU,13.0,6.0,15.0,1.07099,0.75247,1.82388,69.98382,0.0,36.0,36.0,134,13.0,0.0,0.0,0.0,0.0,VfB Stuttgart,1.50536,0.0,0.00032,0.00045,0.0,0.0,74040,6.0,0.0,15.0,51.0,2018-05-12 15:28,
WLF,13.0,15.0,5.0,1.3176,0.99908,1.52436,57.78555,-14.7237,48.25625,33.53255,138,13.308,0.0,0.0,0.0,0.7343,VfL Wolfsburg,1.20585,0.0,1.31686,1.20341,0.0,0.34895,74046,15.2609,0.0,5.4311,30.0,2018-05-05 15:33,
MGB,12.0,8.0,13.0,1.28745,0.96894,2.12836,70.28885,-3.9105,51.36735,47.45685,268,12.3454,0.0,0.0,0.0,0.0,Borussia Monchengladbach,1.80985,0.0,0.00097,0.00136,0.0,0.0,74048,8.2665,0.0,13.3881,47.0,2018-05-05 15:33,
MNZ,15.0,9.0,9.0,1.18195,0.86343,1.70505,64.9659,-12.792,51.0827,38.2907,2950,15.308,0.0,0.0,0.0,0.0,Mainz,1.38653,0.0,0.00089,0.00104,0.0,0.0,74062,9.2846,0.0,9.4074,36.0,2018-05-05 15:33,
AUG,12.0,11.0,10.0,1.20698,0.88846,1.81255,66.47046,-0.9983,45.2341,44.2358,3841,12.35845,0.0,0.0,0.0,0.0,FC Augsburg,1.49403,0.0,0.00091,0.00112,0.0,0.0,74082,11.28165,0.0,10.3599,41.0,2018-05-05 15:33,
COL,21.0,7.0,5.0,1.61065,1.29214,1.90667,59.00634,-32.2763,67.53255,35.25625,122,21.4311,0.0,0.0,0.0,0.0,FC Cologne,1.58815,0.0,0.00121,0.00119,0.0,1.0,74049,7.2609,0.0,5.308,22.0,2018-05-05 15:33,
FRE,14.0,12.0,7.0,1.37982,1.0613,1.6034,58.02139,-26.0017,57.2358,31.2341,126,14.3599,0.0,0.0,0.0,0.15685,SC Freiburg,1.28489,0.0,1.42394,1.24335,0.0,0.0555,74053,12.28165,0.0,7.35845,33.0,2018-05-05 15:33,
HOF,9.0,10.0,14.0,1.19607,0.87756,2.3455,75.67903,16.1896,48.6113,64.8009,7911,9.34425,0.54455,0.0,0.0,0.0,TSG Hoffenheim,2.02698,0.0,0.0009,0.00152,0.0,0.0,84341,10.23535,0.0,14.4204,52.0,2018-05-05 15:33,
SCH,7.0,9.0,17.0,1.01615,0.69763,2.0279,74.80375,15.5623,37.9474,53.5097,133,7.2307,1.0,0.0,0.0,0.0,Schalke 04,1.70939,0.0,0.00076,0.00128,0.0,0.0,74039,9.27275,0.0,17.49655,60.0,2018-05-05 15:33,
RBL,11.0,8.0,14.0,1.32189,1.00337,2.16896,70.20855,-0.16235,52.4777,52.31535,11420,11.40605,0.0192,0.0,0.0,0.0,RB Leipzig,1.85045,0.0,0.00099,0.00139,0.0,0.0,91099,8.26245,0.0,14.3315,50.0,2018-05-05 15:33,
HAN,14.0,9.0,10.0,1.35991,1.04139,1.83117,63.20718,-10.0415,52.94155,42.90005,2428,14.61425,0.0,0.0,0.0,0.0,Hannover 96,1.51265,0.0,0.00102,0.00113,0.0,0.0,74056,9.223,0.0,10.16275,39.0,2018-05-05 15:33,
FRA,12.0,7.0,14.0,1.11002,0.7915,1.91691,70.71935,0.4377,45.5097,45.9474,125,12.49655,0.0,0.0,0.0,0.0,Eintracht Frankfurt,1.59839,0.0,0.00083,0.0012,0.0,0.0,74052,7.27275,0.0,14.2307,49.0,2018-05-05 15:33,
HSV,19.0,7.0,7.0,1.31272,0.99421,1.65961,60.83681,-25.0895,53.45685,28.36735,127,19.3881,0.0,0.0,0.0,0.10885,Hamburg SV,1.34109,0.0,1.27948,1.39436,0.0,0.91945,78530,7.2665,0.0,7.3454,28.0,2018-05-05 15:33,
DOR,8.0,10.0,15.0,1.13177,0.81326,2.44712,78.42887,18.8104,45.8009,64.6113,124,8.4204,0.9831,0.0,0.0,0.0,Borussia Dortmund,2.1286,0.0,0.00085,0.0016,0.0,0.0,74050,10.23535,0.0,15.34425,55.0,2018-05-05 15:33,
LEV,9.0,10.0,14.0,1.04125,0.72273,2.20115,76.89665,14.0415,42.90005,56.94155,131,9.16275,0.45315,0.0,0.0,0.0,Bayer Leverkusen,1.88263,0.0,0.00078,0.00141,0.0,0.0,74045,10.223,0.0,14.61425,52.0,2018-05-05 15:33,
BMU,3.0,3.0,27.0,0.71633,0.39781,3.36107,93.3861,69.3146,24.34965,93.66425,132,3.0294,1.0,0.0,0.0,0.0,Bayern Munich,3.04255,1.0,0.00054,0.00228,0.0,0.0,74078,3.11285,1.0,27.85775,84.0,2018-05-05 15:33,
BRE,12.0,12.0,9.0,1.15485,0.83633,1.86674,68.74211,-4.208,40.2907,36.0827,137,12.4074,0.0,0.0,0.0,0.0,Werder Bremen,1.54822,0.0,0.00087,0.00116,0.0,0.0,74042,12.2846,0.0,9.308,39.0,2018-05-05 15:33,
HER,10.0,13.0,10.0,1.15775,0.83923,1.74847,66.42377,1.16235,41.31535,42.4777,129,10.3315,0.0,0.0,0.0,0.0,Hertha Berlin,1.42995,0.0,0.00087,0.00107,0.0,0.0,74051,13.26245,0.0,10.40605,43.0,2018-05-05 15:33,
STU,13.0,6.0,14.0,1.09039,0.77187,1.63404,65.81779,-5.3146,37.66425,32.34965,134,13.85775,0.0,0.0,0.0,0.0,VfB Stuttgart,1.31552,0.0,0.00082,0.00099,0.0,0.0,74040,6.11285,0.0,14.0294,48.0,2018-05-05 15:33,
