code,current_losses,current_ties,current_wins,d_rating,d_rating_third,global_d,global_o,global_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_round_of_16,make_semis,name,o_rating,o_rating_third,sdr_id,ties,win_league,wins,current_points,last_updated
MAN,1.0,0.0,5.0,0.80226,0.00024,0.6271,2.10313,77.58801,9.0,A,1.0,0.0,0.0,0.0,360,1.0,0.0,0.0,1.0,0.0,Manchester United,1.92797,0.00058,73601,0.0,0.0,5.0,15.0,2018-05-26 20:41
MAD,1.0,1.0,4.0,1.04457,0.00031,0.66347,3.49949,90.91453,10.0,H,0.0,1.0,0.0,0.0,86,1.0,1.0,1.0,1.0,1.0,Real Madrid,3.11839,0.00094,74013,1.0,1.0,4.0,13.0,2018-05-26 20:41
BAS,2.0,0.0,4.0,1.0641,0.00032,1.16155,2.13061,66.08357,6.0,A,0.0,1.0,0.0,0.0,989,2.0,0.0,0.0,1.0,0.0,Basel,2.22806,0.00067,93159,0.0,0.0,4.0,12.0,2018-05-26 20:41
PSG,1.0,0.0,5.0,0.76129,0.00023,0.64107,2.80075,85.74688,21.0,B,1.0,0.0,0.0,0.0,160,1.0,0.0,0.0,1.0,0.0,Paris Saint-Germain,2.68053,0.0008,74427,0.0,0.0,5.0,15.0,2018-05-26 20:41
SPM,2.0,3.0,1.0,1.05415,1.05415,0.93871,1.94659,67.79041,-4.0,E,0.0,0.0,1.0,0.0,1941,2.0,0.0,0.0,0.0,0.0,Spartak Moscow,1.83115,1.83115,74345,3.0,0.0,1.0,6.0,2018-05-26 20:41
SHK,2.0,0.0,4.0,0.76308,0.00023,0.84451,2.16176,73.60145,0.0,F,0.0,1.0,0.0,0.0,493,2.0,0.0,0.0,1.0,0.0,Shakhtar Donetsk,2.2432,0.00067,74219,0.0,0.0,4.0,12.0,2018-05-26 20:41
DOR,4.0,2.0,0.0,1.13942,1.13942,0.8209,2.42811,78.01692,-6.0,H,0.0,0.0,1.0,0.0,124,4.0,0.0,0.0,0.0,0.0,Borussia Dortmund,2.10959,2.10959,74050,2.0,0.0,0.0,2.0,2018-05-26 20:41
LIV,0.0,3.0,3.0,0.74937,0.00022,0.57421,2.90005,87.77793,17.0,E,1.0,0.0,0.0,0.0,364,0.0,1.0,1.0,1.0,1.0,Liverpool,2.72489,0.00082,73600,3.0,0.0,3.0,12.0,2018-05-26 20:41
MON,4.0,2.0,0.0,1.04394,0.00031,0.92373,2.1211,71.17497,-10.0,G,0.0,0.0,0.0,1.0,174,4.0,0.0,0.0,0.0,0.0,AS Monaco,2.00088,0.0006,74430,2.0,0.0,0.0,2.0,2018-05-26 20:41
QBG,4.0,2.0,0.0,0.77713,0.00023,1.39952,1.1764,40.30184,-12.0,C,0.0,0.0,0.0,1.0,10414,4.0,0.0,0.0,0.0,0.0,FK Qarabag,1.79879,0.00054,89793,2.0,0.0,0.0,2.0,2018-05-26 20:41
