code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
SAR,5.0,12.0,13.0,1.32143,1.70813,1.3211,37.58815,14.0,36.0,50.0,5002,5.0,0.0,0.0,0.0,Sarpsborg,1.70779,0.0,0.0,0.0,95002,12.0,0.0,13.0,51.0,2017-12-07 22:02,
LIL,13.0,7.0,10.0,1.30872,1.69542,1.02483,30.89198,-3.0,43.0,40.0,987,13.0,0.0,0.0,0.0,Lillestrom,1.41152,0.0,0.0,0.0,73933,7.0,0.0,10.0,37.0,2017-12-07 22:02,
SK ,9.0,8.0,13.0,1.30935,1.69605,1.317,37.7237,15.0,36.0,51.0,620,9.0,0.0,0.0,0.0,SK Brann,1.70369,0.0,0.0,0.0,73931,8.0,0.0,13.0,47.0,2017-12-07 22:02,
VAL,13.0,6.0,11.0,1.52644,1.91314,1.38016,35.15582,2.0,46.0,48.0,2791,13.0,0.0,0.0,0.0,Valerenga,1.76685,0.0,0.0,0.0,73938,6.0,0.0,11.0,39.0,2017-12-07 22:02,
AAL,14.0,8.0,8.0,1.76183,2.14853,1.14662,26.31486,-12.0,50.0,38.0,3278,14.0,0.0,0.0,0.0,Aalesund,1.53331,0.0,0.0,1.0,73942,8.0,0.0,8.0,32.0,2017-12-07 22:02,
HAU,13.0,6.0,11.0,1.38387,1.77057,0.88071,26.20607,-4.0,39.0,35.0,3327,13.0,0.0,0.0,0.0,Haugesund,1.26741,0.0,0.0,0.0,74293,6.0,0.0,11.0,39.0,2017-12-07 22:02,
STA,11.0,9.0,10.0,1.56954,1.95624,1.22621,31.04051,-4.0,50.0,46.0,2554,11.0,0.0,0.0,0.0,Stabaek,1.61291,0.0,0.0,0.0,73940,9.0,0.0,10.0,39.0,2017-12-07 22:02,
KRI,10.0,10.0,10.0,1.48856,1.87526,1.21985,32.26932,-2.0,46.0,44.0,6672,10.0,0.0,0.0,0.0,Kristiansund BK,1.60655,0.0,0.0,0.0,106703,10.0,0.0,10.0,40.0,2017-12-07 22:02,
VIK,18.0,6.0,6.0,1.69494,2.08164,0.90382,22.14075,-24.0,57.0,33.0,510,18.0,0.0,0.0,0.0,Viking FK,1.29052,0.0,0.0,1.0,73932,6.0,0.0,6.0,24.0,2017-12-07 22:02,
ODDS,12.0,6.0,12.0,1.31839,1.70508,0.75509,24.22917,-12.0,39.0,27.0,602,12.0,0.0,0.0,0.0,Odd BK,1.14179,0.0,0.0,0.0,73935,6.0,0.0,12.0,42.0,2017-12-07 22:02,
TRO,12.0,8.0,10.0,1.46052,1.84721,1.20027,32.31327,-7.0,49.0,42.0,5270,12.0,0.0,0.0,0.0,Tromso,1.58697,0.0,0.0,0.0,73939,8.0,0.0,10.0,38.0,2017-12-07 22:02,
SOG,14.0,8.0,8.0,1.49497,1.88167,0.9995,27.1892,-10.0,48.0,38.0,3049,14.0,0.0,0.0,0.0,Sogndal,1.3862,0.0,0.0,0.50066,73962,8.0,0.0,8.0,32.0,2017-12-07 22:02,
RBK,5.0,7.0,18.0,0.78601,1.17271,1.46044,52.179,37.0,20.0,57.0,438,5.0,1.0,0.0,0.0,Rosenborg,1.84714,1.0,0.0,0.0,73930,7.0,1.0,18.0,61.0,2017-12-07 22:02,
STR,8.0,8.0,14.0,1.19807,1.58477,1.35506,40.7752,8.0,37.0,45.0,9811,8.0,0.0,0.0,0.0,Stromsgodset,1.74176,0.0,0.0,0.0,73943,8.0,0.0,14.0,50.0,2017-12-07 22:02,
MOL,8.0,6.0,16.0,1.11543,1.50213,1.3201,41.63707,15.0,35.0,50.0,2715,8.0,0.0,0.0,0.0,Molde,1.7068,0.0,0.0,0.0,74298,6.0,0.0,16.0,54.0,2017-12-07 22:02,
SAN,16.0,3.0,11.0,1.70093,2.08763,0.92051,22.41368,-13.0,51.0,38.0,3279,16.0,0.0,0.0,0.0,Sandefjord,1.30721,0.0,0.0,0.0,73941,3.0,0.0,11.0,36.0,2017-12-07 22:02,
