code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
NAC,18.0,7.0,9.0,1.39629,1.65529,1.11652,33.80304,-16.0,57.0,41.0,141,18.0,0.0,0.0,0.0,NAC,1.37552,0.0,0.0,0.0,73812,7.0,0.0,9.0,34.0,2018-05-06 14:26,
ALK,7.0,5.0,22.0,1.10687,1.36586,2.12037,61.49635,34.0,38.0,72.0,140,7.0,0.0,0.0,0.0,AZ,2.37936,0.0,0.0,0.0,73817,5.0,0.0,22.0,71.0,2018-05-06 14:26,
VVV,14.0,13.0,7.0,1.65413,1.91312,0.80661,22.35165,-19.0,54.0,35.0,3731,14.0,0.0,0.0,0.0,VVV Venlo,1.0656,0.0,0.0,0.0,74511,13.0,0.0,7.0,34.0,2018-05-06 14:26,
UTR,8.0,12.0,14.0,1.46284,1.72183,1.61644,43.89152,5.0,53.0,58.0,153,8.0,0.0,0.0,0.0,FC Utrecht,1.87544,0.0,0.0,0.0,73813,12.0,0.0,14.0,54.0,2018-05-06 14:26,
ROT,21.0,6.0,7.0,2.19387,2.45286,1.01919,19.73734,-41.0,75.0,34.0,151,21.0,0.0,0.0,0.0,Sparta,1.27818,0.0,0.0,0.75092,74509,6.0,0.0,7.0,27.0,2018-05-06 14:26,
VIT,11.0,10.0,13.0,1.34146,1.60045,1.8163,50.57662,16.0,47.0,63.0,154,11.0,0.0,0.0,0.0,Vitesse,2.07529,0.0,0.0,0.0,74507,10.0,0.0,13.0,49.0,2018-05-06 14:26,
EXL,16.0,7.0,11.0,1.67505,1.93405,1.10477,28.71811,-15.0,56.0,41.0,2566,16.0,0.0,0.0,0.0,Excelsior,1.36376,0.0,0.0,0.0,74510,7.0,0.0,11.0,40.0,2018-05-06 14:26,
ADO,13.0,8.0,13.0,1.49617,1.75517,1.29863,36.19459,-8.0,53.0,45.0,2726,13.0,0.0,0.0,0.0,ADO Den Haag,1.55763,0.0,0.0,0.0,74585,8.0,0.0,13.0,47.0,2018-05-06 14:26,
AJX,5.0,4.0,25.0,0.97576,1.23475,2.33172,67.96691,56.0,33.0,89.0,139,5.0,1.0,0.0,0.0,Ajax,2.59071,0.0,0.0,0.0,73815,4.0,0.0,25.0,79.0,2018-05-06 14:26,
PSV,3.0,5.0,26.0,1.1582,1.41719,2.3946,65.26673,48.0,39.0,87.0,148,3.0,1.0,0.0,0.0,PSV,2.65359,1.0,0.0,0.0,93373,5.0,1.0,26.0,83.0,2018-05-06 14:26,
ROD,20.0,6.0,8.0,1.78907,2.04807,1.31315,31.40833,-27.0,69.0,42.0,149,20.0,0.0,0.0,0.0,Roda JC,1.57215,0.0,0.0,0.75016,73818,6.0,0.0,8.0,30.0,2018-05-06 14:26,
ZWO,14.0,8.0,12.0,1.6964,1.95539,0.9789,25.58516,-12.0,54.0,42.0,2565,14.0,0.0,0.0,0.0,PEC Zwolle,1.23789,0.0,0.0,0.0,74591,8.0,0.0,12.0,44.0,2018-05-06 14:26,
FEY,8.0,6.0,20.0,1.14168,1.40067,2.23399,62.82533,37.0,39.0,76.0,142,8.0,0.0,0.0,0.0,Feyenoord,2.49298,0.0,0.0,0.0,74504,6.0,0.0,20.0,66.0,2018-05-06 14:26,
TWN,20.0,9.0,5.0,1.66089,1.91988,0.97741,26.09362,-26.0,63.0,37.0,152,20.0,0.0,0.0,0.0,FC Twente,1.2364,0.0,0.0,1.0,74503,9.0,0.0,5.0,24.0,2018-05-06 14:26,
HER,14.0,9.0,11.0,1.7213,1.9803,1.30339,32.3238,-14.0,64.0,50.0,3708,14.0,0.0,0.0,0.0,Heracles,1.56238,0.0,0.0,0.0,74508,9.0,0.0,11.0,42.0,2018-05-06 14:26,
GRN,12.0,14.0,8.0,1.25105,1.51005,1.3424,41.99788,0.0,50.0,50.0,145,12.0,0.0,0.0,0.0,FC Groningen,1.60139,0.0,0.0,0.0,74502,14.0,0.0,8.0,38.0,2018-05-06 14:26,
WIL,17.0,7.0,10.0,1.54551,1.80451,1.42683,38.15436,-13.0,63.0,50.0,156,17.0,0.0,0.0,0.0,Willem II,1.68582,0.0,0.0,0.0,73816,7.0,0.0,10.0,37.0,2018-05-06 14:26,
HER,12.0,10.0,12.0,1.46078,1.71977,1.33594,37.70618,-5.0,53.0,48.0,146,12.0,0.0,0.0,0.0,Heerenveen,1.59494,0.0,0.0,0.0,74505,10.0,0.0,12.0,46.0,2018-05-06 14:26,
NAC,18.0,6.0,9.0,1.41661,1.6756,1.13097,33.7719,-16.0543,57.3299,41.2756,141,18.3628,0.0,0.0,0.0,NAC,1.38996,0.0,0.0,0.00015,73812,6.30065,0.0,9.33655,33.0,2018-04-29 14:25,
ALK,7.0,5.0,21.0,1.14863,1.40763,1.94309,57.21272,29.8458,38.6464,68.4922,140,7.07205,0.0,0.0,0.0,AZ,2.20208,0.0,0.0,0.0,73817,5.16105,0.0,21.7669,68.0,2018-04-29 14:25,
