code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_round_of_16,make_round_of_32,make_semis,name,o_rating,sdr_id,ties,win_league,wins,current_points,last_updated
HBS,4.0,1.0,1.0,0.73132,1.2463,1.36591,48.26597,-5.0,G,0.0,0.0,0.0,1.0,13083,4.0,0.0,0.0,0.0,0.0,0.0,Hapoel Be'er,1.88088,94152,1.0,0.0,1.0,4.0,2018-07-28 15:48
LYON,1.0,2.0,3.0,0.89979,0.77957,2.27139,76.68573,7.0,E,0.0,1.0,0.0,0.0,167,1.0,0.0,0.0,1.0,1.0,0.0,Lyon,2.15117,74432,2.0,0.0,3.0,11.0,2018-07-28 15:48
VAR,5.0,1.0,0.0,0.70701,1.71324,1.23014,35.39933,-17.0,L,0.0,0.0,0.0,1.0,560,5.0,0.0,0.0,0.0,0.0,0.0,Vardar,2.23637,74314,1.0,0.0,0.0,1.0,2018-07-28 15:48
ARS,1.0,1.0,4.0,1.08669,0.91153,2.76111,80.479,10.0,H,1.0,0.0,0.0,0.0,359,1.0,0.0,1.0,1.0,1.0,1.0,Arsenal,2.58595,73616,1.0,0.0,4.0,13.0,2018-07-28 15:48
SSP,2.0,2.0,2.0,0.75062,1.02965,1.55312,57.68052,0.0,A,0.0,0.0,1.0,0.0,494,2.0,0.0,0.0,0.0,0.0,0.0,Slavia Prague,1.83215,74468,2.0,0.0,2.0,8.0,2018-07-28 15:48
RBK,3.0,2.0,1.0,0.69303,1.07973,1.44259,53.96694,-5.0,L,0.0,0.0,1.0,0.0,438,3.0,0.0,0.0,0.0,0.0,0.0,Rosenborg,1.82929,73930,2.0,0.0,1.0,5.0,2018-07-28 15:48
SOC,2.0,0.0,4.0,1.14581,0.76471,2.23872,76.53028,10.0,L,0.0,1.0,0.0,0.0,89,2.0,0.0,0.0,0.0,1.0,0.0,Real Sociedad,1.85762,75770,0.0,0.0,4.0,12.0,2018-07-28 15:48
SPM,0.0,0.0,0.0,1.05415,0.93871,1.94659,67.79041,0.0,,0.0,0.0,0.0,0.0,1941,0.0,0.0,0.0,0.0,1.0,0.0,Spartak Moscow,1.83115,74345,0.0,0.0,0.0,0.0,2018-07-28 15:48
HER,3.0,2.0,1.0,1.2485,0.92998,1.75322,64.30803,-1.0,J,0.0,0.0,0.0,1.0,129,3.0,0.0,0.0,0.0,0.0,0.0,Hertha Berlin,1.4347,74051,2.0,0.0,1.0,5.0,2018-07-28 15:48
NCE,3.0,0.0,3.0,1.02453,0.90431,1.70194,63.89924,5.0,K,0.0,1.0,0.0,0.0,2502,3.0,0.0,0.0,0.0,1.0,0.0,Nice,1.58172,74437,0.0,0.0,3.0,9.0,2018-07-28 15:48
ATA,0.0,2.0,4.0,0.7941,0.67156,2.12715,76.93918,10.0,E,1.0,0.0,0.0,0.0,105,0.0,0.0,0.0,0.0,1.0,0.0,Atalanta,2.00461,73844,2.0,0.0,4.0,14.0,2018-07-28 15:48
VPLZ,2.0,0.0,4.0,0.85362,1.13264,1.76878,59.83201,5.0,G,1.0,0.0,0.0,0.0,11706,2.0,0.0,0.0,1.0,1.0,0.0,Viktoria Plzen,2.04781,74479,0.0,0.0,4.0,12.0,2018-07-28 15:48
ASTA,2.0,1.0,3.0,0.90865,1.33932,1.59143,51.34957,3.0,A,0.0,1.0,0.0,0.0,12124,2.0,0.0,0.0,0.0,1.0,0.0,FC Astana,2.0221,74105,1.0,0.0,3.0,10.0,2018-07-28 15:48
OFK,1.0,2.0,3.0,1.02883,1.30474,1.47601,49.52041,4.0,J,0.0,1.0,0.0,0.0,5043,1.0,0.0,0.0,0.0,1.0,0.0,Östersunds FK,1.75192,79133,2.0,0.0,3.0,11.0,2018-07-28 15:48
