code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
GET,13.0,10.0,15.0,0.9073,0.5262,1.68105,73.08303,9.0,33.0,42.0,2922,13.0,0.0,0.0,0.0,Getafe,1.29995,0.0,0.0,0.0,74009,10.0,0.0,15.0,55.0,2018-05-26 20:42,
EIB,15.0,9.0,14.0,0.95557,0.57447,1.79221,73.8363,-6.0,50.0,44.0,3752,15.0,0.0,0.0,0.0,Eibar,1.41111,0.0,0.0,0.0,73965,9.0,0.0,14.0,51.0,2018-05-26 20:42,
MGA,28.0,5.0,5.0,1.36158,0.98048,1.46532,56.90899,-37.0,61.0,24.0,99,28.0,0.0,0.0,0.0,Málaga,1.08422,0.0,0.0,1.0,74004,5.0,0.0,5.0,20.0,2018-05-26 20:42,
BIL,15.0,13.0,10.0,1.19235,0.81125,1.86227,69.26217,-8.0,49.0,41.0,93,15.0,0.0,0.0,0.0,Athletic Bilbao,1.48117,0.0,0.0,0.0,74011,13.0,0.0,10.0,43.0,2018-05-26 20:42,
ALA,21.0,2.0,15.0,1.14476,0.76367,1.74548,68.23375,-10.0,50.0,40.0,96,21.0,0.0,0.0,0.0,Alavés,1.36438,0.0,0.0,0.0,74003,2.0,0.0,15.0,47.0,2018-05-26 20:42,
DEP,21.0,11.0,6.0,1.44483,1.06373,1.83581,62.77797,-38.0,76.0,38.0,90,21.0,0.0,0.0,0.0,Deportivo La Coruña,1.45471,0.0,0.0,1.0,74022,11.0,0.0,6.0,29.0,2018-05-26 20:42,
LEG,19.0,7.0,12.0,1.16222,0.78112,1.649,65.88804,-17.0,51.0,34.0,17534,19.0,0.0,0.0,0.0,Leganes,1.26791,0.0,0.0,0.0,78708,7.0,0.0,12.0,43.0,2018-05-26 20:42,
PAL,26.0,7.0,5.0,1.53437,1.15327,1.47307,52.92462,-50.0,74.0,24.0,98,26.0,0.0,0.0,0.0,Las Palmas,1.09197,0.0,0.0,1.0,73975,7.0,0.0,5.0,22.0,2018-05-26 20:42,
VIG,15.0,10.0,13.0,1.34798,0.96688,2.0787,69.48843,-1.0,60.0,59.0,85,15.0,0.0,0.0,0.0,Celta Vigo,1.6976,0.0,0.0,0.0,74008,10.0,0.0,13.0,49.0,2018-05-26 20:42,
ATL,5.0,10.0,23.0,0.7918,0.4107,2.10384,82.51021,36.0,22.0,58.0,1068,5.0,1.0,0.0,0.0,Atletico Madrid,1.72274,0.0,0.0,0.0,74010,10.0,0.0,23.0,79.0,2018-05-26 20:42,
BAR,1.0,9.0,28.0,1.01579,0.63469,3.22491,89.43484,70.0,29.0,99.0,83,1.0,1.0,0.0,0.0,Barcelona,2.84381,1.0,0.0,0.0,74014,9.0,1.0,28.0,93.0,2018-05-26 20:42,
MAD,6.0,10.0,22.0,1.04457,0.66347,3.49949,90.91453,50.0,44.0,94.0,86,6.0,1.0,0.0,0.0,Real Madrid,3.11839,0.0,0.0,0.0,74013,10.0,0.0,22.0,76.0,2018-05-26 20:42,
SOC,17.0,7.0,14.0,1.14581,0.76471,2.23872,76.53028,7.0,59.0,66.0,89,17.0,0.0,0.0,0.0,Real Sociedad,1.85762,0.0,0.0,0.0,75770,7.0,0.0,14.0,49.0,2018-05-26 20:42,
SEV,14.0,7.0,17.0,1.16794,0.78684,2.20082,75.48154,-9.0,58.0,49.0,243,14.0,0.0,0.0,0.0,Sevilla FC,1.81972,0.0,0.0,0.0,93401,7.0,0.0,17.0,58.0,2018-05-26 20:42,
VAL,9.0,7.0,22.0,1.02447,0.64337,2.03576,76.18948,27.0,38.0,65.0,94,9.0,1.0,0.0,0.0,Valencia,1.65466,0.0,0.0,0.0,74016,7.0,0.0,22.0,73.0,2018-05-26 20:42,
LEV,14.0,13.0,11.0,1.42577,1.04467,1.91062,64.66776,-14.0,58.0,44.0,1538,14.0,0.0,0.0,0.0,Levante,1.52952,0.0,0.0,0.0,74027,13.0,0.0,11.0,46.0,2018-05-26 20:42,
BET,14.0,6.0,18.0,1.1564,0.7753,1.95782,71.81756,-1.0,61.0,60.0,244,14.0,0.0,0.0,0.0,Real Betis,1.57672,0.0,0.0,0.0,74025,6.0,0.0,18.0,60.0,2018-05-26 20:42,
VLR,13.0,7.0,18.0,1.22158,0.84048,2.08168,72.39674,7.0,50.0,57.0,102,13.0,0.0,0.0,0.0,Villarreal,1.70058,0.0,0.0,0.0,74019,7.0,0.0,18.0,61.0,2018-05-26 20:42,
GIR,15.0,9.0,14.0,1.29329,0.91219,1.88858,67.34278,-9.0,59.0,50.0,9812,15.0,0.0,0.0,0.0,Girona FC,1.50749,0.0,0.0,0.0,78743,9.0,0.0,14.0,51.0,2018-05-26 20:42,
ESP,13.0,13.0,12.0,1.00597,0.62487,1.7586,71.96317,-6.0,42.0,36.0,88,13.0,0.0,0.0,0.0,Espanyol,1.3775,0.0,0.0,0.0,74018,13.0,0.0,12.0,49.0,2018-05-26 20:42,
GET,13.0,10.0,15.0,0.9073,0.5262,1.68105,73.08303,9.0,33.0,42.0,2922,13.0,0.0,0.0,0.0,Getafe,1.29995,0.0,0.0,0.0,74009,10.0,0.0,15.0,55.0,2018-05-20 20:38,
EIB,15.0,9.0,14.0,0.95557,0.57447,1.79221,73.8363,-6.0,50.0,44.0,3752,15.0,0.0,0.0,0.0,Eibar,1.41111,0.0,0.0,0.0,73965,9.0,0.0,14.0,51.0,2018-05-20 20:38,
MGA,28.0,5.0,5.0,1.36158,0.98048,1.46532,56.90899,-37.0,61.0,24.0,99,28.0,0.0,0.0,0.0,Málaga,1.08422,0.0,0.0,1.0,74004,5.0,0.0,5.0,20.0,2018-05-20 20:38,
BIL,15.0,13.0,10.0,1.19235,0.81125,1.86227,69.26217,-8.0,49.0,41.0,93,15.0,0.0,0.0,0.0,Athletic Bilbao,1.48117,0.0,0.0,0.0,74011,13.0,0.0,10.0,43.0,2018-05-20 20:38,
ALA,21.0,2.0,15.0,1.14476,0.76367,1.74548,68.23375,-10.0,50.0,40.0,96,21.0,0.0,0.0,0.0,Alavés,1.36438,0.0,0.0,0.0,74003,2.0,0.0,15.0,47.0,2018-05-20 20:38,
DEP,21.0,11.0,6.0,1.44483,1.06373,1.83581,62.77797,-38.0,76.0,38.0,90,21.0,0.0,0.0,0.0,Deportivo La Coruña,1.45471,0.0,0.0,1.0,74022,11.0,0.0,6.0,29.0,2018-05-20 20:38,
LEG,19.0,7.0,12.0,1.16222,0.78112,1.649,65.88804,-17.0,51.0,34.0,17534,19.0,0.0,0.0,0.0,Leganes,1.26791,0.0,0.0,0.0,78708,7.0,0.0,12.0,43.0,2018-05-20 20:38,
