code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,make_pro_rel,name,o_rating,position_1,pro_rel_d,pro_rel_o,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
SOC,15.0,8.0,15.0,1.84997,1.83234,0.98956,27.75224,-11.0,62.0,51.0,272,15.0,0.0,0.0,0.0,0.0,Sochaux,0.97193,0.0,0.00139,0.00073,0.0,0.0,74435,8.0,0.0,15.0,53.0,2018-05-20 00:02,
LOR,12.0,8.0,18.0,1.51287,1.49524,1.21273,39.21585,15.0,46.0,61.0,273,12.0,0.0,0.0,0.0,0.0,Lorient,1.1951,0.0,0.00113,0.0009,0.0,0.0,74443,8.0,0.0,18.0,62.0,2018-05-20 00:02,
AUX,17.0,8.0,13.0,1.77555,1.75792,1.07795,31.05357,-4.0,55.0,51.0,172,17.0,0.0,0.0,0.0,0.0,Auxerre,1.06031,0.0,0.00133,0.0008,0.0,0.0,74433,8.0,0.0,13.0,47.0,2018-05-20 00:02,
US ,22.0,7.0,9.0,1.99173,1.9741,0.99467,25.65183,-20.0,65.0,45.0,7721,22.0,0.0,0.0,0.0,0.0,US Quevilly,0.97704,0.0,0.00149,0.00073,0.0,1.0,75049,7.0,0.0,9.0,34.0,2018-05-20 00:02,
GFC,19.0,9.0,10.0,2.0356,2.01797,0.8271,21.35635,-26.0,60.0,34.0,7707,19.0,0.0,0.0,0.0,0.0,GFC Ajaccio,0.80947,0.0,0.00153,0.00061,0.0,0.0,74956,9.0,0.0,10.0,39.0,2018-05-20 00:02,
VAL,16.0,10.0,12.0,1.99495,1.97732,1.0503,26.82947,-13.0,63.0,50.0,6732,16.0,0.0,0.0,0.0,0.0,Valenciennes,1.03267,0.0,0.0015,0.00077,0.0,0.0,74442,10.0,0.0,12.0,46.0,2018-05-20 00:02,
AJC,10.0,8.0,20.0,1.41687,1.39924,1.17238,40.20848,19.0,43.0,62.0,2503,10.0,0.0,0.0,0.0,1.0,AC Ajaccio,1.15475,0.0,1.41687,1.15475,0.27465,0.0,74460,8.0,0.0,20.0,68.0,2018-05-20 00:02,
HAC,10.0,10.0,18.0,1.09722,1.07959,1.10551,45.64065,18.0,34.0,52.0,3236,10.0,0.0,0.0,0.0,0.0,Le Havre,1.08788,0.0,0.00082,0.00082,0.0,0.0,74456,10.0,0.0,18.0,64.0,2018-05-20 00:02,
CHAT,12.0,9.0,17.0,1.49618,1.47855,0.94771,32.96468,0.0,50.0,50.0,2995,12.0,0.0,0.0,0.0,0.0,Chateauroux,0.93008,0.0,0.00112,0.0007,0.0,0.0,74448,9.0,0.0,17.0,60.0,2018-05-20 00:02,
NIME,9.0,7.0,22.0,1.24243,1.2248,1.48244,51.47955,38.0,37.0,75.0,7730,9.0,0.0,0.0,0.0,0.0,Nimes,1.46481,0.0,0.00093,0.0011,1.0,0.0,75037,7.0,0.0,22.0,73.0,2018-05-20 00:02,
