code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
ROS,11.0,10.0,9.0,0.91793,0.80249,1.17722,54.49199,-1.0,28.0,27.0,3852,11.0,0.0,0.0,0.0,Rostov,1.06178,0.0,0.0,0.0,74350,10.0,0.0,9.0,37.0,2018-05-13 13:01,
CKA,21.0,7.0,2.0,1.86203,1.74659,0.77347,24.03258,-39.0,55.0,16.0,18737,21.0,0.0,0.0,0.0,Energiya Khabarovsk,0.65802,0.0,0.0,1.0,79989,7.0,0.0,2.0,13.0,2018-05-13 13:01,
DINA,10.0,10.0,10.0,0.97333,0.85789,1.26825,55.33239,-1.0,30.0,29.0,596,10.0,0.0,0.0,0.0,Dinamo Moscow,1.15281,0.0,0.0,0.0,74348,10.0,0.0,10.0,40.0,2018-05-13 13:01,
AMK,13.0,8.0,9.0,0.98934,0.8739,0.97947,47.30205,-10.0,30.0,20.0,3791,13.0,0.0,0.0,0.0,Amkar Perm,0.86402,0.0,0.0,0.0,74354,8.0,0.0,9.0,35.0,2018-05-13 13:01,
URL,9.0,13.0,8.0,1.09,0.97456,1.22109,51.18137,-1.0,32.0,31.0,15582,9.0,0.0,0.0,0.0,Ural Sverdlovsk Oblast,1.10565,0.0,0.0,0.0,79979,13.0,0.0,8.0,37.0,2018-05-13 13:01,
KRA,8.0,6.0,16.0,0.90978,0.79434,1.77883,68.11351,16.0,30.0,46.0,11336,8.0,0.0,0.0,0.0,FC Krasnodar,1.66338,0.0,0.0,0.0,81417,6.0,0.0,16.0,54.0,2018-05-13 13:01,
RUB,10.0,11.0,9.0,0.80393,0.68849,1.28355,60.22975,7.0,25.0,32.0,3851,10.0,0.0,0.0,0.0,Rubin Kazan,1.16811,0.0,0.0,0.0,74355,11.0,0.0,9.0,38.0,2018-05-13 13:01,
ZEN,5.0,11.0,14.0,0.82696,0.71152,1.68859,68.44256,25.0,21.0,46.0,2533,5.0,0.0,0.0,0.0,Zenit St Petersburg,1.57315,0.0,0.0,0.0,74349,11.0,0.0,14.0,53.0,2018-05-13 13:01,
ANZ,18.0,6.0,6.0,1.5216,1.40615,1.2742,42.54935,-24.0,55.0,31.0,593,18.0,0.0,0.0,0.0,Anzhi Makhachkala,1.15876,0.0,0.0,0.0,95455,6.0,0.0,6.0,24.0,2018-05-13 13:01,
CSKA,6.0,7.0,17.0,0.77423,0.65879,2.00766,75.38657,26.0,23.0,49.0,1963,6.0,1.0,0.0,0.0,CSKA Moscow,1.89222,0.0,0.0,0.0,74347,7.0,0.0,17.0,58.0,2018-05-13 13:01,
TUL,12.0,6.0,12.0,1.36941,1.25397,1.47619,50.66965,-6.0,41.0,35.0,17495,12.0,0.0,0.0,0.0,FC Arsenal Tula,1.36075,0.0,0.0,0.0,108342,6.0,0.0,12.0,42.0,2018-05-13 13:01,
UFA,9.0,10.0,11.0,0.86386,0.74842,1.34231,60.01231,4.0,30.0,34.0,17368,9.0,0.0,0.0,0.0,FC Ufa,1.22687,0.0,0.0,0.0,87548,10.0,0.0,11.0,43.0,2018-05-13 13:01,
LOK,6.0,6.0,18.0,0.81731,0.70187,1.49526,64.71597,20.0,21.0,41.0,442,6.0,1.0,0.0,0.0,Lokomotiv Moscow,1.37982,1.0,0.0,0.0,74346,6.0,1.0,18.0,60.0,2018-05-13 13:01,
TER,11.0,9.0,10.0,0.96926,0.85382,1.26136,55.26764,-4.0,34.0,30.0,2991,11.0,0.0,0.0,0.0,Terek Grozny,1.14592,0.0,0.0,0.0,81127,9.0,0.0,10.0,39.0,2018-05-13 13:01,
FT,18.0,6.0,6.0,1.84828,1.73283,0.977,29.10725,-31.0,54.0,23.0,17822,18.0,0.0,0.0,0.0,FC Tosno,0.86155,0.0,0.0,1.0,109394,6.0,0.0,6.0,24.0,2018-05-13 13:01,
SPM,6.0,8.0,16.0,1.05415,0.93871,1.94659,67.79041,19.0,32.0,51.0,1941,6.0,1.0,0.0,0.0,Spartak Moscow,1.83115,0.0,0.0,0.0,74345,8.0,0.0,16.0,56.0,2018-05-13 13:01,
ROS,11.0,10.0,8.0,0.95613,0.84069,1.18393,53.65655,-1.6133,28.73605,27.12275,3852,11.2359,0.0,0.0,0.0,Rostov,1.06849,0.0,0.0,0.0,74350,10.3266,0.0,8.4375,34.0,2018-05-07 18:28,
CKA,20.0,7.0,2.0,1.68801,1.57257,0.7895,27.23858,-35.01005,51.2108,16.20075,18737,20.8395,0.0,0.0,0.0,Energiya Khabarovsk,0.67406,0.0,0.0,1.0,79989,7.1369,0.0,2.0236,13.0,2018-05-07 18:28,
DINA,10.0,10.0,9.0,1.03907,0.92363,1.25802,53.38977,-3.01775,31.8277,28.80995,596,10.612,0.0,0.0,0.0,Dinamo Moscow,1.14257,0.0,0.0,0.0,74348,10.22925,0.0,9.15875,37.0,2018-05-07 18:28,
AMK,13.0,7.0,9.0,1.03229,0.91685,1.03117,47.63921,-9.9228,30.8437,20.9209,3791,13.305,0.0,0.0,0.0,Amkar Perm,0.91573,0.0,0.0,0.0,74354,7.3473,0.0,9.3477,34.0,2018-05-07 18:28,
URL,8.0,13.0,8.0,1.09682,0.98138,1.26418,52.09097,-0.3867,32.12275,31.73605,15582,8.4375,0.0,0.0,0.0,Ural Sverdlovsk Oblast,1.14874,0.0,0.0,0.0,79979,13.3266,0.0,8.2359,37.0,2018-05-07 18:28,
KRA,8.0,5.0,16.0,0.89285,0.77741,1.80125,68.95299,16.67125,29.67515,46.3464,11336,8.18205,0.0279,0.0,0.0,FC Krasnodar,1.68581,0.0,0.0,0.0,81417,5.29555,0.0,16.5224,53.0,2018-05-07 18:28,
RUB,10.0,10.0,9.0,0.81764,0.7022,1.26361,59.36937,6.32875,25.3464,31.67515,3851,10.5224,0.0,0.0,0.0,Rubin Kazan,1.14817,0.0,0.0,0.0,74355,10.29555,0.0,9.18205,37.0,2018-05-07 18:28,
ZEN,5.0,11.0,13.0,0.84524,0.7298,1.53543,64.84413,21.01005,21.20075,42.2108,2533,5.0236,0.0,0.0,0.0,Zenit St Petersburg,1.41999,0.0,0.0,0.0,74349,11.1369,0.0,13.8395,50.0,2018-05-07 18:28,
ANZ,17.0,6.0,6.0,1.54076,1.42531,1.24154,41.3554,-25.1962,55.6131,30.4169,593,17.8418,0.0,0.0,0.0,Anzhi Makhachkala,1.1261,0.0,0.0,0.3197,95455,6.11885,0.0,6.03935,24.0,2018-05-07 18:28,
CSKA,6.0,7.0,16.0,0.74893,0.63349,2.03025,76.33379,27.1962,22.4169,49.6131,1963,6.03935,0.98145,0.0,0.0,CSKA Moscow,1.91481,0.0,0.0,0.0,74347,7.11885,0.0,16.8418,55.0,2018-05-07 18:28,
TUL,12.0,6.0,11.0,1.43721,1.32177,1.40879,47.5832,-8.52235,42.5255,34.00315,17495,12.49005,0.0,0.0,0.0,FC Arsenal Tula,1.29335,0.0,0.0,0.0,108342,6.2663,0.0,11.24365,39.0,2018-05-07 18:28,
UFA,9.0,10.0,10.0,0.8922,0.77676,1.21065,56.03149,0.2063,30.4632,30.6695,17368,9.09355,0.0,0.0,0.0,FC Ufa,1.09521,0.0,0.0,0.0,87548,10.23505,0.0,10.6714,40.0,2018-05-07 18:28,
LOK,5.0,6.0,18.0,0.7691,0.65366,1.56343,67.43126,22.52235,20.00315,42.5255,442,5.24365,1.0,0.0,0.0,Lokomotiv Moscow,1.44799,1.0,0.0,0.0,74346,6.2663,1.0,18.49005,60.0,2018-05-07 18:28,
TER,11.0,8.0,10.0,1.02483,0.90938,1.30869,54.99976,-4.0772,34.9209,30.8437,2991,11.3477,0.0,0.0,0.0,Terek Grozny,1.19325,0.0,0.0,0.0,81127,8.3473,0.0,10.305,38.0,2018-05-07 18:28,
FT,17.0,6.0,6.0,1.6705,1.55506,1.00529,32.96453,-27.2063,50.6695,23.4632,17822,17.6714,0.0,0.0,0.0,FC Tosno,0.88985,0.0,0.0,0.6803,109394,6.23505,0.0,6.09355,24.0,2018-05-07 18:28,
SPM,5.0,8.0,16.0,1.04451,0.92907,2.0494,69.83777,21.01775,31.80995,52.8277,1941,5.15875,0.99065,0.0,0.0,Spartak Moscow,1.93396,0.0,0.0,0.0,74345,8.22925,0.0,16.612,56.0,2018-05-07 18:28,
ROS,10.0,10.0,8.0,0.94559,0.83015,1.22862,55.06869,-0.5635,28.46805,27.90455,3852,10.8346,0.0,0.0,0.0,Rostov,1.11318,0.0,0.0,0.0,74350,10.5683,0.0,8.5971,34.0,2018-04-30 17:52,
