code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
SOU,16.0,15.0,7.0,1.11274,0.93758,1.56989,60.30259,-19.0,56.0,37.0,376,16.0,0.0,0.0,0.0,Southampton,1.39473,0.0,0.0,0.0,73620,15.0,0.0,7.0,36.0,2018-05-26 20:42,
MAN,7.0,6.0,25.0,0.80226,0.6271,2.10313,77.58801,40.0,28.0,68.0,360,7.0,1.0,0.0,0.0,Manchester United,1.92797,0.0,0.0,0.0,73601,6.0,0.0,25.0,81.0,2018-05-26 20:42,
BHA,16.0,13.0,9.0,1.21686,1.04169,1.42325,54.4364,-20.0,54.0,34.0,331,16.0,0.0,0.0,0.0,Brighton and Hove Albion,1.24809,0.0,0.0,0.0,73651,13.0,0.0,9.0,40.0,2018-05-26 20:42,
WHU,16.0,12.0,10.0,1.35362,1.17846,1.69082,57.14769,-20.0,68.0,48.0,371,16.0,0.0,0.0,0.0,West Ham United,1.51566,0.0,0.0,0.0,73611,12.0,0.0,10.0,42.0,2018-05-26 20:42,
TOT,7.0,8.0,23.0,0.84135,0.66618,2.53846,82.49592,38.0,36.0,74.0,367,7.0,1.0,0.0,0.0,Tottenham Hotspur,2.3633,0.0,0.0,0.0,73602,8.0,0.0,23.0,77.0,2018-05-26 20:42,
MNC,2.0,4.0,32.0,0.63461,0.45945,2.94488,89.95548,79.0,27.0,106.0,382,2.0,1.0,0.0,0.0,Manchester City,2.76972,1.0,0.0,0.0,73608,4.0,1.0,32.0,100.0,2018-05-26 20:42,
STK,19.0,12.0,7.0,1.3316,1.15644,1.43423,51.95172,-33.0,68.0,35.0,336,19.0,0.0,0.0,0.0,Stoke City,1.25907,0.0,0.0,1.0,73626,12.0,0.0,7.0,33.0,2018-05-26 20:42,
BRN,12.0,12.0,14.0,1.07985,0.90469,1.4566,58.6038,-3.0,39.0,36.0,379,12.0,0.0,0.0,0.0,Burnley,1.28144,0.0,0.0,0.0,73618,12.0,0.0,14.0,54.0,2018-05-26 20:42,
SWA,21.0,9.0,8.0,1.29588,1.12072,1.28434,49.20604,-28.0,56.0,28.0,318,21.0,0.0,0.0,0.0,Swansea City,1.10918,0.0,0.0,1.0,73647,9.0,0.0,8.0,33.0,2018-05-26 20:42,
ARS,13.0,6.0,19.0,1.08669,0.91153,2.76111,80.479,23.0,51.0,74.0,359,13.0,0.0,0.0,0.0,Arsenal,2.58595,0.0,0.0,0.0,73616,6.0,0.0,19.0,63.0,2018-05-26 20:42,
CRY,16.0,11.0,11.0,1.11515,0.93999,1.91699,67.21712,-10.0,55.0,45.0,384,16.0,0.0,0.0,0.0,Crystal Palace,1.74182,0.0,0.0,0.0,73622,11.0,0.0,11.0,44.0,2018-05-26 20:42,
WBA,19.0,13.0,6.0,1.20663,1.03146,1.42391,54.70081,-25.0,56.0,31.0,383,19.0,0.0,0.0,0.0,West Bromwich Albion,1.24875,0.0,0.0,1.0,73633,13.0,0.0,6.0,31.0,2018-05-26 20:42,
LIV,5.0,12.0,21.0,0.74937,0.57421,2.90005,87.77793,46.0,38.0,84.0,364,5.0,1.0,0.0,0.0,Liverpool,2.72489,0.0,0.0,0.0,73600,12.0,0.0,21.0,75.0,2018-05-26 20:42,
WAT,19.0,8.0,11.0,1.20095,1.02579,1.59411,58.6727,-20.0,64.0,44.0,395,19.0,0.0,0.0,0.0,Watford,1.41895,0.0,0.0,0.0,73638,8.0,0.0,11.0,41.0,2018-05-26 20:42,
NEW,18.0,8.0,12.0,1.08735,0.91219,1.61931,61.99096,-8.0,47.0,39.0,361,18.0,0.0,0.0,0.0,Newcastle,1.44415,0.0,0.0,0.0,73604,8.0,0.0,12.0,44.0,2018-05-26 20:42,
EVE,15.0,10.0,13.0,1.20143,1.02627,1.65777,60.0265,-14.0,58.0,44.0,368,15.0,0.0,0.0,0.0,Everton,1.48261,0.0,0.0,0.0,73599,10.0,0.0,13.0,49.0,2018-05-26 20:42,
CHE,10.0,7.0,21.0,0.91082,0.73566,2.33631,78.53462,24.0,38.0,62.0,363,10.0,0.0,0.0,0.0,Chelsea,2.16114,0.0,0.0,0.0,73598,7.0,0.0,21.0,70.0,2018-05-26 20:42,
LEI,15.0,11.0,12.0,1.20846,1.0333,1.87709,64.28922,-4.0,60.0,56.0,375,15.0,0.0,0.0,0.0,Leicester City,1.70193,0.0,0.0,0.0,73629,11.0,0.0,12.0,47.0,2018-05-26 20:42,
HUD,19.0,10.0,9.0,1.18429,1.00913,1.17815,49.23112,-30.0,58.0,28.0,335,19.0,0.0,0.0,0.0,Huddersfield Town,1.00299,0.0,0.0,0.0,73649,10.0,0.0,9.0,37.0,2018-05-26 20:42,
BOU,16.0,11.0,11.0,1.41943,1.24427,1.77161,57.34024,-16.0,61.0,45.0,349,16.0,0.0,0.0,0.0,AFC Bournemouth,1.59645,0.0,0.0,0.0,73650,11.0,0.0,11.0,44.0,2018-05-26 20:42,
SOU,16.0,15.0,7.0,1.11274,0.93758,1.56989,60.30259,-19.0,56.0,37.0,376,16.0,0.0,0.0,0.0,Southampton,1.39473,0.0,0.0,0.0,73620,15.0,0.0,7.0,36.0,2018-05-13 15:57,
MAN,7.0,6.0,25.0,0.80226,0.6271,2.10313,77.58801,40.0,28.0,68.0,360,7.0,1.0,0.0,0.0,Manchester United,1.92797,0.0,0.0,0.0,73601,6.0,0.0,25.0,81.0,2018-05-13 15:57,
BHA,16.0,13.0,9.0,1.21686,1.04169,1.42325,54.4364,-20.0,54.0,34.0,331,16.0,0.0,0.0,0.0,Brighton and Hove Albion,1.24809,0.0,0.0,0.0,73651,13.0,0.0,9.0,40.0,2018-05-13 15:57,
WHU,16.0,12.0,10.0,1.35362,1.17846,1.69082,57.14769,-20.0,68.0,48.0,371,16.0,0.0,0.0,0.0,West Ham United,1.51566,0.0,0.0,0.0,73611,12.0,0.0,10.0,42.0,2018-05-13 15:57,
TOT,7.0,8.0,23.0,0.84135,0.66618,2.53846,82.49592,38.0,36.0,74.0,367,7.0,1.0,0.0,0.0,Tottenham Hotspur,2.3633,0.0,0.0,0.0,73602,8.0,0.0,23.0,77.0,2018-05-13 15:57,
MNC,2.0,4.0,32.0,0.63461,0.45945,2.94488,89.95548,79.0,27.0,106.0,382,2.0,1.0,0.0,0.0,Manchester City,2.76972,1.0,0.0,0.0,73608,4.0,1.0,32.0,100.0,2018-05-13 15:57,
