code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
CEL,4.0,10.0,24.0,0.63775,1.17919,1.54201,53.88409,48.0,25.0,73.0,256,4.0,1.0,0.0,0.0,Celtic,2.08345,1.0,0.0,0.0,73714,10.0,1.0,24.0,82.0,2018-05-13 13:25,
MOT,16.0,9.0,13.0,1.2633,1.80474,0.61306,19.40771,-6.0,49.0,43.0,266,16.0,0.0,0.0,0.0,Motherwell,1.1545,0.0,0.0,0.0,73718,9.0,0.0,13.0,48.0,2018-05-13 13:25,
PAR,21.0,9.0,8.0,1.43487,1.97631,0.32607,11.16532,-30.0,61.0,31.0,247,21.0,0.0,0.0,0.0,Partick Thistle,0.86751,0.0,0.0,0.49884,73731,9.0,0.0,8.0,33.0,2018-05-13 13:25,
STJO,16.0,10.0,12.0,1.28867,1.83011,0.7667,22.62913,-11.0,53.0,42.0,267,16.0,0.0,0.0,0.0,St Johnstone,1.30814,0.0,0.0,0.0,73727,10.0,0.0,12.0,46.0,2018-05-13 13:25,
KILM,11.0,11.0,16.0,1.08524,1.62668,0.94581,30.19347,2.0,47.0,49.0,260,11.0,0.0,0.0,0.0,Kilmarnock,1.48725,0.0,0.0,0.0,73720,11.0,0.0,16.0,59.0,2018-05-13 13:25,
DUN,21.0,6.0,11.0,1.44414,1.98558,0.46124,13.89585,-21.0,57.0,36.0,261,21.0,0.0,0.0,0.0,Dundee,1.00268,0.0,0.0,0.0,73726,6.0,0.0,11.0,39.0,2018-05-13 13:25,
ROSS,21.0,11.0,6.0,1.48138,2.02282,0.66613,17.82998,-22.0,62.0,40.0,251,21.0,0.0,0.0,0.0,Ross County,1.20757,0.0,0.0,1.0,73742,11.0,0.0,6.0,29.0,2018-05-13 13:25,
RANG,10.0,7.0,21.0,1.28936,1.8308,1.74275,44.44973,26.0,50.0,76.0,257,10.0,0.0,0.0,0.0,Rangers,2.28419,0.0,0.0,0.0,73719,7.0,0.0,21.0,70.0,2018-05-13 13:25,
HAM,23.0,6.0,9.0,1.70702,2.24846,0.6894,15.74713,-21.0,68.0,47.0,409,23.0,0.0,0.0,0.0,Hamilton Academical,1.23084,0.0,0.0,0.0,73729,6.0,0.0,9.0,33.0,2018-05-13 13:25,
HOM,13.0,13.0,12.0,0.92461,1.46605,0.74426,27.921,0.0,39.0,39.0,262,13.0,0.0,0.0,0.0,Hearts,1.2857,0.0,0.0,0.0,73716,13.0,0.0,12.0,49.0,2018-05-13 13:25,
HIBS,7.0,13.0,18.0,1.15123,1.69267,1.44404,40.66945,16.0,46.0,62.0,258,7.0,0.0,0.0,0.0,Hibernian,1.98548,0.0,0.0,0.0,73717,13.0,0.0,18.0,67.0,2018-05-13 13:25,
ABER,9.0,7.0,22.0,0.76894,1.31038,1.09821,40.23053,19.0,37.0,56.0,263,9.0,0.0,0.0,0.0,Aberdeen,1.63965,0.0,0.0,0.0,73713,7.0,0.0,22.0,73.0,2018-05-13 13:25,
CEL,3.0,10.0,24.0,0.62297,1.16441,1.64832,56.56446,49.85435,24.67415,74.5285,256,3.1646,1.0,0.0,0.0,Celtic,2.18976,1.0,0.0,0.0,73714,10.25575,1.0,24.57965,82.0,2018-05-09 20:41,
MOT,16.0,9.0,12.0,1.32262,1.86406,0.54265,17.03608,-8.7474,50.147,41.3996,266,16.3072,0.0,0.0,0.0,Motherwell,1.08409,0.0,0.0,0.0,73718,9.2671,0.0,12.4257,45.0,2018-05-09 20:41,
PAR,21.0,9.0,7.0,1.51185,2.05329,0.31628,10.31024,-31.4949,62.29055,30.79565,247,21.47945,0.0,0.0,0.0,Partick Thistle,0.85772,0.0,0.0,0.5956,73731,9.2949,0.0,7.22565,30.0,2018-05-09 20:41,
STJO,16.0,9.0,12.0,1.29044,1.83188,0.79412,23.23891,-10.43325,53.0286,42.59535,267,16.2425,0.0,0.0,0.0,St Johnstone,1.33556,0.0,0.0,0.0,73727,9.2557,0.0,12.5018,45.0,2018-05-09 20:41,
KILM,11.0,11.0,15.0,1.13621,1.67766,0.95511,29.52805,1.13365,48.0067,49.14035,260,11.3185,0.0,0.0,0.0,Kilmarnock,1.49655,0.0,0.0,0.0,73720,11.2977,0.0,15.3838,56.0,2018-05-09 20:41,
DUN,20.0,6.0,11.0,1.43036,1.9718,0.52144,15.32332,-19.5051,56.79565,37.29055,261,20.22565,0.0,0.0,0.0,Dundee,1.06288,0.0,0.0,0.0,73726,6.2949,0.0,11.47945,39.0,2018-05-09 20:41,
ROSS,21.0,10.0,6.0,1.51136,2.0528,0.66782,17.50776,-22.56675,62.59535,40.0286,251,21.5018,0.0,0.0,0.0,Ross County,1.20926,0.0,0.0,0.9087,73742,10.2557,0.0,6.2425,28.0,2018-05-09 20:41,
RANG,10.0,6.0,21.0,1.15276,1.6942,1.52958,42.5411,25.86785,46.63305,72.5009,257,10.41005,0.0,0.0,0.0,Rangers,2.07103,0.0,0.0,0.0,73719,6.2378,0.0,21.35215,69.0,2018-05-09 20:41,
HAM,22.0,6.0,9.0,1.61376,2.1552,0.74766,17.95196,-18.2526,66.3996,48.147,409,22.4257,0.0,0.0,0.0,Hamilton Academical,1.2891,0.0,0.0,0.0,73729,6.2671,0.0,9.3072,33.0,2018-05-09 20:41,
HOM,12.0,13.0,12.0,0.93133,1.47277,0.80149,29.30094,0.86635,39.14035,40.0067,262,12.3838,0.0,0.0,0.0,Hearts,1.34293,0.0,0.0,0.0,73716,13.2977,0.0,12.3185,49.0,2018-05-09 20:41,
HIBS,7.0,12.0,18.0,1.02335,1.56479,1.25568,38.84746,16.13215,42.5009,58.63305,258,7.35215,0.0,0.0,0.0,Hibernian,1.79712,0.0,0.0,0.0,73717,12.2378,0.0,18.41005,66.0,2018-05-09 20:41,
ABER,9.0,7.0,21.0,0.82214,1.36358,1.07093,38.40787,17.14565,38.5285,55.67415,263,9.57965,0.0,0.0,0.0,Aberdeen,1.61237,0.0,0.0,0.0,73713,7.25575,0.0,21.1646,70.0,2018-05-09 20:41,
CEL,3.0,9.0,23.0,0.636,1.17745,1.6605,56.52422,50.1195,25.0664,75.1859,256,3.4508,1.0,0.0,0.0,Celtic,2.20194,1.0,0.0,0.0,73714,9.71405,1.0,24.83515,78.0,2018-04-29 12:52,
MOT,15.0,9.0,11.0,1.14107,1.68251,0.55652,19.71199,-4.9449,46.6487,41.7038,266,15.7869,0.0,0.0,0.0,Motherwell,1.09796,0.0,0.0,0.0,73718,9.892,0.0,12.3211,42.0,2018-04-29 12:52,
PAR,20.0,8.0,7.0,1.53677,2.07821,0.37443,11.24368,-30.8098,62.77575,31.96595,247,21.2678,0.0,0.0,0.0,Partick Thistle,0.91588,0.0,0.0,0.6657,73731,8.87265,0.0,7.85955,29.0,2018-04-29 12:52,
STJO,16.0,9.0,10.0,1.31906,1.8605,0.5286,16.76103,-16.49815,53.7411,37.24295,267,17.20195,0.0,0.0,0.0,St Johnstone,1.07004,0.0,0.0,0.0,73727,9.84915,0.0,10.9489,39.0,2018-04-29 12:52,
KILM,10.0,10.0,15.0,1.24819,1.78963,1.08094,30.57614,-0.1269,51.30995,51.18305,260,11.5813,0.0,0.0,0.0,Kilmarnock,1.62238,0.0,0.0,0.0,73720,10.6861,0.0,15.7326,55.0,2018-04-29 12:52,
DUN,20.0,6.0,9.0,1.58429,2.12573,0.5433,14.14754,-22.2726,60.10365,37.83105,261,21.16335,0.0,0.0,0.0,Dundee,1.08474,0.0,0.0,0.09615,73726,6.78485,0.0,10.0518,33.0,2018-04-29 12:52,
ROSS,20.0,9.0,6.0,1.52628,2.06772,0.75512,19.16893,-20.47415,62.5882,42.11405,251,20.9832,0.0,0.0,0.0,Ross County,1.29656,0.0,0.0,0.7015,73742,9.7902,0.0,7.2266,27.0,2018-04-29 12:52,
RANG,10.0,5.0,20.0,1.23647,1.77791,1.60467,42.54368,25.1063,48.88235,73.98865,257,11.14875,0.0,0.0,0.0,Rangers,2.14611,0.0,0.0,0.0,73719,5.676,0.0,21.17525,65.0,2018-04-29 12:52,
HAM,20.0,6.0,9.0,1.60714,2.14858,0.83308,19.78428,-16.0004,65.9692,49.9688,409,21.1084,0.0,0.0,0.0,Hamilton Academical,1.37452,0.0,0.0,0.0399,73729,6.78795,0.0,10.10365,33.0,2018-04-29 12:52,
HOM,11.0,13.0,11.0,0.88285,1.42429,0.71366,27.85121,1.03375,37.7216,38.75535,262,12.306,0.0,0.0,0.0,Hearts,1.2551,0.0,0.0,0.0,73716,13.86765,0.0,11.82635,46.0,2018-04-29 12:52,
HIBS,6.0,11.0,18.0,1.03255,1.574,1.3445,40.74654,17.09945,43.03595,60.1354,258,7.09025,0.0,0.0,0.0,Hibernian,1.88594,0.0,0.0,0.0,73717,11.78185,0.0,19.1279,65.0,2018-04-29 12:52,
ABER,9.0,5.0,21.0,0.87638,1.41782,1.18807,40.207,17.7679,40.1004,57.8683,263,10.1821,0.0,0.0,0.0,Aberdeen,1.72952,0.0,0.0,0.0,73713,5.75595,0.0,22.06195,68.0,2018-04-29 12:52,
CEL,3.0,9.0,22.0,0.67454,1.21598,1.47666,51.54977,44.98535,26.29645,71.2818,256,3.7874,0.99725,0.0,0.0,Celtic,2.0181,0.99725,0.0,0.0,73714,10.03315,0.99725,24.17945,75.0,2018-04-22 13:22,
MOT,15.0,9.0,10.0,1.12697,1.66841,0.52592,19.15243,-5.3405,46.3557,41.0152,266,15.98295,0.0,0.0,0.0,Motherwell,1.06736,0.0,0.0,0.0,73718,10.18805,0.0,11.829,39.0,2018-04-22 13:22,
PAR,20.0,7.0,7.0,1.55796,2.0994,0.36136,10.80619,-31.6378,63.2717,31.6339,247,21.83305,0.0,0.0,0.0,Partick Thistle,0.9028,0.0,0.0,0.70195,73731,8.1385,0.0,8.02845,28.0,2018-04-22 13:22,
STJO,16.0,8.0,10.0,1.30238,1.84382,0.54504,17.33708,-15.79915,53.46305,37.6639,267,17.38035,0.0,0.0,0.0,St Johnstone,1.08648,0.0,0.0,0.0,73727,9.14265,0.0,11.477,38.0,2018-04-22 13:22,
KILM,9.0,10.0,15.0,1.09733,1.63877,0.94705,30.0106,1.61405,47.1187,48.73275,260,11.0142,0.0,0.0,0.0,Kilmarnock,1.48849,0.0,0.0,0.0,73720,11.0381,0.0,15.9477,55.0,2018-04-22 13:22,
DUN,19.0,6.0,9.0,1.54465,2.08609,0.52967,14.27772,-21.69595,59.313,37.61705,261,20.634,0.0,0.0,0.0,Dundee,1.07112,0.0,0.0,0.0779,73726,7.07305,0.0,10.29295,33.0,2018-04-22 13:22,
ROSS,19.0,9.0,6.0,1.50664,2.04808,0.82259,20.85739,-18.2814,62.11785,43.83645,251,20.3231,0.0,0.0,0.0,Ross County,1.36403,0.0,0.0,0.4942,73742,10.02885,0.0,7.64805,27.0,2018-04-22 13:22,
RANG,9.0,5.0,20.0,1.11718,1.65862,1.69236,46.78293,30.1236,44.9138,75.0374,257,10.4977,0.00195,0.0,0.0,Rangers,2.2338,0.00195,0.0,0.0,73719,5.95385,0.00195,21.54845,65.0,2018-04-22 13:22,
HAM,20.0,6.0,8.0,1.68597,2.22741,0.81487,18.45424,-18.2452,67.70205,49.45685,409,21.54535,0.0,0.0,0.0,Hamilton Academical,1.35631,0.0,0.0,0.22585,73729,7.0313,0.0,9.42335,30.0,2018-04-22 13:22,
HOM,10.0,13.0,11.0,0.84774,1.38918,0.76336,29.82851,3.068,36.39225,39.46025,262,11.61635,0.0,0.0,0.0,Hearts,1.3048,0.0,0.0,0.0,73716,14.24775,0.0,12.1359,46.0,2018-04-22 13:22,
HIBS,6.0,11.0,17.0,0.93506,1.4765,1.14006,37.82336,15.2854,40.71625,56.00165,258,7.37325,0.0,0.0,0.0,Hibernian,1.6815,0.0,0.0,0.0,73717,12.1242,0.0,18.50255,62.0,2018-04-22 13:22,
ABER,9.0,5.0,20.0,0.91564,1.45708,1.13218,38.02132,15.9236,40.7952,56.7188,263,10.4611,0.0008,0.0,0.0,Aberdeen,1.67362,0.0008,0.0,0.0,73713,6.10295,0.0008,21.43595,65.0,2018-04-22 13:22,
CEL,2.0,9.0,22.0,0.62411,1.16556,1.5003,53.25962,46.8379,24.89125,71.72915,256,2.94605,0.99955,0.0,0.0,Celtic,2.04174,0.99955,0.0,0.0,73714,10.29895,0.99955,24.755,75.0,2018-04-14 15:57,
MOT,15.0,8.0,10.0,1.19294,1.73438,0.57978,19.56614,-5.5694,47.8979,42.3285,266,16.42645,0.0,0.0,0.0,Motherwell,1.12122,0.0,0.0,5e-05,73718,9.43255,0.0,12.141,38.0,2018-04-14 15:57,
