code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
RIO,13.0,6.0,15.0,1.10044,1.13384,1.12236,44.8044,-2.0,42.0,40.0,3822,13.0,0.0,0.0,0.0,Rio Ave,1.15576,0.0,0.0,0.0,80310,6.0,0.0,15.0,51.0,2018-05-13 19:08,
DES,18.0,7.0,9.0,1.39395,1.42735,1.06248,36.88334,-15.0,51.0,36.0,18764,18.0,0.0,0.0,0.0,Desportivo Aves,1.09588,0.0,0.0,0.0,78519,7.0,0.0,9.0,34.0,2018-05-13 19:08,
MARI,13.0,8.0,13.0,1.33609,1.36949,1.07031,38.26893,-13.0,49.0,36.0,552,13.0,0.0,0.0,0.0,Maritimo,1.10372,0.0,0.0,0.0,74338,8.0,0.0,13.0,47.0,2018-05-13 19:08,
SET,16.0,11.0,7.0,1.41864,1.45204,1.10665,37.49032,-23.0,62.0,39.0,5308,16.0,0.0,0.0,0.0,Vitoria Setubal,1.14005,0.0,0.0,0.0,74339,11.0,0.0,7.0,32.0,2018-05-13 19:08,
SCP,4.0,6.0,24.0,0.82128,0.85468,1.78714,66.79817,39.0,24.0,63.0,2250,4.0,0.0,0.0,0.0,Sporting CP,1.82054,0.0,0.0,0.0,74330,6.0,0.0,24.0,78.0,2018-05-13 19:08,
GDC,13.0,8.0,13.0,1.43667,1.47007,1.37198,43.52061,-8.0,55.0,47.0,12705,13.0,0.0,0.0,0.0,Chaves,1.40538,0.0,0.0,0.0,94848,8.0,0.0,13.0,47.0,2018-05-13 19:08,
FEI,21.0,4.0,9.0,1.26213,1.29553,1.01597,38.42363,-16.0,48.0,32.0,3717,21.0,0.0,0.0,0.0,Feirense,1.04937,0.0,0.0,0.0,94846,4.0,0.0,9.0,31.0,2018-05-13 19:08,
POR,16.0,8.0,10.0,1.53857,1.57198,1.45683,43.36555,-8.0,60.0,52.0,3719,16.0,0.0,0.0,0.0,Portimonense,1.49023,0.0,0.0,0.0,86675,8.0,0.0,10.0,38.0,2018-05-13 19:08,
ESTO,20.0,6.0,8.0,1.28023,1.31364,1.06026,39.1875,-32.0,61.0,29.0,12216,20.0,0.0,0.0,0.0,Estoril Praia,1.09366,0.0,0.0,1.0,78512,6.0,0.0,8.0,30.0,2018-05-13 19:08,
FERR,18.0,9.0,7.0,1.37697,1.41037,1.01427,36.00188,-26.0,59.0,33.0,3713,18.0,0.0,0.0,0.0,Pacos Ferreira,1.04767,0.0,0.0,1.0,74341,9.0,0.0,7.0,30.0,2018-05-13 19:08,
BRAG,7.0,3.0,24.0,0.90573,0.93913,1.86606,66.28383,45.0,29.0,74.0,2994,7.0,0.0,0.0,0.0,Braga,1.89946,0.0,0.0,0.0,74331,3.0,0.0,24.0,75.0,2018-05-13 19:08,
MORE,18.0,8.0,8.0,1.32429,1.35769,0.92133,34.65057,-21.0,50.0,29.0,3696,18.0,0.0,0.0,0.0,Moreirense,0.95473,0.0,0.0,0.0,80313,8.0,0.0,8.0,32.0,2018-05-13 19:08,
BELE,15.0,10.0,9.0,1.26339,1.29679,1.11471,40.9449,-13.0,46.0,33.0,3519,15.0,0.0,0.0,0.0,Belenenses,1.14811,0.0,0.0,0.0,74334,10.0,0.0,9.0,37.0,2018-05-13 19:08,
GUI,17.0,4.0,13.0,1.25753,1.29093,1.25748,44.64316,-11.0,56.0,45.0,5309,17.0,0.0,0.0,0.0,Guimaraes,1.29088,0.0,0.0,0.0,74343,4.0,0.0,13.0,43.0,2018-05-13 19:08,
BEN,3.0,6.0,25.0,0.67508,0.70848,2.03289,74.63168,58.0,22.0,80.0,1929,3.0,1.0,0.0,0.0,Benfica,2.06629,0.0,0.0,0.0,74332,6.0,0.0,25.0,81.0,2018-05-13 19:08,
TOND,16.0,8.0,10.0,1.44983,1.48323,1.19611,39.05705,-9.0,50.0,41.0,12706,16.0,0.0,0.0,0.0,Tondela,1.22951,0.0,0.0,0.0,94863,8.0,0.0,10.0,38.0,2018-05-13 19:08,
POR,2.0,4.0,28.0,0.64957,0.68297,2.20103,77.76964,64.0,18.0,82.0,437,2.0,1.0,0.0,0.0,FC Porto,2.23443,1.0,0.0,0.0,74329,4.0,1.0,28.0,88.0,2018-05-13 19:08,
BOA,15.0,6.0,13.0,1.13405,1.16745,1.034,41.71162,-9.0,44.0,35.0,2256,15.0,0.0,0.0,0.0,Boavista,1.0674,0.0,0.0,0.0,74333,6.0,0.0,13.0,45.0,2018-05-13 19:08,
RIO,13.0,6.0,14.0,1.12624,1.15965,1.11811,44.09696,-3.58365,43.5488,39.96515,3822,13.50575,0.0,0.0,0.0,Rio Ave,1.15152,0.0,0.0,0.0,80310,6.26115,0.0,14.2331,48.0,2018-05-07 20:58,
DES,17.0,7.0,9.0,1.34861,1.38201,1.04552,37.37756,-13.91095,49.26575,35.3548,18764,17.34075,0.0,0.0,0.0,Desportivo Aves,1.07892,0.0,0.0,0.0,78519,7.27485,0.0,9.3844,34.0,2018-05-07 20:58,
MARI,13.0,8.0,12.0,1.36512,1.39852,1.02915,36.62181,-15.01565,49.8041,34.78845,552,13.60995,0.0,0.0,0.0,Maritimo,1.06255,0.0,0.0,0.0,74338,8.2332,0.0,12.15685,44.0,2018-05-07 20:58,
SET,16.0,11.0,6.0,1.457,1.49041,1.11387,36.89999,-23.7884,63.2724,39.484,5308,16.3211,0.0,0.0,0.0,Vitoria Setubal,1.14728,0.0,0.0,0.5189,74339,11.26195,0.0,6.41695,29.0,2018-05-07 20:58,
SCP,3.0,6.0,24.0,0.78715,0.82055,1.82364,68.32096,41.01565,22.78845,63.8041,2250,3.15685,0.64345,0.0,0.0,Sporting CP,1.85704,0.0,0.0,0.0,74330,6.2332,0.0,24.60995,78.0,2018-05-07 20:58,
GDC,13.0,8.0,12.0,1.41619,1.44959,1.32638,42.8781,-9.08905,54.3548,45.26575,12705,13.3844,0.0,0.0,0.0,Chaves,1.35978,0.0,0.0,0.0,94848,8.27485,0.0,12.34075,44.0,2018-05-07 20:58,
FEI,21.0,3.0,9.0,1.28969,1.32309,1.06821,39.19073,-15.64225,48.96335,33.3211,3717,21.2681,0.0,0.0,0.0,Feirense,1.10161,0.0,0.0,0.22015,94846,3.28795,0.0,9.44395,30.0,2018-05-07 20:58,
POR,16.0,8.0,9.0,1.52065,1.55405,1.39966,42.42567,-9.4388,60.0679,50.6291,3719,16.2446,0.0,0.0,0.0,Portimonense,1.43307,0.0,0.0,0.0,86675,8.2573,0.0,9.4981,35.0,2018-05-07 20:58,
ESTO,20.0,5.0,8.0,1.34002,1.37342,1.08526,38.56663,-32.35775,62.3211,29.96335,12216,20.44395,0.0,0.0,0.0,Estoril Praia,1.11866,0.0,0.0,0.7319,78512,5.28795,0.0,8.2681,29.0,2018-05-07 20:58,
FERR,17.0,9.0,7.0,1.32297,1.35638,1.00056,36.74863,-24.5612,57.6291,33.0679,3713,17.4981,0.0,0.0,0.0,Pacos Ferreira,1.03396,0.0,0.0,0.48825,74341,9.2573,0.0,7.2446,30.0,2018-05-07 20:58,
BRAG,6.0,3.0,24.0,0.9021,0.9355,1.90438,67.08835,46.58365,28.96515,75.5488,2994,6.2331,0.0,0.0,0.0,Braga,1.93778,0.0,0.0,0.0,74331,3.26115,0.0,24.50575,75.0,2018-05-07 20:58,
MORE,17.0,8.0,8.0,1.36314,1.39654,0.93893,34.33508,-22.25235,51.47255,29.2202,3696,17.8673,0.0,0.0,0.0,Moreirense,0.97233,0.0,0.0,0.0408,80313,8.1106,0.0,8.0221,32.0,2018-05-07 20:58,
BELE,14.0,10.0,9.0,1.25315,1.28655,1.14164,41.85207,-12.3005,46.19605,33.89555,3519,14.42215,0.0,0.0,0.0,Belenenses,1.17504,0.0,0.0,0.0,74334,10.3039,0.0,9.27395,37.0,2018-05-07 20:58,
GUI,16.0,4.0,13.0,1.28335,1.31675,1.30309,45.18168,-11.2094,57.10255,45.89315,5309,16.6447,0.0,0.0,0.0,Guimaraes,1.33649,0.0,0.0,0.0,74343,4.2088,0.0,13.1465,43.0,2018-05-07 20:58,
BEN,3.0,6.0,24.0,0.68941,0.72281,2.08714,75.16372,59.25235,22.2202,81.47255,1929,3.0221,0.35655,0.0,0.0,Benfica,2.12054,0.0,0.0,0.0,74332,6.1106,0.0,24.8673,78.0,2018-05-07 20:58,
TOND,15.0,8.0,10.0,1.45838,1.49178,1.23079,39.72141,-8.2116,50.484,42.2724,12706,15.41695,0.0,0.0,0.0,Tondela,1.26419,0.0,0.0,0.0,94863,8.26195,0.0,10.3211,38.0,2018-05-07 20:58,
POR,2.0,4.0,27.0,0.67926,0.71267,2.24082,77.69144,64.2094,18.89315,83.10255,437,2.1465,1.0,0.0,0.0,FC Porto,2.27422,1.0,0.0,0.0,74329,4.2088,1.0,27.6447,85.0,2018-05-07 20:58,
BOA,15.0,6.0,12.0,1.16076,1.19416,1.02488,40.86856,-9.6995,44.89555,35.19605,2256,15.27395,0.0,0.0,0.0,Boavista,1.05828,0.0,0.0,0.0,74333,6.3039,0.0,12.42215,42.0,2018-05-07 20:58,
RIO,13.0,5.0,14.0,1.17073,1.20413,1.15187,43.94852,-3.7359,44.78265,41.04675,3822,13.88825,0.0,0.0,0.0,Rio Ave,1.18527,0.0,0.0,0.0,80310,5.55785,0.0,14.5539,47.0,2018-04-30 21:04,
DES,17.0,7.0,8.0,1.3958,1.4292,0.98886,34.97578,-17.2976,50.47285,33.17525,18764,17.7918,0.0,0.0,0.0,Desportivo Aves,1.02226,0.0,0.0,0.04715,78519,7.57225,0.0,8.63595,31.0,2018-04-30 21:04,
MARI,12.0,8.0,12.0,1.27773,1.31113,1.02641,38.36443,-12.3613,47.17265,34.81135,552,13.0581,0.0,0.0,0.0,Maritimo,1.05981,0.0,0.0,0.0,74338,8.51475,0.0,12.42715,44.0,2018-04-30 21:04,
SET,15.0,11.0,6.0,1.45908,1.49248,1.11676,36.9298,-23.29695,62.73735,39.4404,5308,15.7971,0.0,0.0,0.0,Vitoria Setubal,1.15016,0.0,0.0,0.3604,74339,11.54675,0.0,6.65615,29.0,2018-04-30 21:04,
SCP,3.0,5.0,24.0,0.80106,0.83446,1.9013,69.41786,41.03735,24.0685,65.10585,2250,3.5102,0.3559,0.0,0.0,Sporting CP,1.9347,0.0008,0.0,0.0,74330,5.50745,0.0008,24.98235,77.0,2018-04-30 21:04,
GDC,13.0,8.0,11.0,1.41285,1.44625,1.23924,40.86233,-11.69505,54.32335,42.6283,12705,13.64595,0.0,0.0,0.0,Chaves,1.27264,0.0,0.0,0.0,94848,8.5541,0.0,11.79995,41.0,2018-04-30 21:04,
FEI,20.0,3.0,9.0,1.30205,1.33545,1.02837,37.90328,-17.06195,49.5502,32.48825,3717,21.158,0.0,0.0,0.0,Feirense,1.06177,0.0,0.0,0.22905,94846,3.401,0.0,9.441,30.0,2018-04-30 21:04,
