code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
UDI,22.0,4.0,12.0,1.18938,1.06684,1.52702,56.20239,-15.0,63.0,48.0,118,22.0,0.0,0.0,0.0,Udinese,1.40448,0.0,0.0,0.0,73833,4.0,0.0,12.0,40.0,2018-05-20 20:44,
CRO,21.0,8.0,9.0,1.30288,1.18034,1.50403,52.99973,-26.0,66.0,40.0,3173,21.0,0.0,0.0,0.0,Crotone,1.38149,0.0,0.0,1.0,73875,8.0,0.0,9.0,35.0,2018-05-20 20:44,
ROM,7.0,8.0,23.0,0.74168,0.61914,2.32146,80.78704,33.0,28.0,61.0,104,7.0,1.0,0.0,0.0,AS Roma,2.19892,0.0,0.0,0.0,73831,8.0,0.0,23.0,77.0,2018-05-20 20:44,
SPAL,16.0,14.0,8.0,1.20976,1.08722,1.3384,51.32177,-20.0,59.0,39.0,3958,16.0,0.0,0.0,0.0,Spal,1.21586,0.0,0.0,0.0,93081,14.0,0.0,8.0,38.0,2018-05-20 20:44,
HEL,27.0,4.0,7.0,1.65516,1.53262,1.18386,37.76893,-48.0,78.0,30.0,119,27.0,0.0,0.0,0.0,Verona,1.06132,0.0,0.0,1.0,73892,4.0,0.0,7.0,25.0,2018-05-20 20:44,
LAZ,8.0,9.0,21.0,0.99926,0.87672,2.51125,78.00662,40.0,49.0,89.0,112,8.0,0.0,0.0,0.0,Lazio,2.38871,0.0,0.0,0.0,73834,9.0,0.0,21.0,72.0,2018-05-20 20:44,
BOL,21.0,6.0,11.0,1.1611,1.03856,1.37632,53.40718,-12.0,52.0,40.0,107,21.0,0.0,0.0,0.0,Bologna,1.25378,0.0,0.0,0.0,73850,6.0,0.0,11.0,39.0,2018-05-20 20:44,
NAP,3.0,7.0,28.0,0.71719,0.59465,2.27951,80.76071,48.0,29.0,77.0,114,3.0,1.0,0.0,0.0,Napoli,2.15697,0.0,0.0,0.0,73848,7.0,0.0,28.0,91.0,2018-05-20 20:44,
TOR,10.0,15.0,13.0,1.01971,0.89717,1.77517,65.53489,8.0,46.0,54.0,239,10.0,0.0,0.0,0.0,Torino,1.65263,0.0,0.0,0.0,73846,15.0,0.0,13.0,54.0,2018-05-20 20:44,
SAS,17.0,10.0,11.0,1.10218,0.97964,1.50429,57.81309,-30.0,59.0,29.0,3997,17.0,0.0,0.0,0.0,Sassuolo,1.38175,0.0,0.0,0.0,73867,10.0,0.0,11.0,43.0,2018-05-20 20:44,
ATA,10.0,12.0,16.0,0.7941,0.67156,2.12715,76.93918,18.0,39.0,57.0,105,10.0,0.0,0.0,0.0,Atalanta,2.00461,0.0,0.0,0.0,73844,12.0,0.0,16.0,60.0,2018-05-20 20:44,
SMP,16.0,6.0,16.0,1.28354,1.161,1.70796,57.91317,-4.0,60.0,56.0,2734,16.0,0.0,0.0,0.0,Sampdoria,1.58542,0.0,0.0,0.0,73838,6.0,0.0,16.0,54.0,2018-05-20 20:44,
CVO,18.0,10.0,10.0,1.19545,1.07291,1.36623,52.33406,-23.0,59.0,36.0,238,18.0,0.0,0.0,0.0,Chievo Verona,1.24369,0.0,0.0,0.0,73903,10.0,0.0,10.0,40.0,2018-05-20 20:44,
INT,6.0,12.0,20.0,0.80332,0.68078,2.238,78.34385,36.0,30.0,66.0,110,6.0,1.0,0.0,0.0,Internazionale,2.11546,0.0,0.0,0.0,73830,12.0,0.0,20.0,72.0,2018-05-20 20:44,
JUV,3.0,5.0,30.0,0.59407,0.47153,2.3852,84.5955,62.0,24.0,86.0,111,3.0,1.0,0.0,0.0,Juventus,2.26266,1.0,0.0,0.0,73847,5.0,1.0,30.0,95.0,2018-05-20 20:44,
BEN,29.0,3.0,6.0,1.49138,1.36884,1.42428,46.90815,-51.0,84.0,33.0,4059,29.0,0.0,0.0,0.0,Benevento,1.30174,0.0,0.0,1.0,73854,3.0,0.0,6.0,21.0,2018-05-20 20:44,
GEN,19.0,8.0,11.0,1.03503,0.91249,1.48592,59.07108,-10.0,43.0,33.0,3263,19.0,0.0,0.0,0.0,Genoa,1.36338,0.0,0.0,0.0,73849,8.0,0.0,11.0,41.0,2018-05-20 20:44,
CAG,21.0,6.0,11.0,1.25834,1.1358,1.40885,51.84342,-28.0,61.0,33.0,2925,21.0,0.0,0.0,0.0,Cagliari,1.28631,0.0,0.0,0.0,73843,6.0,0.0,11.0,39.0,2018-05-20 20:44,
