code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
ASC,18.0,13.0,11.0,1.44175,1.42916,0.66912,26.56885,-20.0,60.0,40.0,3346,18.0,0.0,0.0,0.0,Ascoli,0.65653,0.0,0.0,0.0,73887,13.0,0.0,11.0,46.0,2018-06-16 20:34,
TERN,19.0,16.0,7.0,2.1726,2.16001,1.13834,25.97339,-15.0,77.0,62.0,3175,19.0,0.0,0.0,0.0,Ternana,1.12575,0.0,0.0,1.0,73899,16.0,0.0,7.0,37.0,2018-06-16 20:34,
PAR,12.0,9.0,21.0,1.04431,1.03172,1.13019,47.43685,20.0,37.0,57.0,115,12.0,0.0,0.0,0.0,Parma,1.1176,0.0,1.0,0.0,73832,9.0,0.0,21.0,72.0,2018-06-16 20:34,
CRE,12.0,21.0,9.0,1.50333,1.49074,0.84707,30.15613,1.0,47.0,48.0,4050,12.0,0.0,0.0,0.0,Cremonese,0.83449,0.0,0.0,0.0,73886,21.0,0.0,9.0,48.0,2018-06-16 20:34,
SPEZ,15.0,14.0,13.0,1.39744,1.38485,0.8341,31.80404,1.0,45.0,46.0,4056,15.0,0.0,0.0,0.0,Spezia,0.82152,0.0,0.0,0.0,73895,14.0,0.0,13.0,53.0,2018-06-16 20:34,
SAL,13.0,18.0,11.0,1.61431,1.60172,0.83673,27.92844,-7.0,58.0,51.0,3240,13.0,0.0,0.0,0.0,Salernitana,0.82415,0.0,0.0,0.0,73860,18.0,0.0,11.0,51.0,2018-06-16 20:34,
NOV,18.0,14.0,10.0,1.54104,1.52846,0.72705,26.39033,-10.0,52.0,42.0,3954,18.0,0.0,0.0,0.0,Novara,0.71446,0.0,0.0,1.0,73873,14.0,0.0,10.0,44.0,2018-06-16 20:34,
AVE,16.0,15.0,11.0,1.60424,1.59165,0.76449,26.28494,-11.0,60.0,49.0,4055,16.0,0.0,0.0,0.0,Avellino,0.7519,0.0,0.0,0.0,73884,15.0,0.0,11.0,48.0,2018-06-16 20:34,
VERC,20.0,13.0,9.0,1.97078,1.9582,0.81899,21.99638,-23.0,70.0,47.0,3995,20.0,0.0,0.0,0.0,Pro Vercelli,0.8064,0.0,0.0,1.0,105011,13.0,0.0,9.0,40.0,2018-06-16 20:34,
CES,14.0,17.0,11.0,1.32426,1.31167,0.96369,36.71063,-6.0,61.0,55.0,3337,14.0,0.0,0.0,0.0,Cesena,0.9511,0.0,0.0,0.0,73896,17.0,0.0,11.0,50.0,2018-06-16 20:34,
