code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
GCZ,17.0,9.0,10.0,1.33882,1.43627,1.07659,37.0579,-9.0,52.0,43.0,492,17.0,0.0,0.0,0.0,Grasshoppers Zürich,1.17404,0.0,0.0,0.0,74189,9.0,0.0,10.0,39.0,2018-05-19 18:54,
BSCY,4.0,6.0,26.0,1.17606,1.27351,2.14331,63.88809,43.0,41.0,84.0,2722,4.0,1.0,0.0,0.0,Young Boys,2.24076,1.0,0.0,0.0,74194,6.0,1.0,26.0,84.0,2018-05-19 18:54,
FCL,19.0,8.0,9.0,1.55582,1.65327,1.09283,33.2746,-20.0,66.0,46.0,11551,19.0,0.0,0.0,0.0,Lausanne Sports,1.19028,0.0,0.0,1.0,98925,8.0,0.0,9.0,35.0,2018-05-19 18:54,
BAS,7.0,9.0,20.0,1.0641,1.16155,2.13061,66.08357,36.0,36.0,72.0,989,7.0,1.0,0.0,0.0,Basel,2.22806,0.0,0.0,0.0,93159,9.0,0.0,20.0,69.0,2018-05-19 18:54,
SION,16.0,9.0,11.0,1.33971,1.43716,1.5597,48.50803,-3.0,56.0,53.0,3076,16.0,0.0,0.0,0.0,FC Sion,1.65715,0.0,0.0,0.0,74196,9.0,0.0,11.0,42.0,2018-05-19 18:54,
THUN,18.0,6.0,12.0,1.67968,1.77713,1.34939,36.93564,-16.0,68.0,52.0,3024,18.0,0.0,0.0,0.0,Thun,1.44683,0.0,0.0,0.0,83492,6.0,0.0,12.0,42.0,2018-05-19 18:54,
FCSG,19.0,3.0,14.0,1.98348,2.08093,1.44635,33.68637,-20.0,72.0,52.0,557,19.0,0.0,0.0,0.0,St Gallen,1.5438,0.0,0.0,0.0,74191,3.0,0.0,14.0,45.0,2018-05-19 18:54,
FCL,18.0,6.0,12.0,1.41329,1.51074,1.1098,36.39707,-17.0,55.0,38.0,7672,18.0,0.0,0.0,0.0,FC Lugano,1.20724,0.0,0.0,0.0,109490,6.0,0.0,12.0,42.0,2018-05-19 18:54,
ZUR,11.0,13.0,12.0,1.23174,1.32919,1.45598,48.515,6.0,44.0,50.0,3019,11.0,0.0,0.0,0.0,FC Zurich,1.55343,0.0,0.0,0.0,74192,13.0,0.0,12.0,49.0,2018-05-19 18:54,
FCL,12.0,9.0,15.0,1.19519,1.29264,1.44167,48.99945,0.0,51.0,51.0,7640,12.0,0.0,0.0,0.0,FC Luzern,1.53912,0.0,0.0,0.0,108331,9.0,0.0,15.0,54.0,2018-05-19 18:54,
GCZ,16.0,9.0,10.0,1.33763,1.43508,1.0855,37.30548,-8.80245,51.95015,43.1477,492,16.5573,0.0,0.0,0.0,Grasshoppers Zürich,1.18295,0.0,0.0,0.0,74189,9.22635,0.0,10.21635,39.0,2018-05-13 19:42,
BSCY,4.0,6.0,25.0,1.18498,1.28243,2.14155,63.66497,42.80245,41.1477,83.95015,2722,4.21635,1.0,0.0,0.0,Young Boys,2.239,1.0,0.0,0.0,74194,6.22635,1.0,25.5573,81.0,2018-05-13 19:42,
FCL,19.0,8.0,8.0,1.64885,1.74629,1.02706,30.06102,-23.691,68.06375,44.37275,11551,19.53195,0.0,0.0,0.0,Lausanne Sports,1.12451,0.0,0.0,1.0,98925,8.21975,0.0,8.2483,32.0,2018-05-13 19:42,
BAS,7.0,8.0,20.0,1.0101,1.10755,2.13672,67.37156,37.21065,34.8843,72.09495,989,7.14395,1.0,0.0,0.0,Basel,2.23417,0.0,0.0,0.0,93159,8.20685,0.0,20.6492,68.0,2018-05-13 19:42,
SION,16.0,9.0,10.0,1.36916,1.4666,1.44571,45.30103,-6.0577,56.60465,50.54695,3076,16.38765,0.0,0.0,0.0,FC Sion,1.54316,0.0,0.0,0.0,74196,9.2464,0.0,10.36595,39.0,2018-05-13 19:42,
