code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,name,o_rating,position_1,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
FEN,4.0,9.0,21.0,0.93803,1.00473,2.24373,71.4051,42.0,36.0,78.0,436,4.0,1.0,0.0,0.0,Fenerbahce,2.31044,0.0,0.0,0.0,74204,9.0,0.0,21.0,72.0,2018-05-19 17:57,
BUR,17.0,6.0,11.0,1.35646,1.42316,1.06804,37.10827,-5.0,48.0,43.0,810,17.0,0.0,0.0,0.0,Bursaspor,1.13475,0.0,0.0,0.0,74213,6.0,0.0,11.0,39.0,2018-05-19 17:57,
SIV,13.0,7.0,14.0,1.41903,1.48573,1.30349,41.5826,-8.0,53.0,45.0,3691,13.0,0.0,0.0,0.0,Sivasspor,1.3702,0.0,0.0,0.0,74211,7.0,0.0,14.0,49.0,2018-05-19 17:57,
TRA,9.0,10.0,15.0,1.33028,1.39698,1.67244,51.85097,12.0,51.0,63.0,997,9.0,0.0,0.0,0.0,Trabzonspor,1.73914,0.0,0.0,0.0,74203,10.0,0.0,15.0,55.0,2018-05-19 17:57,
OSM,17.0,9.0,8.0,1.47503,1.54174,1.3793,42.20721,-11.0,60.0,49.0,18321,17.0,0.0,0.0,0.0,Ankaraspor,1.44601,0.0,0.0,1.0,74208,9.0,0.0,8.0,33.0,2018-05-19 17:57,
KAY,14.0,8.0,12.0,1.72355,1.79025,1.20815,33.49329,-11.0,55.0,44.0,3643,14.0,0.0,0.0,0.0,Kayserispor,1.27486,0.0,0.0,0.0,74207,8.0,0.0,12.0,44.0,2018-05-19 17:57,
YEN,13.0,10.0,11.0,1.18546,1.25217,1.00579,39.08696,-7.0,45.0,38.0,18790,13.0,0.0,0.0,0.0,Yeni Malatyaspor,1.07249,0.0,0.0,0.0,111054,10.0,0.0,11.0,43.0,2018-05-19 17:57,
ALA,16.0,7.0,11.0,1.53416,1.60087,1.61804,46.35689,-4.0,59.0,55.0,9078,16.0,0.0,0.0,0.0,Alanyaspor,1.68474,0.0,0.0,0.0,110272,7.0,0.0,11.0,40.0,2018-05-19 17:57,
KNY,16.0,9.0,9.0,0.98903,1.05574,1.17498,48.0144,-4.0,42.0,38.0,7648,16.0,0.0,0.0,0.0,Konyaspor,1.24169,0.0,0.0,0.0,74210,9.0,0.0,9.0,36.0,2018-05-19 17:57,
ANT,16.0,8.0,10.0,1.46823,1.53493,1.16113,37.17316,-19.0,59.0,40.0,3794,16.0,0.0,0.0,0.0,Antalyaspor,1.22783,0.0,0.0,0.0,84911,8.0,0.0,10.0,38.0,2018-05-19 17:57,
KAR,28.0,3.0,3.0,2.39542,2.46213,0.5439,11.11202,-66.0,86.0,20.0,4738,28.0,0.0,0.0,0.0,Karabükspor,0.6106,0.0,0.0,1.0,98997,3.0,0.0,3.0,12.0,2018-05-19 17:57,
GOZ,11.0,10.0,13.0,1.2903,1.357,1.14183,40.33859,-1.0,50.0,49.0,789,11.0,0.0,0.0,0.0,Goztepe,1.20853,0.0,0.0,0.0,111055,10.0,0.0,13.0,49.0,2018-05-19 17:57,
IBB,6.0,6.0,22.0,0.88429,0.95099,1.71345,62.99783,28.0,34.0,62.0,7914,6.0,0.0,0.0,0.0,Istanbul Basaksehir,1.78015,0.0,0.0,0.0,74215,6.0,0.0,22.0,72.0,2018-05-19 17:57,
GAL,7.0,3.0,24.0,0.85168,0.91838,2.04551,70.01374,42.0,33.0,75.0,432,7.0,1.0,0.0,0.0,Galatasaray,2.11221,1.0,0.0,0.0,74205,3.0,1.0,24.0,75.0,2018-05-19 17:57,
GEN,17.0,9.0,8.0,1.34138,1.40808,0.98538,35.30682,-17.0,54.0,37.0,996,17.0,0.0,0.0,0.0,Genclerbirligi,1.05208,0.0,0.0,1.0,74199,9.0,0.0,8.0,33.0,2018-05-19 17:57,
BES,5.0,8.0,21.0,0.84125,0.90796,2.12548,71.60018,39.0,30.0,69.0,1895,5.0,0.0,0.0,0.0,Besiktas,2.19218,0.0,0.0,0.0,74202,8.0,0.0,21.0,71.0,2018-05-19 17:57,
