promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,9.0,40.0,31.0,LASK Linz,0.0,28.0,59.0,5.0,2.02644,1.09163,18.0,5.0,18.0,0.0,64.06843,72842,0.0,0.0,4411,1.0,1.92277,0.0,0.98797,40.0,LASK,9.0,2019-06-11 01:00,2019-06-02 16:55
0.0,9.0,21.0,50.0,St. Pölten,0.0,-18.0,32.0,14.0,0.98165,1.72774,9.0,14.0,9.0,0.0,26.77517,83433,0.0,0.0,17519,0.0,0.87799,0.0,1.62408,21.0,SKN,9.0,2019-06-11 01:00,2019-06-02 16:55
0.0,5.0,22.0,66.0,Hartberg,0.0,-18.0,48.0,17.0,1.53345,2.08344,10.0,17.0,10.0,0.0,33.29568,88721,0.0,0.0,6907,0.0,1.42978,0.0,1.97978,22.0,HAR,5.0,2019-06-11 01:00,2019-06-02 16:55
0.0,10.0,28.0,44.0,Cashpoint SC Rheindorf Altach,0.0,4.0,48.0,13.0,1.49738,1.45874,9.0,13.0,9.0,0.0,44.36606,88720,0.0,0.0,4405,0.0,1.39371,0.0,1.35507,28.0,SCR,10.0,2019-06-11 01:00,2019-06-02 16:55
0.0,6.0,27.0,48.0,FK Austria Vienna,0.0,-3.0,45.0,14.0,1.75388,1.5818,12.0,14.0,12.0,0.0,47.56756,73801,0.0,0.0,1382,0.0,1.65021,0.0,1.47814,27.0,VIE,6.0,2019-06-11 01:00,2019-06-02 16:55
0.0,9.0,22.0,62.0,FC Trenkwalder Admira,0.0,-20.0,42.0,15.0,1.53885,1.99741,8.0,15.0,8.0,0.0,34.88422,103174,0.0,0.0,11485,0.0,1.43518,0.0,1.89374,22.0,ADM,9.0,2019-06-11 01:00,2019-06-02 16:55
0.0,10.0,31.0,47.0,Wolfsberger AC,0.0,0.0,47.0,10.0,1.51884,1.43552,12.0,10.0,12.0,0.0,45.3662,109462,0.0,0.0,13294,0.0,1.41517,0.0,1.33186,31.0,WOL,10.0,2019-06-11 01:00,2019-06-02 16:55
0.0,5.0,52.0,27.0,FC Salzburg,0.0,52.0,79.0,2.0,2.7666,0.93533,25.0,2.0,25.0,1.0,79.08446,73802,0.0,1.0,2790,1.0,2.66293,0.0,0.83166,52.0,SAL,5.0,2019-06-11 01:00,2019-06-02 16:55
0.0,10.0,24.0,40.0,SK Sturm Graz,0.0,-3.0,37.0,12.0,1.34283,1.25139,10.0,12.0,10.0,0.0,45.19082,73805,0.0,0.0,3746,0.0,1.23916,0.0,1.14773,24.0,SSG,10.0,2019-06-11 01:00,2019-06-02 16:55
0.0,7.0,32.0,44.0,Rapid Vienna,0.0,4.0,48.0,12.0,1.62259,1.40708,13.0,12.0,13.0,0.0,48.37746,73803,0.0,0.0,519,0.0,1.51893,0.0,1.30341,32.0,VIE,7.0,2019-06-11 01:00,2019-06-02 16:55
0.0,5.0,20.0,51.0,FC Wacker Innsbruck,1.0,-19.0,32.0,19.0,1.14977,1.60204,8.0,19.0,8.0,0.0,33.08971,73806,0.0,0.0,19244,0.0,1.04611,0.0,1.49838,20.0,FC ,5.0,2019-06-11 01:00,2019-06-02 16:55
0.0,7.0,28.0,48.0,SV Mattersburg,0.0,-7.0,41.0,13.0,1.23961,1.52957,12.0,13.0,12.0,0.0,36.69787,73807,0.0,0.0,3745,0.0,1.13595,0.0,1.4259,28.0,MAT,7.0,2019-06-11 01:00,2019-06-02 16:55
0.0,9.0,40.0,31.0,LASK Linz,0.0,28.0,59.0,5.0,2.02644,1.0916299999999999,18.0,5.0,18.0,0.0,64.06843,72842,0.0,0.0,4411,1.0,1.92277,0.0,0.9879700000000001,40.0,LASK,9.0,2019-06-10 01:00,2019-06-02 16:55
0.0,9.0,21.0,50.0,St. Pölten,0.0,-18.0,32.0,14.0,0.98165,1.72774,9.0,14.0,9.0,0.0,26.775170000000003,83433,0.0,0.0,17519,0.0,0.8779899999999999,0.0,1.62408,21.0,SKN,9.0,2019-06-10 01:00,2019-06-02 16:55
0.0,5.0,22.0,66.0,Hartberg,0.0,-18.0,48.0,17.0,1.53345,2.08344,10.0,17.0,10.0,0.0,33.29568,88721,0.0,0.0,6907,0.0,1.4297799999999998,0.0,1.9797799999999999,22.0,HAR,5.0,2019-06-10 01:00,2019-06-02 16:55
0.0,10.0,28.0,44.0,Cashpoint SC Rheindorf Altach,0.0,4.0,48.0,13.0,1.49738,1.45874,9.0,13.0,9.0,0.0,44.36606,88720,0.0,0.0,4405,0.0,1.39371,0.0,1.35507,28.0,SCR,10.0,2019-06-10 01:00,2019-06-02 16:55
0.0,6.0,27.0,48.0,FK Austria Vienna,0.0,-3.0,45.0,14.0,1.7538799999999999,1.5818,12.0,14.0,12.0,0.0,47.56756,73801,0.0,0.0,1382,0.0,1.65021,0.0,1.47814,27.0,VIE,6.0,2019-06-10 01:00,2019-06-02 16:55
0.0,9.0,22.0,62.0,FC Trenkwalder Admira,0.0,-20.0,42.0,15.0,1.53885,1.99741,8.0,15.0,8.0,0.0,34.88422,103174,0.0,0.0,11485,0.0,1.43518,0.0,1.8937400000000002,22.0,ADM,9.0,2019-06-10 01:00,2019-06-02 16:55
0.0,10.0,31.0,47.0,Wolfsberger AC,0.0,0.0,47.0,10.0,1.51884,1.4355200000000001,12.0,10.0,12.0,0.0,45.3662,109462,0.0,0.0,13294,0.0,1.41517,0.0,1.33186,31.0,WOL,10.0,2019-06-10 01:00,2019-06-02 16:55
0.0,5.0,52.0,27.0,FC Salzburg,0.0,52.0,79.0,2.0,2.7666,0.9353299999999999,25.0,2.0,25.0,1.0,79.08445999999999,73802,0.0,1.0,2790,1.0,2.66293,0.0,0.8316600000000001,52.0,SAL,5.0,2019-06-10 01:00,2019-06-02 16:55
0.0,10.0,24.0,40.0,SK Sturm Graz,0.0,-3.0,37.0,12.0,1.34283,1.25139,10.0,12.0,10.0,0.0,45.19082,73805,0.0,0.0,3746,0.0,1.23916,0.0,1.14773,24.0,SSG,10.0,2019-06-10 01:00,2019-06-02 16:55
0.0,7.0,32.0,44.0,Rapid Vienna,0.0,4.0,48.0,12.0,1.62259,1.4070799999999999,13.0,12.0,13.0,0.0,48.37746,73803,0.0,0.0,519,0.0,1.51893,0.0,1.30341,32.0,VIE,7.0,2019-06-10 01:00,2019-06-02 16:55
0.0,5.0,20.0,51.0,FC Wacker Innsbruck,1.0,-19.0,32.0,19.0,1.1497700000000002,1.60204,8.0,19.0,8.0,0.0,33.08971,73806,0.0,0.0,19244,0.0,1.04611,0.0,1.4983799999999998,20.0,FC ,5.0,2019-06-10 01:00,2019-06-02 16:55
0.0,7.0,28.0,48.0,SV Mattersburg,0.0,-7.0,41.0,13.0,1.23961,1.52957,12.0,13.0,12.0,0.0,36.69787,73807,0.0,0.0,3745,0.0,1.13595,0.0,1.4259,28.0,MAT,7.0,2019-06-10 01:00,2019-06-02 16:55
0.0,9.0,40.0,31.0,LASK Linz,0.0,28.0,59.0,5.0,2.02644,1.09163,18.0,5.0,18.0,0.0,64.06843,72842,0.0,0.0,4411,1.0,1.92277,0.0,0.98797,40.0,LASK,9.0,2019-06-09 01:00,2019-06-02 16:55
0.0,9.0,21.0,50.0,St. Pölten,0.0,-18.0,32.0,14.0,0.98165,1.72774,9.0,14.0,9.0,0.0,26.775170000000006,83433,0.0,0.0,17519,0.0,0.8779899999999999,0.0,1.62408,21.0,SKN,9.0,2019-06-09 01:00,2019-06-02 16:55
0.0,5.0,22.0,66.0,Hartberg,0.0,-18.0,48.0,17.0,1.53345,2.08344,10.0,17.0,10.0,0.0,33.29568,88721,0.0,0.0,6907,0.0,1.4297799999999998,0.0,1.97978,22.0,HAR,5.0,2019-06-09 01:00,2019-06-02 16:55
0.0,10.0,28.0,44.0,Cashpoint SC Rheindorf Altach,0.0,4.0,48.0,13.0,1.49738,1.45874,9.0,13.0,9.0,0.0,44.36606,88720,0.0,0.0,4405,0.0,1.39371,0.0,1.35507,28.0,SCR,10.0,2019-06-09 01:00,2019-06-02 16:55
0.0,6.0,27.0,48.0,FK Austria Vienna,0.0,-3.0,45.0,14.0,1.75388,1.5818,12.0,14.0,12.0,0.0,47.56756,73801,0.0,0.0,1382,0.0,1.65021,0.0,1.47814,27.0,VIE,6.0,2019-06-09 01:00,2019-06-02 16:55
0.0,9.0,22.0,62.0,FC Trenkwalder Admira,0.0,-20.0,42.0,15.0,1.53885,1.99741,8.0,15.0,8.0,0.0,34.88422,103174,0.0,0.0,11485,0.0,1.43518,0.0,1.89374,22.0,ADM,9.0,2019-06-09 01:00,2019-06-02 16:55
0.0,10.0,31.0,47.0,Wolfsberger AC,0.0,0.0,47.0,10.0,1.51884,1.43552,12.0,10.0,12.0,0.0,45.3662,109462,0.0,0.0,13294,0.0,1.41517,0.0,1.33186,31.0,WOL,10.0,2019-06-09 01:00,2019-06-02 16:55
0.0,5.0,52.0,27.0,FC Salzburg,0.0,52.0,79.0,2.0,2.7666,0.93533,25.0,2.0,25.0,1.0,79.08445999999998,73802,0.0,1.0,2790,1.0,2.66293,0.0,0.8316600000000001,52.0,SAL,5.0,2019-06-09 01:00,2019-06-02 16:55
0.0,10.0,24.0,40.0,SK Sturm Graz,0.0,-3.0,37.0,12.0,1.34283,1.25139,10.0,12.0,10.0,0.0,45.19082,73805,0.0,0.0,3746,0.0,1.23916,0.0,1.14773,24.0,SSG,10.0,2019-06-09 01:00,2019-06-02 16:55
0.0,7.0,32.0,44.0,Rapid Vienna,0.0,4.0,48.0,12.0,1.62259,1.40708,13.0,12.0,13.0,0.0,48.37746,73803,0.0,0.0,519,0.0,1.51893,0.0,1.30341,32.0,VIE,7.0,2019-06-09 01:00,2019-06-02 16:55
0.0,5.0,20.0,51.0,FC Wacker Innsbruck,1.0,-19.0,32.0,19.0,1.1497700000000002,1.60204,8.0,19.0,8.0,0.0,33.08971,73806,0.0,0.0,19244,0.0,1.04611,0.0,1.4983799999999998,20.0,FC ,5.0,2019-06-09 01:00,2019-06-02 16:55
0.0,7.0,28.0,48.0,SV Mattersburg,0.0,-7.0,41.0,13.0,1.23961,1.52957,12.0,13.0,12.0,0.0,36.69787,73807,0.0,0.0,3745,0.0,1.13595,0.0,1.4259,28.0,MAT,7.0,2019-06-09 01:00,2019-06-02 16:55
0.0,9.0,40.0,31.0,LASK Linz,0.0,28.0,59.0,5.0,2.02644,1.0916299999999999,18.0,5.0,18.0,0.0,64.06843,72842,0.0,0.0,4411,1.0,1.92277,0.0,0.9879700000000001,40.0,LASK,9.0,2019-06-08 01:00,2019-06-02 16:55
0.0,9.0,21.0,50.0,St. Pölten,0.0,-18.0,32.0,14.0,0.98165,1.72774,9.0,14.0,9.0,0.0,26.77517000000001,83433,0.0,0.0,17519,0.0,0.8779899999999999,0.0,1.62408,21.0,SKN,9.0,2019-06-08 01:00,2019-06-02 16:55
0.0,5.0,22.0,66.0,Hartberg,0.0,-18.0,48.0,17.0,1.53345,2.08344,10.0,17.0,10.0,0.0,33.29568,88721,0.0,0.0,6907,0.0,1.4297799999999998,0.0,1.9797799999999999,22.0,HAR,5.0,2019-06-08 01:00,2019-06-02 16:55
0.0,10.0,28.0,44.0,Cashpoint SC Rheindorf Altach,0.0,4.0,48.0,13.0,1.49738,1.45874,9.0,13.0,9.0,0.0,44.36606,88720,0.0,0.0,4405,0.0,1.39371,0.0,1.35507,28.0,SCR,10.0,2019-06-08 01:00,2019-06-02 16:55
0.0,6.0,27.0,48.0,FK Austria Vienna,0.0,-3.0,45.0,14.0,1.7538799999999999,1.5818,12.0,14.0,12.0,0.0,47.56756,73801,0.0,0.0,1382,0.0,1.65021,0.0,1.47814,27.0,VIE,6.0,2019-06-08 01:00,2019-06-02 16:55
0.0,9.0,22.0,62.0,FC Trenkwalder Admira,0.0,-20.0,42.0,15.0,1.53885,1.99741,8.0,15.0,8.0,0.0,34.88422,103174,0.0,0.0,11485,0.0,1.43518,0.0,1.8937400000000002,22.0,ADM,9.0,2019-06-08 01:00,2019-06-02 16:55
0.0,10.0,31.0,47.0,Wolfsberger AC,0.0,0.0,47.0,10.0,1.51884,1.4355200000000001,12.0,10.0,12.0,0.0,45.3662,109462,0.0,0.0,13294,0.0,1.41517,0.0,1.33186,31.0,WOL,10.0,2019-06-08 01:00,2019-06-02 16:55
0.0,5.0,52.0,27.0,FC Salzburg,0.0,52.0,79.0,2.0,2.7666,0.9353299999999999,25.0,2.0,25.0,1.0,79.08445999999998,73802,0.0,1.0,2790,1.0,2.66293,0.0,0.8316600000000001,52.0,SAL,5.0,2019-06-08 01:00,2019-06-02 16:55
0.0,10.0,24.0,40.0,SK Sturm Graz,0.0,-3.0,37.0,12.0,1.34283,1.25139,10.0,12.0,10.0,0.0,45.19082,73805,0.0,0.0,3746,0.0,1.23916,0.0,1.14773,24.0,SSG,10.0,2019-06-08 01:00,2019-06-02 16:55
0.0,7.0,32.0,44.0,Rapid Vienna,0.0,4.0,48.0,12.0,1.62259,1.4070799999999999,13.0,12.0,13.0,0.0,48.37746,73803,0.0,0.0,519,0.0,1.51893,0.0,1.30341,32.0,VIE,7.0,2019-06-08 01:00,2019-06-02 16:55
0.0,5.0,20.0,51.0,FC Wacker Innsbruck,1.0,-19.0,32.0,19.0,1.1497700000000002,1.60204,8.0,19.0,8.0,0.0,33.08971,73806,0.0,0.0,19244,0.0,1.04611,0.0,1.4983799999999998,20.0,FC ,5.0,2019-06-08 01:00,2019-06-02 16:55
0.0,7.0,28.0,48.0,SV Mattersburg,0.0,-7.0,41.0,13.0,1.23961,1.52957,12.0,13.0,12.0,0.0,36.69787,73807,0.0,0.0,3745,0.0,1.13595,0.0,1.4259,28.0,MAT,7.0,2019-06-08 01:00,2019-06-02 16:55
0.0,9.0,40.0,31.0,LASK Linz,0.0,28.0,59.0,5.0,2.02644,1.09163,18.0,5.0,18.0,0.0,64.06843,72842,0.0,0.0,4411,1.0,1.92277,0.0,0.98797,40.0,LASK,9.0,2019-06-08 01:00,2019-06-02 16:55
0.0,9.0,21.0,50.0,St. Pölten,0.0,-18.0,32.0,14.0,0.98165,1.72774,9.0,14.0,9.0,0.0,26.77517000000001,83433,0.0,0.0,17519,0.0,0.8779899999999999,0.0,1.62408,21.0,SKN,9.0,2019-06-08 01:00,2019-06-02 16:55
