promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,8.0,23.0,74.0,NAC,1.0,-45.0,29.0,21.0,0.78428,1.88014,5.0,21.0,5.0,0.0,21.44407,73812,0.0,0.0,141,0.0,0.75014,0.0,1.84601,23.0,NAC,8.0,2019-06-11 01:01,2019-05-15 19:27
0.0,3.0,48.0,68.0,Heracles,0.0,-7.0,61.0,16.0,1.66743,2.00066,15.0,16.0,15.0,0.0,39.04557,74508,0.0,0.0,3708,0.0,1.63329,0.0,1.96652,48.0,HER,3.0,2019-06-11 01:01,2019-05-15 19:27
0.0,8.0,38.0,72.0,Emmen,0.0,-31.0,41.0,16.0,1.24492,1.77381,10.0,16.0,10.0,0.0,33.85226,74599,0.0,0.0,3707,0.0,1.21079,0.0,1.73967,38.0,EMM,8.0,2019-06-11 01:01,2019-05-15 19:27
0.0,8.0,53.0,51.0,FC Utrecht,0.0,9.0,60.0,11.0,1.7334,1.52137,15.0,11.0,15.0,0.0,49.90237,73813,0.0,0.0,153,0.0,1.69927,0.0,1.48724,53.0,UTR,8.0,2019-06-11 01:01,2019-05-15 19:27
0.0,7.0,34.0,80.0,Fortuna Sittard,0.0,-30.0,50.0,18.0,1.26578,2.32971,9.0,18.0,9.0,0.0,25.39088,74586,0.0,0.0,143,0.0,1.23164,0.0,2.29557,34.0,SIT,7.0,2019-06-11 01:01,2019-05-15 19:27
0.0,11.0,53.0,51.0,Vitesse,0.0,19.0,70.0,9.0,2.2331,1.54477,14.0,9.0,14.0,0.0,59.40752,74507,0.0,0.0,154,0.0,2.19897,0.0,1.51064,53.0,VIT,11.0,2019-06-11 01:01,2019-05-15 19:27
0.0,6.0,33.0,79.0,Excelsior,0.7501,-33.0,46.0,19.0,1.48942,2.08864,9.0,19.0,9.0,0.0,33.74761,74510,0.0,0.0,2566,0.0,1.45528,0.0,2.05451,33.0,EXL,6.0,2019-06-11 01:01,2019-05-15 19:27
0.0,9.0,45.0,63.0,ADO Den Haag,0.0,-5.0,58.0,13.0,1.93249,1.5793,12.0,13.0,12.0,0.0,52.84989,74585,0.0,0.0,2726,0.0,1.89836,0.0,1.54516,45.0,ADO,9.0,2019-06-11 01:01,2019-05-15 19:27
0.0,2.0,86.0,32.0,Ajax,0.0,87.0,119.0,4.0,3.21585,1.05551,28.0,4.0,28.0,1.0,82.84814,73815,0.0,1.0,139,1.0,3.18172,0.0,1.02138,86.0,AJX,2.0,2019-06-11 01:01,2019-05-15 19:27
0.0,5.0,29.0,75.0,De Graafschap,0.75016,-37.0,38.0,21.0,1.18463,1.9188,8.0,21.0,8.0,0.0,29.95803,73810,0.0,0.0,144,0.0,1.1505,0.0,1.88467,29.0,GRF,5.0,2019-06-11 01:01,2019-05-15 19:27
