ties,points,group_4,group,name,group_2,goal_diff,group_3,o_rating,make_round_of_32,code,global_d,current_wins,current_losses,losses,win_league,global_rating,sdr_id,wins,make_quarters,make_final,current_ties,make_semis,id,global_o,make_round_of_16,group_1,d_rating,current_points,current_time,last_updated
1.0,10.0,0.0,J,Standard Liege,0.0,-2.0,1.0,1.71379,0.0,STL,1.28125,3.0,2.0,2.0,0.0,54.96292,72892,3.0,0.0,0.0,1.0,0.0,559,1.6893,0.0,0.0,1.25675,10.0,2019-06-11 01:00,2019-06-02 17:23
0.0,9.0,0.0,K,Stade Rennes,1.0,-1.0,0.0,1.3298,1.0,REN,1.06161,3.0,3.0,3.0,0.0,60.11916,74434,3.0,0.0,0.0,0.0,0.0,169,1.69105,1.0,0.0,1.42286,9.0,2019-06-11 01:00,2019-06-02 17:23
0.0,0.0,0.0,,Club Brugge,0.0,0.0,0.0,2.11886,1.0,CBKV,0.98496,0.0,0.0,0.0,0.0,69.62,72883,0.0,0.0,0.0,0.0,0.0,570,2.09437,0.0,0.0,0.96046,0.0,2019-06-11 01:00,2019-06-02 17:23
1.0,16.0,0.0,L,Chelsea,0.0,9.0,0.0,1.82192,1.0,CHE,0.45251,5.0,0.0,0.0,1.0,85.43693,73598,5.0,1.0,1.0,1.0,1.0,363,2.40298,1.0,1.0,1.03358,16.0,2019-06-11 01:00,2019-06-02 17:23
3.0,3.0,1.0,D,Anderlecht,0.0,-5.0,0.0,1.39866,0.0,RSCA,1.1293,0.0,3.0,3.0,0.0,51.35114,72889,0.0,0.0,0.0,3.0,0.0,441,1.37416,0.0,0.0,1.1048,3.0,2019-06-11 01:00,2019-06-02 17:23
1.0,7.0,0.0,H,Apollon Limassol,0.0,0.0,1.0,1.91491,0.0,APO,1.22169,2.0,3.0,3.0,0.0,49.02834,72950,2.0,0.0,0.0,1.0,0.0,525,1.36803,0.0,0.0,0.67481,7.0,2019-06-11 01:00,2019-06-02 17:23
1.0,1.0,1.0,B,Rosenborg,0.0,-10.0,0.0,1.51178,0.0,RBK,1.41299,0.0,5.0,5.0,0.0,39.77369,73930,0.0,0.0,0.0,1.0,0.0,438,1.16392,0.0,0.0,1.06514,1.0,2019-06-11 01:00,2019-06-02 17:23
2.0,14.0,0.0,D,Dinamo Zagreb,0.0,8.0,0.0,1.75505,1.0,DIN,0.92544,4.0,0.0,0.0,0.0,60.37489,72934,4.0,0.0,0.0,2.0,0.0,597,1.5479,1.0,1.0,0.71829,14.0,2019-06-11 01:00,2019-06-02 17:23
3.0,12.0,0.0,F,Real Betis,0.0,5.0,0.0,1.29164,1.0,BET,0.6967,3.0,0.0,0.0,0.0,74.41093,74025,3.0,0.0,0.0,3.0,0.0,244,1.98389,0.0,1.0,1.38895,12.0,2019-06-11 01:00,2019-06-02 17:23
1.0,7.0,0.0,D,FC Spartak Trnava,0.0,-3.0,1.0,1.38848,0.0,TRN,1.27315,2.0,3.0,3.0,0.0,35.9375,74156,2.0,0.0,0.0,1.0,0.0,3929,0.90355,0.0,0.0,0.78822,7.0,2019-06-11 01:00,2019-06-02 17:23
