promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,16.0,55.0,52.0,Elche,0.0,-3.0,49.0,13.0,1.18186,1.71713,13.0,13.0,13.0,0.0,29.64902,73993,0.0,0.0,3751,0.0,0.98986,0.0,1.52513,55.0,ELC,16.0,2019-06-11 01:01,2019-06-10 14:49
1.0,9.0,87.0,35.0,Osasuna,0.0,24.0,59.0,7.0,1.3373,1.20276,26.0,7.0,26.0,1.0,43.91911,74015,0.0,1.0,97,0.0,1.14529,0.0,1.01076,87.0,OSA,9.0,2019-06-11 01:01,2019-06-10 14:49
1.0,13.0,79.0,28.0,Granada,0.0,24.0,52.0,7.0,1.10528,1.08135,22.0,7.0,22.0,0.0,40.4704,74005,0.0,0.0,3747,0.0,0.91328,0.0,0.88935,79.0,GRN,13.0,2019-06-11 01:01,2019-06-10 14:49
0.0,12.0,51.0,51.0,Real Zaragoza,0.0,-2.0,49.0,17.0,1.18938,1.55752,13.0,17.0,13.0,0.0,32.71667,74012,0.0,0.0,91,0.0,0.99737,0.0,1.36551,51.0,ZAR,12.0,2019-06-11 01:01,2019-06-10 14:49
0.0,12.0,63.0,48.0,Real Oviedo,0.0,0.0,48.0,13.0,1.02905,1.52995,17.0,13.0,17.0,0.0,29.15171,74395,0.0,0.0,92,0.0,0.83705,0.0,1.33795,63.0,OVI,12.0,2019-06-11 01:01,2019-06-10 14:49
0.26515,12.0,69.0,37.0,Mallorca,0.0,16.0,53.0,11.0,1.15297,1.26423,19.0,11.0,19.0,0.0,37.68339,74026,0.0,0.0,84,0.0,0.96097,1.0,1.07223,69.0,MLA,12.0,2019-06-11 01:01,2019-06-10 14:49
0.0,10.0,52.0,42.0,AD Alcorcon,0.0,-6.0,36.0,18.0,0.69472,1.54894,14.0,18.0,14.0,0.0,20.12238,78704,0.0,0.0,11121,0.0,0.50271,0.0,1.35693,52.0,ADA,10.0,2019-06-11 01:01,2019-06-10 14:49
0.0,6.0,0.0,48.0,Reus Deportiu,1.0,-32.0,16.0,31.0,0.71556,1.51177,5.0,31.0,5.0,0.0,21.22518,109482,0.0,0.0,17884,0.0,0.52355,0.0,1.31976,0.0,RDFC,6.0,2019-06-11 01:01,2019-06-10 14:49
0.0,13.0,34.0,79.0,Cordoba,1.0,-31.0,48.0,22.0,1.09083,2.0381,7.0,22.0,7.0,0.0,22.55145,74135,0.0,0.0,8447,0.0,0.89882,0.0,1.84609,34.0,COR,13.0,2019-06-11 01:01,2019-06-10 14:49
0.0,13.0,61.0,38.0,Sporting Gijón,0.0,5.0,43.0,13.0,1.10011,1.23657,16.0,13.0,16.0,0.0,36.84281,74001,0.0,0.0,3788,0.0,0.90811,0.0,1.04457,61.0,GIJ,13.0,2019-06-11 01:01,2019-06-10 14:49
0.2943,11.0,74.0,31.0,Málaga,0.0,20.0,51.0,10.0,0.9972,1.05667,21.0,10.0,21.0,0.0,36.98041,74004,0.0,0.0,99,0.0,0.77303,1.0,0.85956,74.0,MGA,11.0,2019-06-11 01:01,2019-06-10 14:49
0.0,16.0,64.0,36.0,Cadiz,0.0,17.0,53.0,10.0,1.12063,1.25508,16.0,10.0,16.0,0.0,37.00513,74000,0.0,0.0,3842,0.0,0.92862,0.0,1.06308,64.0,CAD,16.0,2019-06-11 01:01,2019-06-10 14:49
0.0,17.0,50.0,50.0,Tenerife,0.0,-10.0,40.0,14.0,1.00631,1.54795,11.0,14.0,11.0,0.0,28.24603,74002,0.0,0.0,245,0.0,0.8143,0.0,1.35594,50.0,TEN,17.0,2019-06-11 01:01,2019-06-10 14:49
0.0,11.0,53.0,47.0,Extremadura UD,0.0,-4.0,43.0,17.0,0.87604,1.27253,14.0,17.0,14.0,0.0,29.81698,93241,0.0,0.0,16741,0.0,0.68403,0.0,1.08053,53.0,EXT,11.0,2019-06-11 01:01,2019-06-10 14:49
0.0,9.0,45.0,61.0,Rayo Majadahonda,1.0,-15.0,46.0,21.0,1.05165,1.67414,12.0,21.0,12.0,0.0,27.21735,109481,0.0,0.0,9028,0.0,0.85965,0.0,1.48214,45.0,MAJ,9.0,2019-06-11 01:01,2019-06-10 14:49
0.0,16.0,49.0,50.0,Numancia,0.0,-6.0,44.0,15.0,1.0059,1.60709,11.0,15.0,11.0,0.0,27.21099,73967,0.0,0.0,100,0.0,0.81389,0.0,1.41508,49.0,NUM,16.0,2019-06-11 01:01,2019-06-10 14:49
0.0,17.0,47.0,51.0,Lugo,0.0,-8.0,43.0,15.0,0.9744,1.55545,10.0,15.0,10.0,0.0,27.29479,73981,0.0,0.0,7266,0.0,0.78239,0.0,1.36344,47.0,LUG,17.0,2019-06-11 01:01,2019-06-10 14:49
