promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,14.0,59.0,35.0,Getafe,0.0,13.0,48.0,9.0,1.2639,0.45681,15.0,9.0,15.0,0.0,79.70489,74009,0.0,0.0,2922,0.0,1.95614,0.0,1.14905,59.0,GET,14.0,2019-06-11 01:01,2019-05-19 16:07
0.0,12.0,33.0,65.0,SD Huesca,1.0,-22.0,43.0,19.0,1.31298,0.89262,7.0,19.0,7.0,0.0,70.18274,78717,0.0,0.0,5413,0.0,2.00522,0.0,1.58486,33.0,HUE,12.0,2019-06-11 01:01,2019-05-19 16:07
0.0,14.0,47.0,50.0,Eibar,0.0,-4.0,46.0,13.0,1.38708,0.52712,11.0,13.0,11.0,0.0,79.82896,73965,0.0,0.0,3752,0.0,2.07932,0.0,1.21936,47.0,EIB,14.0,2019-06-11 01:01,2019-05-19 16:07
0.0,14.0,53.0,45.0,Athletic Bilbao,0.0,-4.0,41.0,11.0,1.2304,0.51084,13.0,11.0,13.0,0.0,77.89141,74011,0.0,0.0,93,0.0,1.92265,0.0,1.20308,53.0,BIL,14.0,2019-06-11 01:01,2019-05-19 16:07
0.0,11.0,50.0,50.0,Alavés,0.0,-11.0,39.0,14.0,1.07104,0.7496,13.0,14.0,13.0,0.0,69.22211,74003,0.0,0.0,96,0.0,1.76328,0.0,1.44184,50.0,ALA,11.0,2019-06-11 01:01,2019-05-19 16:07
0.0,8.0,59.0,47.0,Sevilla FC,0.0,15.0,62.0,13.0,1.57729,0.67988,17.0,13.0,17.0,0.0,79.08622,93401,0.0,0.0,243,0.0,2.26953,0.0,1.37213,59.0,SEV,8.0,2019-06-11 01:01,2019-05-19 16:07
0.0,9.0,87.0,36.0,Barcelona,0.0,54.0,90.0,3.0,2.3139,0.38081,26.0,3.0,26.0,1.0,91.73827,74014,0.0,1.0,83,1.0,3.00614,0.0,1.07306,87.0,BAR,9.0,2019-06-11 01:01,2019-05-19 16:07
0.0,11.0,41.0,62.0,Celta Vigo,0.0,-9.0,53.0,17.0,1.33323,0.92553,10.0,17.0,10.0,0.0,69.77701,74008,0.0,0.0,85,0.0,2.02548,0.0,1.61777,41.0,VIG,11.0,2019-06-11 01:01,2019-05-19 16:07
0.0,10.0,76.0,29.0,Atletico Madrid,0.0,26.0,55.0,6.0,1.4468,0.36874,22.0,6.0,22.0,0.0,84.18952,74010,0.0,0.0,1068,1.0,2.13904,0.0,1.06099,76.0,ATL,10.0,2019-06-11 01:01,2019-05-19 16:07
0.0,12.0,45.0,43.0,Leganes,0.0,-6.0,37.0,15.0,1.04696,0.45767,11.0,15.0,11.0,0.0,76.24405,78708,0.0,0.0,17534,0.0,1.7392,0.0,1.14991,45.0,LEG,12.0,2019-06-11 01:01,2019-05-19 16:07
