promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,10.0,55.0,72.0,Gillingham,0.0,-11.0,61.0,21.0,1.27812,1.94048,15.0,21.0,15.0,0.0,22.57992,73645,0.0,0.0,389,0.0,0.8378,0.0,1.50016,55.0,GIL,10.0,2019-06-11 01:00,2019-05-26 15:57
0.0,13.0,61.0,52.0,Fleetwood Town,0.0,6.0,58.0,17.0,1.16356,1.67782,16.0,17.0,16.0,0.0,23.79192,83770,0.0,0.0,3891,0.0,0.72325,0.0,1.2375,61.0,FLEE,13.0,2019-06-11 01:00,2019-05-26 15:57
0.0,8.0,50.0,68.0,Southend United,0.0,-13.0,55.0,24.0,1.13723,2.08436,14.0,24.0,14.0,0.0,17.63478,73658,0.0,0.0,310,0.0,0.69691,0.0,1.64404,50.0,SOUT,8.0,2019-06-11 01:00,2019-05-26 15:57
0.0,10.0,46.0,83.0,Scunthorpe,1.0,-30.0,53.0,24.0,0.98729,2.29579,12.0,24.0,12.0,0.0,12.46748,73635,0.0,0.0,313,0.0,0.54697,0.0,1.85547,46.0,SCUN,10.0,2019-06-11 01:00,2019-05-26 15:57
0.0,13.0,55.0,67.0,Accrington Stanley,0.0,-16.0,51.0,19.0,1.10209,1.79196,14.0,19.0,14.0,0.0,20.61915,73680,0.0,0.0,2731,0.0,0.66177,0.0,1.35164,55.0,ACCR,13.0,2019-06-11 01:00,2019-05-26 15:57
0.0,11.0,53.0,67.0,Wycombe Wanderers,0.0,-12.0,55.0,21.0,1.06845,1.9492,14.0,21.0,14.0,0.0,17.78871,73670,0.0,0.0,344,0.0,0.62814,0.0,1.50889,53.0,WYC,11.0,2019-06-11 01:00,2019-05-26 15:57
0.0,13.0,73.0,58.0,Doncaster Rovers,0.0,18.0,76.0,13.0,1.57763,1.75895,20.0,13.0,20.0,0.0,32.40973,73648,0.0,0.0,279,0.0,1.13731,1.0,1.31864,73.0,DON,13.0,2019-06-11 01:00,2019-05-26 15:57
0.0,9.0,54.0,87.0,Rochdale,0.0,-33.0,54.0,22.0,1.04456,2.18214,15.0,22.0,15.0,0.0,14.66049,73682,0.0,0.0,303,0.0,0.60425,0.0,1.74183,54.0,ROCH,9.0,2019-06-11 01:00,2019-05-26 15:57
0.0,11.0,50.0,80.0,Plymouth Argyle,1.0,-24.0,56.0,22.0,1.13098,2.39451,13.0,22.0,13.0,0.0,14.17515,73627,0.0,0.0,307,0.0,0.69066,0.0,1.9542,50.0,PLY,11.0,2019-06-11 01:00,2019-05-26 15:57
0.0,11.0,65.0,54.0,Coventry City,0.0,0.0,54.0,17.0,1.28656,1.69141,18.0,17.0,18.0,0.0,26.60136,73619,0.0,0.0,388,0.0,0.84624,0.0,1.25109,65.0,COV,11.0,2019-06-11 01:00,2019-05-26 15:57
0.0,12.0,72.0,62.0,Peterborough United,0.0,9.0,71.0,14.0,1.36292,1.8551,20.0,14.0,20.0,0.0,25.7897,73676,0.0,0.0,342,0.0,0.9226,0.0,1.41478,72.0,PET,12.0,2019-06-11 01:00,2019-05-26 15:57
0.0,19.0,85.0,47.0,Sunderland,0.0,33.0,80.0,5.0,1.64529,1.57538,22.0,5.0,22.0,0.0,37.47051,73613,0.0,0.0,366,0.0,1.20497,1.0,1.13507,85.0,SUN,19.0,2019-06-11 01:00,2019-05-26 15:57
