promoted,ties,points,position_1,goals_against,name,relegated,pro_rel_o,goal_diff,goals_scored,losses,code,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,o_rating,id,pro_rel_d,make_champs,global_o,make_pro_rel,make_playoffs,d_rating,current_points,current_ties,current_time,last_updated
0.0,12.0,63.0,0.0,41.0,Lorient,0.0,0.00041,10.0,51.0,9.0,LOR,1.752,17.0,9.0,17.0,0.0,32.00249,74443,0.0,1.36875,273,0.00045,0.0,1.11466,0.0,0.0,1.4979,63.0,12.0,2019-06-11 01:00,2019-05-17 20:37
0.0,12.0,39.0,0.0,54.0,GFC Ajaccio,0.49618,0.00022,-24.0,30.0,17.0,GFC,1.90298,9.0,17.0,9.0,0.0,15.14813,74956,0.0,0.73837,7707,0.00049,0.0,0.48428,0.0,0.0,1.64889,39.0,12.0,2019-06-11 01:00,2019-05-17 20:37
0.0,11.0,41.0,0.0,36.0,Auxerre,0.0,0.00023,-2.0,34.0,17.0,AUX,1.41837,10.0,17.0,10.0,0.0,22.315,74433,0.0,0.76423,172,0.00035,0.0,0.51014,0.0,0.0,1.16428,41.0,11.0,2019-06-11 01:00,2019-05-17 20:37
0.0,8.0,41.0,0.0,43.0,Sochaux,0.0,0.00023,-16.0,27.0,19.0,SOC,1.59322,11.0,19.0,11.0,0.0,19.3588,74435,0.0,0.75177,272,0.0004,0.0,0.49768,0.0,0.0,1.33912,41.0,8.0,2019-06-11 01:00,2019-05-17 20:37
0.0,11.0,38.0,0.0,50.0,Beziers AS,1.0,0.00027,-17.0,33.0,18.0,BEZ,1.81564,9.0,18.0,9.0,0.0,20.28721,107755,0.0,0.91568,16739,0.00047,0.0,0.66159,0.0,0.0,1.56155,38.0,11.0,2019-06-11 01:00,2019-05-17 20:37
1.0,9.0,81.0,1.0,23.0,Metz,0.0,0.0004,37.0,60.0,5.0,MTZ,1.07225,24.0,5.0,24.0,1.0,45.24428,74444,0.0,1.33312,177,0.00025,0.0,1.07903,0.0,0.0,0.81816,81.0,9.0,2019-06-11 01:00,2019-05-17 20:37
0.0,10.0,43.0,0.0,61.0,Valenciennes,0.0,0.00039,-9.0,52.0,17.0,VAL,2.10529,11.0,17.0,11.0,0.0,24.58026,74442,0.0,1.29149,6732,0.00056,0.0,1.0374,0.0,0.0,1.8512,43.0,10.0,2019-06-11 01:00,2019-05-17 20:37
0.0,13.0,40.0,0.0,45.0,AC Ajaccio,0.0,0.0002,-16.0,29.0,16.0,AJC,1.56524,9.0,16.0,9.0,0.0,17.83795,74460,0.0,0.67812,2503,0.00039,0.0,0.42402,0.0,0.0,1.31115,40.0,13.0,2019-06-11 01:00,2019-05-17 20:37
0.0,15.0,54.0,0.0,40.0,Le Havre,0.0,0.00035,5.0,45.0,10.0,HAC,1.61209,13.0,10.0,13.0,0.0,29.25214,74456,0.0,1.15276,3236,0.00041,0.0,0.89867,0.0,0.0,1.358,54.0,15.0,2019-06-11 01:00,2019-05-17 20:37
0.0,15.0,48.0,0.0,42.0,Chateauroux,0.0,0.00031,-5.0,37.0,12.0,CHAT,1.5415,11.0,12.0,11.0,0.0,27.37377,74448,0.0,1.03018,2995,0.00039,0.0,0.77608,0.0,0.0,1.2874,48.0,15.0,2019-06-11 01:00,2019-05-17 20:37
