promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,12.0,39.0,65.0,Southampton,0.0,-20.0,45.0,17.0,1.27352,0.95249,9.0,17.0,9.0,0.0,66.01666,73620,0.0,0.0,376,0.0,1.85459,0.0,1.53355,39.0,SOU,12.0,2019-06-11 01:00,2019-06-01 21:02
0.0,9.0,66.0,54.0,Manchester United,0.0,11.0,65.0,10.0,1.58828,0.76846,19.0,10.0,19.0,0.0,75.69522,73601,0.0,0.0,360,0.0,2.16935,0.0,1.34952,66.0,MAN,9.0,2019-06-11 01:00,2019-06-01 21:02
0.0,9.0,36.0,60.0,Brighton and Hove Albion,0.0,-25.0,35.0,20.0,0.97226,1.0352,9.0,20.0,9.0,0.0,57.77627,73651,0.0,0.0,331,0.0,1.55333,0.0,1.61627,36.0,BHA,9.0,2019-06-11 01:00,2019-06-01 21:02
0.0,9.0,57.0,46.0,Wolverhampton,0.0,1.0,47.0,13.0,1.28614,0.67257,16.0,13.0,16.0,0.0,73.02145,73630,0.0,0.0,380,0.0,1.86721,0.0,1.25364,57.0,WOL,9.0,2019-06-11 01:00,2019-06-01 21:02
0.0,2.0,71.0,39.0,Tottenham Hotspur,0.0,28.0,67.0,13.0,1.67382,0.51849,23.0,13.0,23.0,0.0,82.35653,73602,0.0,0.0,367,1.0,2.25489,0.0,1.09956,71.0,TOT,2.0,2019-06-11 01:00,2019-06-01 21:02
0.0,7.0,40.0,68.0,Burnley,0.0,-23.0,45.0,20.0,1.23236,0.94166,11.0,20.0,11.0,0.0,65.4802,73618,0.0,0.0,379,0.0,1.81343,0.0,1.52273,40.0,BRN,7.0,2019-06-11 01:00,2019-06-01 21:02
0.0,7.0,52.0,55.0,West Ham United,0.0,-3.0,52.0,16.0,1.34565,0.98515,15.0,16.0,15.0,0.0,66.6103,73611,0.0,0.0,371,0.0,1.92672,0.0,1.56622,52.0,WHU,7.0,2019-06-11 01:00,2019-06-01 21:02
0.0,2.0,98.0,23.0,Manchester City,0.0,72.0,95.0,4.0,2.46044,0.2,32.0,4.0,32.0,1.0,94.39384,73608,0.0,1.0,382,1.0,3.04151,0.0,0.69576,98.0,MNC,2.0,2019-06-11 01:00,2019-06-01 21:02
0.0,7.0,70.0,51.0,Arsenal,0.0,22.0,73.0,10.0,1.80711,0.83907,21.0,10.0,21.0,0.0,77.36336,73616,0.0,0.0,359,0.0,2.38817,0.0,1.42014,70.0,ARS,7.0,2019-06-11 01:00,2019-06-01 21:02
0.0,7.0,49.0,53.0,Crystal Palace,0.0,-2.0,51.0,17.0,1.41225,0.88802,14.0,17.0,14.0,0.0,70.08104,73622,0.0,0.0,384,0.0,1.99332,0.0,1.46909,49.0,CRY,7.0,2019-06-11 01:00,2019-06-01 21:02
