promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,6.0,36.0,49.0,Desportivo Aves,0.0,-14.0,35.0,18.0,1.19153,1.13487,10.0,18.0,10.0,0.0,48.64875,78519,0.0,0.0,18764,0.0,1.26907,0.0,1.2124,36.0,DAV,6.0,2019-06-11 01:01,2019-05-19 20:55
0.0,3.0,39.0,44.0,Maritimo,0.0,-18.0,26.0,19.0,0.88531,1.34035,12.0,19.0,12.0,0.0,36.12287,74338,0.0,0.0,552,0.0,0.96285,0.0,1.41789,39.0,MARI,3.0,2019-06-11 01:01,2019-05-19 20:55
0.0,5.0,44.0,40.0,Boavista,0.0,-6.0,34.0,16.0,1.13654,1.19461,13.0,16.0,13.0,0.0,45.86421,74333,0.0,0.0,2256,0.0,1.21408,0.0,1.27215,44.0,BOA,5.0,2019-06-11 01:01,2019-05-19 20:55
0.0,3.0,87.0,31.0,Benfica,0.0,72.0,103.0,3.0,2.35876,0.91727,28.0,3.0,28.0,1.0,76.42319,74332,0.0,1.0,1929,1.0,2.4363,0.0,0.9948,87.0,BEN,3.0,2019-06-11 01:01,2019-05-19 20:55
0.0,5.0,74.0,33.0,Sporting CP,0.0,39.0,72.0,6.0,1.86257,0.85599,23.0,6.0,23.0,0.0,69.88976,74330,0.0,0.0,2250,0.0,1.9401,0.0,0.93353,74.0,SCP,5.0,2019-06-11 01:01,2019-05-19 20:55
0.0,8.0,32.0,57.0,Chaves,1.0,-23.0,34.0,18.0,1.20828,1.51925,8.0,18.0,8.0,0.0,40.54209,94848,0.0,0.0,12705,0.0,1.28582,0.0,1.59679,32.0,GDC,8.0,2019-06-11 01:01,2019-05-19 20:55
0.0,11.0,20.0,64.0,Feirense,1.0,-37.0,27.0,20.0,0.9285,1.52794,3.0,20.0,3.0,0.0,33.49601,94846,0.0,0.0,3717,0.0,1.00604,0.0,1.60548,20.0,FEI,11.0,2019-06-11 01:01,2019-05-19 20:55
0.0,6.0,39.0,59.0,Portimonense,0.0,-15.0,44.0,17.0,1.34756,1.36505,11.0,17.0,11.0,0.0,47.1368,86675,0.0,0.0,3719,0.0,1.4251,0.0,1.44259,39.0,BET,6.0,2019-06-11 01:01,2019-05-19 20:55
0.0,9.0,42.0,45.0,Santa Clara,0.0,-2.0,43.0,14.0,1.17604,1.32376,11.0,14.0,11.0,0.0,43.92629,86855,0.0,0.0,12215,0.0,1.25358,0.0,1.4013,42.0,SAN,9.0,2019-06-11 01:01,2019-05-19 20:55
0.0,4.0,85.0,20.0,FC Porto,0.0,54.0,74.0,3.0,2.21818,0.62875,27.0,3.0,27.0,0.0,80.53001,74329,0.0,0.0,437,1.0,2.29572,0.0,0.70629,85.0,POR,4.0,2019-06-11 01:01,2019-05-19 20:55
