promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,14.0,44.0,54.0,FC Nordsjaelland,0.0,-2.0,52.0,12.0,1.63127,1.51249,10.0,12.0,10.0,0.0,43.58445,72966,0.0,0.0,3101,0.0,1.40888,0.0,1.2901,44.0,NORD,14.0,2019-06-11 01:00,2019-05-31 18:52
0.0,8.0,56.0,47.0,Esbjerg,0.0,-2.0,45.0,12.0,1.41695,1.43117,16.0,12.0,16.0,0.0,40.15285,72965,0.0,0.0,12504,0.0,1.19456,0.0,1.20878,56.0,ESB,8.0,2019-06-11 01:00,2019-05-31 18:52
0.0,8.0,71.0,43.0,FC Midtjylland,0.0,33.0,76.0,7.0,2.12119,1.4095,21.0,7.0,21.0,0.0,56.47809,72964,0.0,0.0,572,0.0,1.8988,0.0,1.18711,71.0,FCM,8.0,2019-06-11 01:00,2019-05-31 18:52
0.0,10.0,52.0,48.0,Odense BK,0.0,0.0,48.0,12.0,1.48768,1.37103,14.0,12.0,14.0,0.0,43.17764,72962,0.0,0.0,11550,0.0,1.26528,0.0,1.14864,52.0,OBK,10.0,2019-06-11 01:00,2019-05-31 18:52
0.0,7.0,55.0,54.0,Brondby,0.0,10.0,64.0,14.0,2.11613,1.44785,16.0,14.0,16.0,0.0,55.54613,72959,0.0,0.0,575,0.0,1.89374,0.0,1.22546,55.0,BRO,7.0,2019-06-11 01:00,2019-05-31 18:52
0.0,4.0,82.0,37.0,FC Copenhagen,0.0,49.0,86.0,6.0,2.35188,1.28044,26.0,6.0,26.0,1.0,63.7173,72960,0.0,1.0,909,1.0,2.12949,0.0,1.05805,82.0,COP,4.0,2019-06-11 01:00,2019-05-31 18:52
0.0,14.0,44.0,54.0,FC Nordsjaelland,0.0,-2.0,52.0,12.0,1.63127,1.51249,10.0,12.0,10.0,0.0,43.58445,72966,0.0,0.0,3101,0.0,1.40888,0.0,1.2901,44.0,NORD,14.0,2019-06-10 01:00,2019-05-31 18:52
0.0,8.0,56.0,47.0,Esbjerg,0.0,-2.0,45.0,12.0,1.41695,1.43117,16.0,12.0,16.0,0.0,40.15285,72965,0.0,0.0,12504,0.0,1.19456,0.0,1.20878,56.0,ESB,8.0,2019-06-10 01:00,2019-05-31 18:52
0.0,8.0,71.0,43.0,FC Midtjylland,0.0,33.0,76.0,7.0,2.1211900000000004,1.4095,21.0,7.0,21.0,0.0,56.47809,72964,0.0,0.0,572,0.0,1.8988,0.0,1.18711,71.0,FCM,8.0,2019-06-10 01:00,2019-05-31 18:52
0.0,10.0,52.0,48.0,Odense BK,0.0,0.0,48.0,12.0,1.48768,1.37103,14.0,12.0,14.0,0.0,43.177640000000004,72962,0.0,0.0,11550,0.0,1.26528,0.0,1.1486399999999999,52.0,OBK,10.0,2019-06-10 01:00,2019-05-31 18:52
0.0,7.0,55.0,54.0,Brondby,0.0,10.0,64.0,14.0,2.11613,1.44785,16.0,14.0,16.0,0.0,55.546130000000005,72959,0.0,0.0,575,0.0,1.8937400000000002,0.0,1.22546,55.0,BRO,7.0,2019-06-10 01:00,2019-05-31 18:52
0.0,4.0,82.0,37.0,FC Copenhagen,0.0,49.0,86.0,6.0,2.35188,1.28044,26.0,6.0,26.0,1.0,63.7173,72960,0.0,1.0,909,1.0,2.12949,0.0,1.05805,82.0,COP,4.0,2019-06-10 01:00,2019-05-31 18:52
0.0,14.0,44.0,54.0,FC Nordsjaelland,0.0,-2.0,52.0,12.0,1.63127,1.51249,10.0,12.0,10.0,0.0,43.58445,72966,0.0,0.0,3101,0.0,1.40888,0.0,1.2901,44.0,NORD,14.0,2019-06-09 01:00,2019-05-31 18:52
0.0,8.0,56.0,47.0,Esbjerg,0.0,-2.0,45.0,12.0,1.41695,1.43117,16.0,12.0,16.0,0.0,40.15285,72965,0.0,0.0,12504,0.0,1.19456,0.0,1.20878,56.0,ESB,8.0,2019-06-09 01:00,2019-05-31 18:52
0.0,8.0,71.0,43.0,FC Midtjylland,0.0,33.0,76.0,7.0,2.1211900000000004,1.4095,21.0,7.0,21.0,0.0,56.47809,72964,0.0,0.0,572,0.0,1.8988,0.0,1.18711,71.0,FCM,8.0,2019-06-09 01:00,2019-05-31 18:52
0.0,10.0,52.0,48.0,Odense BK,0.0,0.0,48.0,12.0,1.48768,1.37103,14.0,12.0,14.0,0.0,43.17764,72962,0.0,0.0,11550,0.0,1.26528,0.0,1.14864,52.0,OBK,10.0,2019-06-09 01:00,2019-05-31 18:52
0.0,7.0,55.0,54.0,Brondby,0.0,10.0,64.0,14.0,2.11613,1.44785,16.0,14.0,16.0,0.0,55.54613000000001,72959,0.0,0.0,575,0.0,1.89374,0.0,1.22546,55.0,BRO,7.0,2019-06-09 01:00,2019-05-31 18:52
